Acc_x,Acc_y,Acc_z
0.4,0.8,0.44
0.38,0.81,0.4
0.38,0.82,0.37
0.38,0.83,0.33
0.34,0.87,0.28
0.33,0.88,0.23
0.32,0.89,0.18
0.31,0.9,0.13
0.3,0.91,0.1
0.29,0.91,0.08
0.3,0.91,0.07
0.31,0.91,0.06
0.3,0.92,0.04
0.3,0.92,0.02
0.29,0.93,0.01
0.28,0.95,0
0.29,0.95,-0.03
0.3,0.96,-0.04
0.29,0.97,-0.04
0.28,0.97,-0.04
0.29,0.98,-0.05
0.29,0.98,-0.04
0.29,0.98,-0.03
0.29,0.98,-0.01
0.3,0.98,0.01
0.29,0.98,0.02
0.29,0.99,0.01
0.29,0.99,-0.01
0.29,1,-0.04
0.29,1,-0.06
0.31,0.99,-0.08
0.35,0.98,-0.05
0.35,0.97,-0.02
0.35,0.96,-0.02
0.33,0.92,0.02
0.33,0.88,0.09
0.33,0.84,0.17
0.29,0.81,0.26
0.27,0.78,0.28
2.1,-0.64,1.04
2.38,-0.8,2.11
0.47,0.52,1.33
-0.3,0.92,0.35
-0.62,0.91,0.38
-0.06,0.66,0.29
0.45,0.76,0.21
0.58,0.79,0.19
0.73,0.81,0.21
0.67,0.82,0.26
0.5,0.79,0.34
0.39,0.77,0.38
0.33,0.75,0.42
0.29,0.73,0.48
0.28,0.73,0.5
0.31,0.75,0.49
0.33,0.78,0.47
0.36,0.79,0.43
0.43,0.79,0.43
0.43,0.8,0.42
0.43,0.81,0.41
0.42,0.82,0.39
0.42,0.82,0.36
0.42,0.82,0.35
0.43,0.82,0.36
0.44,0.82,0.37
0.45,0.82,0.38
0.46,0.82,0.38
0.45,0.83,0.38
0.45,0.83,0.37
0.45,0.83,0.36
0.46,0.83,0.35
0.46,0.83,0.35
0.45,0.83,0.35
0.44,0.83,0.36
0.44,0.83,0.36
0.44,0.83,0.36
0.44,0.83,0.37
0.44,0.82,0.38
0.44,0.82,0.38
0.45,0.81,0.38
0.44,0.8,0.38
0.43,0.8,0.38
0.43,0.8,0.38
0.43,0.8,0.36
0.43,0.8,0.36
0.43,0.8,0.36
0.42,0.8,0.36
0.42,0.8,0.37
0.43,0.81,0.38
0.43,0.81,0.38
0.43,0.81,0.38
0.42,0.81,0.37
0.43,0.81,0.37
0.43,0.81,0.37
0.43,0.8,0.37
0.44,0.8,0.37
0.44,0.81,0.37
0.44,0.81,0.38
0.44,0.81,0.37
0.44,0.82,0.37
0.44,0.82,0.36
0.44,0.82,0.35
0.44,0.82,0.35
0.44,0.82,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.46,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.46,0.81,0.36
0.46,0.8,0.37
0.46,0.81,0.36
0.45,0.81,0.36
0.44,0.81,0.36
0.45,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.46,0.81,0.35
0.45,0.81,0.36
0.45,0.8,0.36
0.44,0.8,0.36
0.43,0.8,0.37
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.8,0.36
0.44,0.81,0.35
0.44,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.35
0.45,0.81,0.36
0.44,0.81,0.35
0.44,0.81,0.36
0.45,0.81,0.35
0.45,0.82,0.34
0.45,0.81,0.34
0.45,0.8,0.34
0.45,0.81,0.34
0.46,0.81,0.35
0.46,0.81,0.34
0.46,0.81,0.35
