Acc_x,Acc_y,Acc_z
0.08,0.94,0.28
0.08,0.94,0.28
0.08,0.94,0.28
0.08,0.94,0.28
0.08,0.93,0.29
0.08,0.94,0.29
0.08,0.94,0.29
0.07,0.94,0.29
0.07,0.94,0.3
0.06,0.94,0.29
0.06,0.94,0.3
0.07,0.94,0.3
0.07,0.94,0.3
0.08,0.94,0.3
0.08,0.94,0.3
0.08,0.94,0.3
0.08,0.94,0.3
0.07,0.94,0.29
0.07,0.93,0.29
0.07,0.93,0.28
0.08,0.94,0.29
0.08,0.94,0.29
0.07,0.93,0.29
0.07,0.94,0.29
0.07,0.93,0.29
0.07,0.93,0.29
0.07,0.93,0.3
0.07,0.93,0.3
0.08,0.93,0.31
0.08,0.93,0.31
0.08,0.93,0.31
0.08,0.93,0.31
0.07,0.93,0.31
0.07,0.93,0.31
0.07,0.93,0.31
0.07,0.93,0.31
0.07,0.93,0.3
0.07,0.94,0.3
0.07,0.94,0.3
0.07,0.93,0.3
0.07,0.93,0.3
0.07,0.93,0.3
0.08,0.93,0.3
0.08,0.93,0.3
0.08,0.93,0.3
0.07,0.93,0.3
0.07,0.93,0.3
0.07,0.94,0.3
0.07,0.93,0.3
0.08,0.93,0.3
0.07,0.94,0.3
0.07,0.93,0.31
0.07,0.93,0.31
0.06,0.93,0.31
0.06,0.93,0.31
0.06,0.93,0.31
0.05,0.93,0.3
0.06,0.93,0.29
0.07,0.94,0.29
0.07,0.94,0.29
0.07,0.93,0.29
0.07,0.94,0.29
0.06,0.94,0.29
0.06,0.93,0.29
0.06,0.93,0.29
0.06,0.93,0.3
0.07,0.93,0.3
0.07,0.94,0.3
0.07,0.93,0.31
0.08,0.93,0.31
0.09,0.93,0.31
0.09,0.94,0.31
0.08,0.94,0.3
0.08,0.93,0.29
0.05,0.93,0.3
0.05,0.94,0.3
0.07,0.93,0.3
0.07,0.93,0.3
0.07,0.93,0.31
0.06,0.94,0.3
0.06,0.94,0.3
0.06,0.94,0.29
0.07,0.94,0.29
0.06,0.94,0.29
0.06,0.93,0.28
0.06,0.93,0.28
0.06,0.94,0.28
0.06,0.94,0.29
0.07,0.93,0.3
0.08,0.93,0.3
0.08,0.94,0.3
0.09,0.94,0.3
0.08,0.94,0.3
0.09,0.94,0.3
0.09,0.93,0.3
0.1,0.93,0.3
0.1,0.94,0.3
0.09,0.93,0.3
0.08,0.93,0.31
0.07,0.93,0.31
0.06,0.93,0.31
0.06,0.93,0.3
0.05,0.94,0.3
0.05,0.93,0.3
0.05,0.93,0.3
0.05,0.93,0.3
0.05,0.94,0.31
0.05,0.93,0.32
0.05,0.93,0.31
0.06,0.93,0.3
0.08,0.94,0.3
0.09,0.94,0.29
0.09,0.94,0.29
0.09,0.93,0.29
0.09,0.93,0.3
0.08,0.93,0.29
0.08,0.93,0.29
0.09,0.93,0.29
0.09,0.94,0.29
0.08,0.94,0.29
0.07,0.94,0.29
0.06,0.93,0.3
0.06,0.93,0.3
0.06,0.94,0.3
0.05,0.94,0.31
0.05,0.93,0.31
0.05,0.93,0.31
0.06,0.93,0.3
0.06,0.93,0.3
0.06,0.93,0.3
0.06,0.93,0.29
0.06,0.94,0.29
0.05,0.94,0.29
0.05,0.94,0.28
0.05,0.94,0.28
0.06,0.94,0.28
0.06,0.94,0.28
0.07,0.94,0.28
0.07,0.94,0.29
0.08,0.94,0.29
0.09,0.93,0.29
0.1,0.93,0.29
0.11,0.94,0.29
0.11,0.94,0.29
0.1,0.94,0.29
0.09,0.94,0.29
0.08,0.94,0.29
0.07,0.94,0.29
0.06,0.93,0.3
0.05,0.93,0.3
0.05,0.94,0.3
0.05,0.93,0.29
0.05,0.94,0.29
0.06,0.94,0.29
0.06,0.93,0.28
0.07,0.93,0.28
0.07,0.93,0.29
0.08,0.94,0.3
0.08,0.94,0.3
0.08,0.94,0.29
0.07,0.94,0.29
0.07,0.94,0.29
0.07,0.94,0.29
0.07,0.94,0.29
0.07,0.94,0.29
0.07,0.93,0.29
0.07,0.94,0.28
