Acc_x,Acc_y,Acc_z
0.68,0.21,0.71
0.69,0.21,0.71
0.69,0.21,0.71
0.69,0.21,0.71
0.69,0.21,0.72
0.69,0.21,0.72
0.69,0.21,0.72
0.69,0.21,0.72
0.69,0.21,0.72
0.68,0.21,0.72
0.68,0.21,0.71
0.68,0.21,0.71
0.69,0.21,0.71
0.69,0.21,0.71
0.69,0.21,0.71
0.69,0.2,0.71
0.69,0.2,0.71
0.69,0.2,0.71
0.68,0.2,0.71
0.68,0.2,0.71
0.68,0.2,0.71
0.67,0.2,0.7
0.67,0.2,0.7
0.67,0.2,0.7
0.67,0.2,0.69
0.67,0.21,0.69
0.67,0.21,0.69
0.67,0.21,0.69
0.67,0.21,0.69
0.67,0.2,0.69
0.67,0.2,0.7
0.66,0.2,0.7
0.66,0.2,0.7
0.67,0.19,0.71
0.68,0.18,0.71
0.69,0.18,0.72
0.69,0.17,0.72
0.7,0.17,0.73
0.7,0.17,0.74
0.7,0.16,0.74
0.7,0.16,0.75
0.7,0.16,0.75
0.69,0.16,0.75
0.69,0.15,0.76
0.69,0.15,0.76
0.68,0.15,0.76
0.67,0.15,0.76
0.67,0.15,0.76
0.67,0.15,0.75
0.68,0.15,0.76
0.68,0.15,0.76
0.67,0.15,0.76
0.67,0.15,0.76
0.66,0.15,0.76
0.66,0.15,0.77
0.66,0.15,0.77
0.66,0.13,0.77
0.66,0.13,0.77
0.66,0.13,0.77
0.66,0.13,0.77
0.67,0.13,0.77
0.67,0.13,0.77
0.67,0.13,0.77
0.65,0.12,0.77
0.64,0.12,0.77
0.64,0.11,0.77
0.64,0.11,0.77
0.63,0.11,0.77
0.63,0.11,0.77
0.63,0.11,0.77
0.62,0.11,0.76
0.62,0.11,0.75
0.62,0.11,0.75
0.62,0.11,0.75
0.62,0.11,0.76
0.63,0.11,0.76
0.63,0.11,0.76
0.63,0.11,0.77
0.63,0.1,0.77
0.63,0.1,0.77
0.63,0.1,0.77
0.63,0.09,0.78
0.64,0.09,0.78
0.63,0.08,0.77
0.63,0.09,0.77
0.62,0.09,0.77
0.62,0.09,0.77
0.62,0.09,0.76
0.62,0.09,0.76
0.62,0.09,0.76
0.62,0.1,0.76
0.63,0.1,0.76
0.62,0.1,0.77
0.62,0.1,0.77
0.62,0.1,0.77
0.62,0.1,0.77
0.62,0.1,0.76
0.63,0.1,0.76
0.64,0.1,0.76
0.65,0.1,0.76
0.66,0.1,0.76
0.66,0.1,0.76
0.67,0.1,0.76
0.68,0.1,0.76
0.69,0.09,0.77
0.68,0.09,0.77
0.67,0.09,0.76
0.66,0.1,0.75
0.67,0.1,0.74
0.67,0.12,0.74
0.67,0.12,0.74
0.67,0.11,0.75
0.67,0.1,0.75
0.68,0.1,0.75
0.67,0.1,0.76
0.66,0.11,0.76
0.66,0.12,0.75
0.66,0.13,0.75
0.66,0.13,0.74
0.66,0.13,0.72
0.67,0.13,0.72
0.67,0.13,0.7
0.68,0.13,0.69
0.69,0.13,0.7
0.7,0.13,0.71
0.72,0.12,0.72
0.71,0.12,0.73
0.7,0.12,0.74
0.68,0.12,0.75
0.68,0.14,0.74
0.68,0.15,0.74
0.68,0.15,0.73
0.69,0.15,0.73
0.7,0.15,0.73
0.71,0.14,0.73
0.71,0.13,0.74
0.71,0.14,0.74
0.71,0.14,0.75
0.71,0.15,0.75
0.7,0.15,0.75
0.7,0.14,0.75
0.69,0.13,0.74
0.69,0.13,0.74
0.69,0.12,0.73
0.69,0.12,0.73
0.7,0.12,0.72
0.71,0.12,0.71
0.7,0.11,0.71
0.69,0.11,0.74
0.69,0.11,0.74
0.71,0.12,0.7
0.71,0.12,0.69
0.68,0.13,0.72
0.68,0.13,0.73
0.69,0.13,0.72
0.69,0.13,0.72
0.68,0.14,0.71
0.67,0.14,0.71
0.67,0.14,0.7
0.68,0.15,0.7
0.68,0.15,0.7
0.69,0.16,0.7
0.71,0.16,0.72
0.72,0.15,0.73
0.72,0.15,0.73
0.71,0.16,0.73
0.7,0.16,0.73
0.69,0.15,0.73
0.69,0.14,0.73
