Acc_x,Acc_y,Acc_z
0.49,0.51,0.77
0.48,0.49,0.76
0.46,0.47,0.72
0.45,0.45,0.7
0.44,0.43,0.7
0.45,0.4,0.72
0.47,0.38,0.77
0.46,0.39,0.82
0.42,0.39,0.84
0.37,0.38,0.85
0.34,0.38,0.86
0.3,0.37,0.89
0.29,0.36,0.9
0.28,0.35,0.9
0.28,0.34,0.9
0.27,0.32,0.88
0.25,0.29,0.86
0.23,0.27,0.86
0.24,0.25,0.87
0.27,0.25,0.89
0.28,0.25,0.9
0.27,0.25,0.93
0.26,0.24,0.95
0.26,0.22,0.97
0.27,0.2,0.97
0.27,0.19,0.97
0.26,0.18,0.96
0.24,0.17,0.94
0.24,0.16,0.92
0.26,0.16,0.93
0.27,0.16,0.94
0.25,0.16,0.97
0.23,0.16,0.99
0.22,0.17,0.99
0.22,0.17,0.99
0.21,0.17,0.98
0.2,0.16,0.99
0.18,0.15,0.98
0.16,0.15,0.96
0.16,0.14,0.95
0.16,0.14,0.94
0.17,0.14,0.93
0.17,0.14,0.94
0.2,0.12,0.98
0.24,0.13,1.05
0.2,0.15,1.07
0.16,0.13,1.08
0.18,0.11,1.11
0.19,0.13,1.12
0.19,0.13,1.13
0.22,0.13,1.12
0.23,0.14,1.08
0.21,0.15,1.04
0.18,0.16,1.01
0.15,0.16,0.98
0.15,0.16,0.98
0.14,0.16,0.97
0.13,0.16,0.97
0.11,0.17,0.97
0.08,0.17,0.97
0.07,0.17,0.97
0.06,0.16,0.95
0.11,0.08,0.95
0.18,0.04,0.98
0.22,0.05,1.02
0.2,0.08,1.03
0.17,0.09,1.02
0.15,0.09,0.99
0.14,0.12,0.98
0.16,0.13,0.95
0.21,0.13,0.93
0.24,0.12,0.92
0.24,0.13,0.92
0.23,0.13,0.94
0.21,0.12,0.96
0.2,0.12,0.97
0.2,0.13,0.98
0.2,0.12,0.97
0.21,0.11,0.96
0.25,0.11,0.98
0.29,0.11,0.99
0.31,0.11,1
0.32,0.11,1
0.31,0.12,0.99
0.29,0.12,0.98
0.27,0.11,0.97
0.29,0.1,0.97
0.3,0.09,0.98
0.31,0.07,0.98
0.33,0.07,0.98
0.35,0.07,0.97
0.37,0.08,0.95
0.37,0.08,0.93
0.35,0.09,0.91
0.33,0.09,0.9
0.31,0.1,0.89
0.31,0.11,0.89
0.32,0.12,0.9
0.32,0.13,0.9
0.32,0.15,0.91
0.31,0.16,0.91
0.3,0.18,0.91
0.31,0.19,0.91
0.33,0.19,0.91
0.34,0.2,0.9
0.35,0.21,0.9
0.34,0.22,0.91
0.32,0.22,0.92
0.3,0.22,0.93
0.29,0.22,0.92
0.28,0.21,0.91
0.29,0.21,0.91
0.31,0.22,0.92
0.34,0.22,0.93
0.35,0.23,0.93
0.36,0.24,0.93
0.38,0.24,0.93
0.39,0.23,0.92
0.37,0.22,0.91
0.35,0.21,0.9
0.35,0.21,0.9
0.37,0.21,0.9
0.39,0.21,0.91
0.4,0.2,0.91
0.4,0.2,0.9
0.39,0.2,0.89
0.38,0.21,0.88
0.38,0.21,0.88
0.38,0.22,0.89
0.38,0.24,0.89
0.37,0.23,0.89
0.37,0.23,0.9
0.36,0.24,0.91
0.37,0.25,0.91
0.38,0.25,0.92
0.37,0.25,0.93
0.36,0.26,0.94
0.35,0.26,0.94
0.35,0.27,0.94
0.34,0.26,0.94
0.33,0.26,0.93
0.32,0.26,0.93
0.33,0.26,0.92
0.33,0.26,0.92
0.33,0.26,0.92
0.32,0.26,0.92
0.32,0.25,0.92
0.32,0.25,0.92
0.31,0.23,0.92
0.34,0.22,0.92
0.37,0.21,0.92
0.4,0.21,0.92
0.42,0.2,0.92
0.43,0.2,0.93
0.43,0.2,0.93
0.42,0.21,0.93
0.41,0.21,0.92
0.39,0.21,0.9
0.38,0.22,0.88
0.38,0.22,0.86
0.4,0.22,0.85
0.4,0.23,0.83
0.41,0.22,0.82
0.43,0.22,0.83
0.44,0.22,0.85
0.44,0.23,0.87
0.42,0.24,0.89
0.39,0.24,0.9
0.37,0.25,0.91
0.37,0.26,0.89
0.37,0.26,0.88
0.36,0.27,0.87
0.37,0.27,0.85
0.39,0.26,0.85
0.39,0.27,0.86
0.38,0.28,0.89
0.36,0.29,0.91
0.35,0.29,0.94
0.34,0.3,0.95
0.34,0.31,0.95
0.34,0.3,0.94
0.34,0.3,0.93
0.34,0.29,0.92
0.35,0.29,0.92
0.36,0.28,0.92
0.37,0.27,0.93
0.39,0.26,0.93
0.39,0.26,0.93
0.39,0.26,0.92
0.38,0.26,0.92
0.37,0.27,0.92
0.36,0.27,0.92
0.36,0.28,0.91
0.36,0.28,0.91
0.36,0.28,0.9
0.35,0.27,0.89
0.35,0.27,0.89
0.35,0.27,0.88
0.33,0.27,0.86
0.31,0.26,0.84
0.31,0.26,0.84
0.3,0.25,0.85
0.31,0.24,0.87
0.32,0.24,0.88
0.34,0.23,0.9
0.36,0.22,0.91
0.38,0.21,0.91
0.37,0.21,0.91
0.33,0.21,0.9
0.3,0.2,0.88
0.28,0.2,0.86
0.29,0.2,0.86
0.3,0.19,0.86
0.32,0.17,0.88
0.33,0.17,0.89
0.32,0.17,0.9
0.32,0.16,0.9
0.3,0.16,0.89
0.28,0.16,0.9
0.26,0.16,0.9
0.25,0.16,0.89
0.26,0.16,0.89
0.28,0.15,0.88
0.3,0.15,0.88
0.31,0.15,0.89
0.29,0.14,0.91
0.27,0.14,0.96
0.28,0.15,0.99
0.32,0.15,0.99
0.34,0.16,0.97
0.35,0.18,0.95
0.34,0.19,0.94
0.35,0.2,0.94
0.36,0.19,0.94
0.33,0.2,1.01
0.3,0.24,1.02
0.28,0.26,1.01
0.27,0.26,0.99
0.26,0.26,0.97
0.26,0.26,0.95
0.26,0.26,0.95
0.26,0.25,0.94
0.25,0.25,0.95
0.24,0.24,0.94
0.24,0.23,0.94
0.24,0.22,0.94
0.25,0.23,0.93
0.24,0.23,0.92
0.23,0.22,0.92
0.23,0.21,0.92
0.22,0.21,0.93
0.22,0.2,0.94
0.23,0.19,0.94
0.25,0.19,0.93
0.26,0.19,0.92
0.27,0.18,0.92
0.28,0.18,0.92
0.3,0.18,0.93
0.34,0.18,0.92
0.36,0.19,0.92
0.35,0.2,0.92
0.32,0.21,0.93
0.31,0.21,0.93
0.31,0.21,0.93
0.31,0.21,0.94
0.3,0.21,0.95
0.29,0.2,0.95
0.28,0.2,0.95
0.3,0.21,0.93
0.31,0.21,0.91
0.3,0.21,0.91
0.28,0.22,0.91
0.26,0.21,0.92
0.23,0.21,0.96
0.2,0.21,1.02
0.18,0.19,1.05
0.19,0.18,1.04
0.2,0.19,1.03
0.22,0.21,0.99
0.24,0.2,0.98
0.23,0.2,0.97
0.22,0.2,0.97
0.22,0.2,0.96
0.22,0.19,0.96
0.19,0.18,0.96
0.17,0.18,0.95
0.17,0.17,0.95
0.16,0.16,0.96
0.15,0.15,0.98
0.15,0.15,0.98
0.15,0.14,0.97
0.16,0.13,0.95
0.17,0.11,0.95
0.19,0.09,0.96
0.21,0.09,0.97
0.21,0.08,0.99
0.21,0.09,0.99
0.21,0.09,0.97
0.2,0.1,0.97
0.2,0.11,0.97
0.21,0.12,0.97
0.23,0.12,0.98
0.24,0.13,0.99
0.26,0.14,0.98
0.3,0.15,0.97
0.3,0.16,0.97
0.29,0.17,0.97
0.26,0.19,0.99
0.24,0.2,0.99
0.21,0.2,0.99
0.18,0.19,0.98
0.16,0.19,0.98
0.16,0.19,0.97
0.21,0.19,0.98
0.29,0.21,0.99
0.35,0.23,0.99
0.36,0.25,1
0.35,0.27,1.01
0.32,0.28,1.01
0.29,0.29,0.99
0.28,0.29,0.98
0.3,0.29,0.95
0.3,0.3,0.95
0.3,0.31,0.94
0.32,0.32,0.94
0.33,0.33,0.91
0.35,0.33,0.89
0.36,0.35,0.88
0.36,0.37,0.87
0.37,0.38,0.85
0.4,0.39,0.81
0.42,0.41,0.79
0.45,0.41,0.75
0.46,0.4,0.71
0.46,0.4,0.68
0.5,0.41,0.63
0.53,0.43,0.61
0.55,0.43,0.59
0.55,0.43,0.58
0.57,0.43,0.57
0.6,0.43,0.56
0.64,0.44,0.52
0.67,0.44,0.49
0.68,0.43,0.49
0.69,0.43,0.48
0.71,0.43,0.45
0.71,0.44,0.43
0.71,0.44,0.41
0.75,0.45,0.39
0.78,0.45,0.37
0.79,0.44,0.37
0.78,0.45,0.36
0.78,0.46,0.33
0.81,0.45,0.29
0.82,0.45,0.27
0.84,0.45,0.27
0.85,0.45,0.27
0.85,0.45,0.27
0.88,0.45,0.25
0.88,0.45,0.23
0.87,0.44,0.22
0.87,0.45,0.22
0.88,0.45,0.22
0.89,0.46,0.22
0.92,0.46,0.21
0.94,0.45,0.18
0.98,0.44,0.16
0.98,0.44,0.14
0.98,0.45,0.12
0.99,0.45,0.12
0.99,0.47,0.12
0.99,0.46,0.12
0.99,0.46,0.12
0.99,0.48,0.12
1.01,0.48,0.12
1.03,0.48,0.11
1.01,0.5,0.08
0.99,0.5,0.07
1.01,0.51,0.06
1.01,0.52,0.04
0.97,0.51,0.02
0.94,0.5,0.02
0.96,0.48,0.01
0.97,0.49,0.01
0.96,0.5,0
0.94,0.5,-0.01
0.93,0.51,-0.02
0.92,0.51,-0.02
0.89,0.51,-0.02
0.86,0.51,-0.03
0.85,0.51,-0.04
0.83,0.5,-0.07
0.82,0.52,-0.08
0.79,0.53,-0.08
0.77,0.54,-0.08
0.78,0.55,-0.09
0.8,0.55,-0.1
0.8,0.54,-0.09
0.77,0.54,-0.09
0.74,0.55,-0.09
0.71,0.57,-0.07
0.71,0.58,-0.07
0.7,0.59,-0.09
0.7,0.6,-0.11
0.7,0.6,-0.11
0.7,0.61,-0.11
0.69,0.61,-0.1
0.69,0.62,-0.1
0.68,0.63,-0.1
0.68,0.66,-0.1
0.66,0.66,-0.1
0.66,0.66,-0.09
0.66,0.65,-0.08
0.66,0.65,-0.05
0.67,0.66,-0.04
0.68,0.65,-0.04
0.68,0.64,-0.05
0.67,0.65,-0.05
0.65,0.66,-0.06
0.63,0.67,-0.06
0.61,0.68,-0.07
0.6,0.69,-0.06
0.6,0.7,-0.05
0.6,0.7,-0.04
0.61,0.7,-0.03
0.61,0.7,-0.03
0.61,0.71,-0.04
0.6,0.71,-0.04
0.59,0.71,-0.04
0.58,0.73,-0.05
0.56,0.74,-0.07
0.57,0.73,-0.07
0.59,0.72,-0.05
0.6,0.73,-0.03
0.6,0.73,-0.02
0.6,0.73,-0.02
0.61,0.74,-0.02
0.61,0.74,-0.01
0.62,0.74,-0.02
0.61,0.73,-0.02
0.61,0.74,-0.02
0.6,0.74,-0.03
0.6,0.74,-0.02
0.6,0.74,-0.02
0.59,0.74,-0.01
0.6,0.73,0
0.6,0.73,0
0.59,0.72,-0.01
0.59,0.73,-0.01
0.6,0.73,-0.02
0.61,0.74,-0.03
0.61,0.74,-0.04
0.61,0.73,-0.04
0.6,0.73,-0.03
0.6,0.74,-0.02
0.61,0.75,-0.02
0.61,0.75,-0.03
0.6,0.75,-0.04
0.6,0.76,-0.04
0.6,0.75,-0.04
0.6,0.75,-0.04
0.6,0.75,-0.04
0.61,0.75,-0.03
0.61,0.75,-0.03
0.61,0.74,-0.02
0.62,0.74,-0.02
0.63,0.73,-0.02
0.64,0.73,-0.02
0.65,0.72,-0.02
0.65,0.71,-0.01
0.65,0.7,-0.01
0.65,0.69,0
0.64,0.68,0.01
0.66,0.66,0.03
0.67,0.66,0.04
0.69,0.66,0.05
0.7,0.66,0.06
0.7,0.64,0.06
0.72,0.63,0.06
0.73,0.61,0.05
0.74,0.6,0.05
0.74,0.6,0.07
0.72,0.61,0.1
0.71,0.6,0.11
0.71,0.6,0.12
0.71,0.61,0.12
0.71,0.61,0.11
0.71,0.61,0.1
0.71,0.61,0.1
0.72,0.6,0.1
0.73,0.61,0.1
0.72,0.62,0.1
0.71,0.62,0.1
0.71,0.61,0.1
0.72,0.6,0.11
0.73,0.6,0.12
0.75,0.59,0.13
0.77,0.58,0.13
0.77,0.58,0.14
0.76,0.59,0.14
0.75,0.62,0.14
0.75,0.64,0.14
0.75,0.64,0.14
0.74,0.63,0.14
0.74,0.61,0.14
0.74,0.59,0.16
0.75,0.57,0.17
0.77,0.57,0.19
0.79,0.58,0.21
0.82,0.6,0.23
0.82,0.6,0.24
0.81,0.6,0.24
0.8,0.61,0.25
0.79,0.62,0.26
0.77,0.62,0.27
0.74,0.61,0.29
0.7,0.59,0.32
0.68,0.58,0.36
0.67,0.59,0.38
0.66,0.6,0.4
0.64,0.6,0.43
0.64,0.59,0.46
0.65,0.58,0.48
0.65,0.57,0.51
0.66,0.56,0.53
0.67,0.55,0.54
0.65,0.55,0.56
0.62,0.54,0.58
0.59,0.54,0.61
0.57,0.54,0.62
0.54,0.53,0.65
0.52,0.52,0.67
0.53,0.51,0.67
0.54,0.51,0.67
0.56,0.5,0.67
0.55,0.48,0.69
0.54,0.49,0.72
0.54,0.48,0.73
0.51,0.47,0.75
0.49,0.46,0.75
0.46,0.45,0.74
0.45,0.45,0.73
0.42,0.46,0.73
0.4,0.45,0.73
0.4,0.45,0.74
0.4,0.44,0.76
0.42,0.42,0.78
0.43,0.42,0.78
0.43,0.42,0.79
0.4,0.41,0.83
0.32,0.4,0.85
0.3,0.4,0.84
0.28,0.4,0.84
0.23,0.39,0.83
0.19,0.37,0.84
0.19,0.37,0.85
0.2,0.36,0.88
0.21,0.35,0.89
0.21,0.34,0.89
0.2,0.33,0.89
0.19,0.33,0.9
0.15,0.33,0.91
0.12,0.31,0.93
0.11,0.29,0.95
0.12,0.28,0.96
0.15,0.27,0.96
0.17,0.26,0.96
0.16,0.25,0.96
0.16,0.24,0.98
0.14,0.24,0.99
0.13,0.23,1
0.11,0.22,1
0.1,0.21,1
0.1,0.21,0.99
0.11,0.21,0.99
0.12,0.19,1.01
0.12,0.17,1.04
0.12,0.16,1.04
0.11,0.16,1.04
0.11,0.15,1.02
0.11,0.15,1
0.12,0.15,0.99
0.11,0.15,1
0.08,0.14,1.01
0.08,0.14,1.02
0.08,0.14,1.03
0.08,0.14,1.03
0.09,0.13,1.03
0.11,0.13,1.01
0.11,0.13,1
0.08,0.12,1
0.07,0.11,1.01
0.06,0.11,1.02
0.06,0.1,1.03
0.06,0.11,1.05
0.05,0.13,1.04
0.05,0.12,1.02
0.06,0.1,1.01
0.06,0.1,1.01
0.04,0.09,1.05
0.04,0.1,1.07
0.07,0.1,1.07
0.12,0.09,1.06
0.15,0.09,1.07
0.12,0.13,1.08
0.07,0.15,1.05
0.06,0.14,1.01
0.08,0.12,0.97
0.11,0.12,0.96
