Acc_x,Acc_y,Acc_z
0.32,0.23,0.9
0.33,0.23,0.91
0.34,0.23,0.92
0.34,0.23,0.93
0.33,0.24,0.93
0.33,0.24,0.92
0.33,0.25,0.92
0.32,0.25,0.91
0.32,0.26,0.91
0.33,0.26,0.91
0.33,0.26,0.91
0.33,0.26,0.91
0.33,0.27,0.92
0.32,0.27,0.92
0.32,0.27,0.91
0.32,0.27,0.91
0.32,0.27,0.92
0.33,0.27,0.93
0.34,0.26,0.94
0.34,0.26,0.94
0.33,0.26,0.95
0.32,0.25,0.94
0.31,0.25,0.93
0.29,0.25,0.91
0.29,0.24,0.89
0.28,0.24,0.89
0.28,0.23,0.92
0.28,0.23,0.92
0.28,0.23,0.94
0.28,0.23,0.95
0.28,0.24,0.95
0.29,0.24,0.95
0.3,0.24,0.96
0.31,0.23,0.95
0.33,0.24,0.94
0.34,0.25,0.93
0.33,0.25,0.93
0.31,0.25,0.94
0.29,0.25,0.96
0.25,0.25,0.96
0.22,0.24,0.94
0.22,0.24,0.94
0.26,0.24,0.93
0.29,0.24,0.93
0.29,0.24,0.92
0.29,0.24,0.91
0.26,0.25,0.91
0.22,0.24,0.9
0.19,0.23,0.9
0.16,0.22,0.92
0.14,0.21,0.94
0.16,0.19,0.95
0.19,0.18,0.96
0.22,0.18,0.97
0.27,0.19,0.98
0.28,0.19,0.98
0.26,0.18,0.98
0.26,0.18,0.98
0.26,0.18,0.98
0.27,0.19,0.98
0.27,0.19,0.99
0.28,0.2,0.99
0.29,0.21,0.98
0.3,0.21,0.98
0.31,0.21,0.97
0.33,0.23,0.97
0.33,0.24,0.97
0.33,0.25,0.99
0.34,0.26,1
0.35,0.28,0.94
0.35,0.3,0.93
0.38,0.31,0.92
0.39,0.33,0.91
0.41,0.34,0.9
0.41,0.36,0.88
0.4,0.36,0.85
0.41,0.37,0.83
0.43,0.38,0.79
0.46,0.39,0.76
0.51,0.41,0.74
0.57,0.43,0.72
0.61,0.43,0.69
0.64,0.42,0.67
0.67,0.43,0.65
0.66,0.44,0.61
0.65,0.44,0.59
0.65,0.45,0.58
0.65,0.45,0.57
0.66,0.45,0.55
