Acc_x,Acc_y,Acc_z
-0.36,0.36,0.77
-0.38,0.37,0.81
-0.4,0.38,0.86
-0.42,0.38,0.9
-0.43,0.38,0.92
-0.43,0.38,0.92
-0.42,0.37,0.91
-0.41,0.36,0.88
-0.4,0.35,0.85
-0.4,0.34,0.83
-0.41,0.33,0.81
-0.43,0.32,0.81
-0.44,0.31,0.81
-0.44,0.31,0.82
-0.45,0.31,0.83
-0.45,0.31,0.84
-0.45,0.31,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.42,0.32,0.85
-0.42,0.33,0.85
-0.41,0.33,0.85
-0.4,0.33,0.84
-0.4,0.34,0.85
-0.4,0.34,0.85
-0.41,0.34,0.85
-0.41,0.34,0.84
-0.42,0.34,0.84
-0.43,0.34,0.84
-0.43,0.33,0.85
-0.44,0.32,0.84
-0.44,0.32,0.84
-0.44,0.32,0.85
-0.44,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.42,0.32,0.84
-0.42,0.32,0.85
-0.41,0.32,0.84
-0.42,0.32,0.84
-0.42,0.32,0.85
-0.43,0.32,0.85
-0.43,0.33,0.85
-0.43,0.33,0.84
-0.43,0.33,0.85
-0.43,0.33,0.85
-0.43,0.33,0.85
-0.43,0.33,0.85
-0.43,0.33,0.84
-0.42,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.85
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.33,0.84
-0.43,0.32,0.84
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.84
-0.43,0.32,0.85
-0.43,0.32,0.85
-0.43,0.32,0.84
