Acc_x,Acc_y,Acc_z
0.34,0.12,-0.95
0.34,0.1,-0.97
0.34,0.11,-0.96
0.33,0.12,-0.91
0.35,0.13,-0.86
0.37,0.15,-0.83
0.39,0.16,-0.82
0.4,0.15,-0.84
0.42,0.12,-0.87
0.42,0.11,-0.88
0.42,0.1,-0.87
0.41,0.09,-0.85
0.41,0.1,-0.82
0.42,0.1,-0.79
0.42,0.09,-0.77
0.42,0.07,-0.76
0.41,0.05,-0.78
0.38,0.02,-0.83
0.35,0.01,-0.89
0.32,0,-0.95
0.3,-0.01,-0.98
0.3,0,-0.99
0.3,0.02,-1
0.29,0.01,-1.03
0.26,0.02,-1.05
0.22,0.04,-1.05
0.18,0.05,-1.04
0.15,0.06,-1.02
0.14,0.06,-1.02
0.07,0.05,-0.99
0.07,0.05,-0.99
0.08,0.06,-0.97
0.08,0.05,-0.96
0.09,0.05,-0.95
0.11,0.04,-0.95
0.12,0.04,-0.94
0.15,0.04,-0.95
0.16,0.02,-0.95
0.18,0.02,-0.95
0.18,0.03,-0.95
0.18,0.04,-0.96
0.19,0.03,-1.02
0.2,0.01,-1.02
0.2,0.02,-0.98
0.21,0.04,-0.95
0.22,0.06,-0.93
0.22,0.06,-0.92
0.22,0.04,-0.93
0.22,0.01,-0.94
0.2,-0.01,-0.93
0.19,0,-0.93
0.18,0.02,-0.92
0.18,0.04,-0.93
0.18,0.06,-0.94
0.18,0.1,-0.95
0.19,0.13,-0.97
0.2,0.13,-0.99
0.21,0.1,-0.99
0.21,0.09,-1
0.22,0.07,-1
0.24,0.07,-1.01
0.24,0.07,-1
0.24,0.08,-0.99
0.24,0.06,-0.99
0.25,0.05,-0.98
0.25,0.05,-0.98
0.24,0.03,-0.97
0.24,0.03,-0.96
0.23,0.05,-0.95
0.23,0.06,-0.96
0.23,0.06,-0.95
0.23,0.04,-0.95
0.23,0.02,-0.94
0.22,0.02,-0.94
0.22,0.04,-0.94
0.22,0.05,-0.95
0.23,0.05,-0.96
0.23,0.07,-0.97
0.23,0.09,-0.98
0.22,0.1,-0.97
0.23,0.11,-0.96
0.23,0.13,-0.97
0.25,0.11,-0.98
0.27,0.06,-1
0.28,0.04,-1
0.27,0.04,-0.99
0.27,0.06,-0.96
0.27,0.07,-0.94
0.27,0.07,-0.93
0.26,0.11,-0.92
0.27,0.13,-0.91
0.28,0.1,-0.93
0.3,0.07,-0.94
0.3,0.05,-0.92
0.29,0.04,-0.9
0.29,0.06,-0.88
0.3,0.07,-0.87
0.3,0.09,-0.89
0.32,0.08,-0.91
0.33,0.06,-0.91
0.33,0.06,-0.9
0.33,0.06,-0.89
0.33,0.07,-0.88
0.33,0.07,-0.89
0.33,0.07,-0.9
0.32,0.07,-0.91
0.33,0.08,-0.92
0.32,0.08,-0.94
0.31,0.08,-0.96
0.31,0.08,-0.98
0.3,0.07,-1
0.28,0.06,-1
0.27,0.05,-1
0.27,0.04,-0.99
0.27,0.04,-0.97
0.26,0.05,-0.97
0.25,0.04,-0.99
0.23,0.04,-1.01
0.2,0.07,-1.01
0.19,0.09,-1.02
0.18,0.09,-1.01
0.18,0.08,-1
0.17,0.08,-0.97
0.15,0.06,-0.94
0.15,0.04,-0.94
0.17,0.02,-0.95
0.19,0,-0.97
0.2,0.06,-1.01
0.23,0.1,-1.02
0.23,0.11,-1.02
0.23,0.1,-1.01
0.23,0.1,-0.99
0.24,0.08,-0.97
0.25,0.06,-0.94
0.28,0.04,-0.91
0.3,0.03,-0.89
0.32,0.03,-0.87
0.34,0.03,-0.86
0.36,0.04,-0.87
0.36,0.05,-0.88
0.36,0.07,-0.91
0.35,0.09,-0.93
0.35,0.09,-0.95
0.34,0.08,-0.97
0.32,0.08,-0.96
0.31,0.09,-0.95
0.32,0.1,-0.95
0.32,0.08,-0.94
0.33,0.07,-0.93
0.32,0.06,-0.92
0.32,0.06,-0.91
0.31,0.07,-0.91
0.31,0.08,-0.93
0.31,0.08,-0.94
0.3,0.07,-0.94
0.3,0.07,-0.91
0.31,0.07,-0.9
0.32,0.07,-0.89
0.33,0.07,-0.9
0.34,0.06,-0.91
0.34,0.05,-0.93
0.34,0.07,-0.93
0.34,0.09,-0.93
0.35,0.1,-0.93
0.35,0.1,-0.94
0.35,0.1,-0.95
0.35,0.08,-0.96
0.35,0.05,-0.96
0.35,0.04,-0.96
0.34,0.03,-0.95
0.33,0.04,-0.94
0.33,0.05,-0.93
0.33,0.06,-0.93
0.31,0.07,-0.93
0.3,0.08,-0.93
0.3,0.08,-0.93
0.3,0.07,-0.94
0.3,0.07,-0.94
0.3,0.07,-0.94
0.31,0.06,-0.94
0.32,0.06,-0.94
0.33,0.06,-0.95
0.33,0.07,-0.95
0.33,0.08,-0.95
0.33,0.08,-0.94
0.32,0.09,-0.93
