Acc_x,Acc_y,Acc_z
0.55,0.04,1.05
0.56,0.02,1.04
0.58,-0.01,1.03
0.6,-0.04,1.03
0.64,-0.07,1.04
0.73,-0.09,1.04
0.82,-0.1,1.04
0.87,-0.12,1.03
0.89,-0.14,1.01
0.9,-0.17,0.99
0.92,-0.21,0.96
0.93,-0.26,0.93
0.91,-0.3,0.91
0.87,-0.33,0.9
0.84,-0.35,0.87
0.82,-0.36,0.85
0.81,-0.37,0.83
0.8,-0.38,0.8
0.78,-0.39,0.77
0.75,-0.41,0.72
0.71,-0.45,0.67
0.67,-0.49,0.62
0.62,-0.51,0.59
0.56,-0.53,0.57
0.47,-0.54,0.55
0.43,-0.55,0.53
0.4,-0.56,0.49
0.36,-0.58,0.46
0.32,-0.6,0.43
0.27,-0.62,0.38
0.23,-0.64,0.33
0.19,-0.65,0.3
0.15,-0.67,0.27
0.1,-0.69,0.25
0.07,-0.7,0.26
0.05,-0.7,0.24
0.02,-0.71,0.22
-0.01,-0.72,0.19
-0.03,-0.74,0.16
-0.05,-0.75,0.12
-0.07,-0.77,0.09
-0.08,-0.79,0.06
-0.06,-0.8,0.05
-0.04,-0.78,0.05
-0.03,-0.77,0.05
-0.04,-0.77,0.04
-0.05,-0.77,0.03
-0.06,-0.77,0.01
-0.07,-0.79,-0.01
-0.08,-0.79,-0.04
-0.05,-0.78,-0.04
-0.01,-0.77,-0.02
0.04,-0.74,0.02
0.08,-0.72,0.08
0.1,-0.7,0.16
0.11,-0.68,0.25
0.07,-0.69,0.31
0.05,-0.7,0.33
0.06,-0.7,0.33
0.1,-0.67,0.36
0.19,-0.6,0.44
0.49,-0.55,0.57
1.36,0.16,2.32
-0.09,1.12,3.99
-0.81,0.65,2.63
0.6,-0.6,1.23
0.4,-1.22,1.1
0.27,-1.26,0.69
0.29,-1.13,0.21
-0.02,-0.97,0.13
-0.13,-0.79,0.32
0.01,-0.67,0.48
0.12,-0.69,0.58
0.22,-0.78,0.67
0.22,-0.88,0.79
0.16,-0.93,0.96
0.21,-0.88,0.91
0.26,-0.85,0.82
0.29,-0.86,0.72
0.3,-0.86,0.65
0.32,-0.84,0.64
0.36,-0.82,0.67
0.39,-0.8,0.72
0.42,-0.8,0.78
0.43,-0.8,0.81
0.43,-0.8,0.81
0.42,-0.79,0.8
0.41,-0.79,0.78
0.42,-0.79,0.77
0.44,-0.78,0.76
0.46,-0.77,0.76
0.49,-0.77,0.76
0.52,-0.76,0.76
0.55,-0.76,0.77
0.58,-0.75,0.79
0.59,-0.75,0.81
0.59,-0.75,0.83
0.6,-0.76,0.83
0.63,-0.77,0.83
0.64,-0.77,0.85
0.65,-0.77,0.85
0.65,-0.77,0.85
0.66,-0.74,0.85
0.67,-0.73,0.84
0.69,-0.71,0.84
0.73,-0.7,0.83
0.74,-0.7,0.83
0.74,-0.7,0.82
0.74,-0.68,0.82
0.73,-0.67,0.83
0.71,-0.65,0.84
0.68,-0.62,0.85
0.64,-0.6,0.85
0.61,-0.57,0.83
0.59,-0.55,0.81
0.57,-0.52,0.79
0.55,-0.51,0.76
0.53,-0.5,0.74
0.52,-0.48,0.73
0.52,-0.45,0.71
0.51,-0.43,0.7
0.51,-0.41,0.7
0.5,-0.39,0.69
0.48,-0.37,0.68
0.45,-0.36,0.64
0.42,-0.35,0.6
0.39,-0.32,0.56
0.38,-0.3,0.55
0.38,-0.3,0.56
0.39,-0.3,0.59
0.39,-0.29,0.62
0.38,-0.29,0.62
0.37,-0.3,0.6
0.35,-0.3,0.57
0.33,-0.3,0.53
0.31,-0.31,0.5
0.31,-0.32,0.5
0.31,-0.33,0.51
0.33,-0.33,0.55
0.34,-0.33,0.59
0.35,-0.34,0.62
0.35,-0.34,0.63
0.35,-0.34,0.62
0.35,-0.34,0.61
0.35,-0.34,0.6
0.36,-0.34,0.59
0.37,-0.34,0.6
0.38,-0.34,0.61
0.39,-0.34,0.63
0.4,-0.34,0.64
0.41,-0.35,0.65
0.42,-0.36,0.66
0.42,-0.38,0.65
0.42,-0.4,0.64
0.43,-0.44,0.64
0.44,-0.46,0.66
0.46,-0.48,0.67
0.47,-0.5,0.69
0.48,-0.51,0.71
0.48,-0.52,0.73
0.47,-0.53,0.75
0.46,-0.53,0.75
0.45,-0.53,0.76
0.44,-0.54,0.76
0.44,-0.54,0.77
0.44,-0.54,0.78
0.44,-0.53,0.8
0.44,-0.53,0.81
0.44,-0.53,0.82
0.44,-0.52,0.84
0.43,-0.51,0.84
0.42,-0.51,0.85
0.4,-0.5,0.84
0.4,-0.5,0.84
0.4,-0.5,0.83
0.41,-0.49,0.83
0.42,-0.49,0.84
0.44,-0.49,0.84
0.46,-0.49,0.83
0.47,-0.49,0.81
0.5,-0.47,0.82
0.5,-0.46,0.84
0.5,-0.45,0.85
0.51,-0.46,0.84
0.52,-0.47,0.84
0.54,-0.49,0.85
0.57,-0.5,0.86
0.59,-0.5,0.87
0.61,-0.5,0.86
0.63,-0.51,0.83
0.64,-0.52,0.79
0.65,-0.53,0.76
0.65,-0.54,0.72
0.65,-0.55,0.69
0.65,-0.55,0.65
0.66,-0.56,0.63
0.65,-0.56,0.6
0.65,-0.57,0.58
0.64,-0.59,0.57
0.62,-0.6,0.57
0.59,-0.61,0.57
0.57,-0.62,0.56
0.56,-0.63,0.56
0.56,-0.64,0.56
0.57,-0.64,0.57
0.57,-0.63,0.59
0.59,-0.62,0.6
0.59,-0.61,0.6
0.59,-0.6,0.61
0.59,-0.58,0.61
0.58,-0.57,0.61
0.57,-0.55,0.61
0.55,-0.53,0.6
