Acc_x,Acc_y,Acc_z
-0.04,0.3,0.01
-0.12,0.24,-0.04
-0.15,0.15,-0.1
-0.15,0.07,-0.14
-0.1,0.02,-0.17
-0.06,0,-0.15
-0.05,-0.05,-0.26
0.04,-0.18,-0.32
0.01,-0.28,-0.37
-0.04,-0.29,-0.41
-0.12,-0.3,-0.45
-0.17,-0.32,-0.47
-0.17,-0.28,-0.49
-0.2,-0.36,-0.52
-0.22,-0.45,-0.59
-0.2,-0.42,-0.68
-0.22,-0.42,-0.74
-0.26,-0.48,-0.8
-0.31,-0.53,-0.86
-0.35,-0.57,-0.92
-0.43,-0.6,-0.94
-0.53,-0.67,-0.94
-0.55,-0.69,-0.92
-0.6,-0.71,-0.91
-0.69,-0.76,-0.89
-0.72,-0.78,-0.82
-0.63,-0.77,-0.78
-0.63,-0.79,-0.73
-0.66,-0.82,-0.68
-0.62,-0.83,-0.61
-0.59,-0.84,-0.5
-0.53,-0.85,-0.42
-0.48,-0.87,-0.29
-0.41,-0.9,-0.23
-0.36,-0.93,-0.17
-0.32,-0.95,-0.12
-0.3,-0.96,-0.08
-0.26,-0.96,-0.02
-0.22,-0.97,0.04
-0.19,-0.97,0.09
-0.16,-0.99,0.13
-0.13,-1.01,0.17
-0.11,-1.03,0.2
-0.09,-1.04,0.24
-0.08,-1.05,0.26
-0.08,-1.07,0.28
-0.07,-1.08,0.3
-0.07,-1.07,0.31
-0.08,-1.06,0.31
-0.09,-1.04,0.3
-0.09,-1.02,0.29
-0.1,-1.02,0.28
-0.11,-1.03,0.27
-0.11,-1.03,0.27
-0.12,-1.01,0.26
-0.13,-1,0.24
-0.13,-1,0.23
-0.12,-1,0.22
-0.13,-1,0.18
-0.16,-0.99,0.17
-0.16,-0.99,0.15
-0.17,-0.98,0.14
-0.17,-0.98,0.12
-0.18,-0.98,0.12
-0.18,-0.98,0.12
-0.19,-0.97,0.11
-0.2,-0.97,0.11
-0.21,-0.97,0.11
-0.21,-0.98,0.09
-0.21,-0.98,0.08
-0.21,-0.99,0.08
-0.21,-0.98,0.08
-0.21,-0.98,0.07
-0.21,-0.98,0.07
-0.21,-0.98,0.06
-0.22,-0.97,0.05
-0.23,-0.97,0.05
-0.24,-0.96,0.05
-0.24,-0.95,0.05
-0.24,-0.95,0.05
-0.24,-0.94,0.04
-0.26,-0.94,0.03
-0.27,-0.93,0.02
-0.27,-0.92,0.01
-0.28,-0.91,-0.01
-0.3,-0.89,-0.05
-0.31,-0.88,-0.07
-0.31,-0.87,-0.09
-0.31,-0.86,-0.11
-0.31,-0.85,-0.13
-0.31,-0.84,-0.15
-0.31,-0.82,-0.15
-0.29,-0.8,-0.16
-0.28,-0.77,-0.16
-0.28,-0.75,-0.15
-0.27,-0.74,-0.15
-0.27,-0.74,-0.15
-0.28,-0.75,-0.15
-0.28,-0.76,-0.15
-0.26,-0.76,-0.14
-0.26,-0.75,-0.13
-0.26,-0.74,-0.12
-0.26,-0.72,-0.13
-0.27,-0.69,-0.14
-0.29,-0.66,-0.15
-0.3,-0.64,-0.16
-0.3,-0.64,-0.15
-0.28,-0.64,-0.15
-0.26,-0.6,-0.15
-0.24,-0.54,-0.14
-0.22,-0.52,-0.11
-0.2,-0.47,-0.08
-0.12,-0.46,-0.04
-0.07,-0.45,0.01
-0.02,-0.42,0.07
0,-0.4,0.13
0,-0.4,0.16
-0.01,-0.4,0.17
-0.01,-0.39,0.2
0,-0.38,0.24
0.03,-0.33,0.29
0.07,-0.27,0.34
0.13,-0.21,0.39
0.19,-0.2,0.4
0.26,-0.24,0.4
0.33,-0.26,0.4
0.37,-0.24,0.41
0.37,-0.17,0.43
0.38,-0.08,0.43
0.42,0,0.42
0.43,0.05,0.45
0.47,0.05,0.47
0.63,0,0.49
0.82,-0.06,0.52
0.93,-0.04,0.56
0.91,0.03,0.59
0.83,0.09,0.59
0.64,0.28,0.6
0.65,0.32,0.57
0.72,0.31,0.58
0.88,0.31,0.64
1.07,0.37,0.74
1.22,0.46,0.82
1.3,0.53,0.85
1.26,0.56,0.82
1.1,0.62,0.83
0.91,0.74,0.89
0.79,0.85,0.91
0.78,0.94,0.94
0.87,1.02,1
1.07,1.04,1.01
1.25,1.01,0.98
1.35,1.04,0.94
1.36,1.07,0.89
1.27,1.09,0.83
1.16,1.13,0.76
1.04,1.13,0.76
0.98,1.12,0.83
1.01,1.16,0.87
1.01,1.25,0.86
0.97,1.34,0.85
0.93,1.4,0.83
0.93,1.42,0.79
0.95,1.52,0.74
0.97,1.48,0.7
0.94,1.44,0.65
0.96,1.44,0.62
0.97,1.41,0.59
0.96,1.37,0.58
0.97,1.35,0.56
0.98,1.3,0.53
0.86,1.25,0.88
0.58,1.3,1.34
0.51,1.36,1.28
0.88,1.17,0.94
1.27,0.99,0.71
1.37,0.88,0.68
1.1,0.71,0.53
0.89,0.83,0.12
1.24,0.99,0.03
1.3,0.9,0.19
0.93,0.93,0.3
0.72,1.01,0.41
0.6,1,0.37
0.59,0.94,0.27
0.56,0.93,0.25
0.52,0.96,0.24
0.5,0.94,0.24
0.58,1,0.1
0.54,0.9,0.07
0.29,0.92,0.04
0.24,0.93,0.07
0.23,0.89,0.08
0.22,0.87,0.04
0.2,0.87,0.04
0.22,0.86,0.04
0.24,0.84,0.02
0.24,0.82,0.01
0.23,0.82,0.01
0.21,0.85,0.01
0.21,0.87,0.01
0.22,0.87,0
0.24,0.88,0
0.25,0.89,0
0.26,0.9,0.01
0.25,0.91,0.02
0.25,0.93,0.03
0.27,0.94,0.04
0.28,0.95,0.05
0.27,0.97,0.06
0.25,0.97,0.06
0.24,0.97,0.07
0.23,0.97,0.08
0.2,0.96,0.11
0.16,0.97,0.16
0.13,1,0.33
0.09,1.01,0.35
0.15,0.97,0.3
0.23,0.96,0.24
0.28,0.96,0.19
0.32,0.98,0.16
0.35,1,0.14
0.36,0.99,0.13
0.35,0.97,0.12
0.33,0.96,0.11
0.34,0.96,0.12
0.32,0.95,0.11
0.3,0.95,0.11
0.25,0.96,0.13
0.22,0.96,0.13
0.24,0.95,0.12
0.24,0.94,0.1
0.24,0.94,0.1
0.25,0.95,0.09
0.27,0.94,0.08
0.28,0.94,0.08
0.26,0.93,0.07
0.24,0.92,0.07
0.23,0.93,0.08
0.24,0.93,0.08
0.25,0.93,0.09
0.28,0.93,0.09
0.31,0.92,0.08
0.3,0.93,0.08
0.29,0.95,0.08
0.27,0.96,0.08
0.27,0.96,0.08
0.27,0.95,0.09
0.26,0.94,0.1
0.26,0.93,0.1
0.26,0.92,0.1
0.26,0.92,0.11
0.27,0.92,0.11
0.27,0.93,0.11
0.27,0.93,0.11
0.26,0.93,0.11
0.26,0.93,0.11
0.26,0.94,0.1
0.25,0.94,0.1
0.25,0.94,0.12
0.25,0.94,0.13
0.25,0.94,0.13
0.24,0.94,0.15
0.25,0.93,0.15
0.26,0.93,0.15
0.28,0.94,0.15
0.28,0.94,0.14
0.28,0.95,0.14
0.29,0.94,0.13
0.3,0.94,0.13
0.29,0.94,0.13
0.28,0.94,0.13
0.28,0.93,0.13
0.28,0.93,0.13
0.28,0.93,0.12
0.28,0.94,0.12
0.29,0.94,0.11
0.29,0.94,0.11
0.29,0.95,0.11
0.28,0.95,0.11
0.29,0.94,0.1
0.29,0.93,0.1
0.29,0.92,0.11
0.29,0.92,0.1
0.29,0.92,0.1
0.28,0.92,0.09
0.28,0.93,0.09
0.29,0.93,0.09
0.29,0.93,0.09
0.3,0.93,0.09
0.29,0.93,0.09
0.29,0.93,0.09
0.3,0.94,0.09
0.31,0.94,0.09
0.32,0.93,0.09
0.32,0.93,0.1
0.33,0.94,0.1
0.33,0.94,0.11
0.34,0.94,0.12
0.34,0.95,0.13
0.33,0.95,0.14
0.34,0.95,0.15
0.36,0.95,0.15
0.35,0.96,0.16
0.34,0.97,0.18
0.34,0.96,0.2
0.34,0.96,0.22
0.35,0.96,0.24
0.37,0.96,0.27
0.39,0.95,0.29
0.41,0.94,0.31
0.42,0.94,0.32
0.44,0.94,0.33
0.47,0.94,0.34
0.5,0.95,0.36
0.55,0.95,0.37
0.61,0.96,0.4
0.65,0.97,0.45
0.66,0.97,0.53
0.65,0.96,0.65
0.71,0.96,0.64
0.73,0.99,0.61
0.76,1.01,0.59
0.82,1,0.62
0.87,1,0.71
0.9,1.02,0.8
0.9,1.06,0.84
0.88,1.08,0.84
0.87,1.1,0.83
0.89,1.12,0.83
0.94,1.13,0.86
1,1.15,0.92
1.05,1.16,1
1.08,1.17,1.06
1.1,1.19,1.08
1.09,1.21,1.06
1.06,1.22,1.04
1.03,1.23,1.05
1.03,1.24,1.09
1.04,1.26,1.15
1.03,1.29,1.19
1.02,1.32,1.21
1.01,1.32,1.2
1.01,1.32,1.19
1.02,1.33,1.19
1.02,1.36,1.15
0.99,1.34,1.12
0.97,1.32,1.1
0.96,1.3,1.08
0.93,1.26,1.04
0.91,1.23,1
0.87,1.19,0.97
0.82,1.16,0.93
0.82,1.1,0.89
0.81,1.01,0.86
0.76,0.95,0.84
0.75,0.88,0.82
0.67,0.82,0.74
0.67,0.77,0.74
0.69,0.72,0.82
0.58,0.66,0.82
0.51,0.6,0.83
0.48,0.56,0.85
0.46,0.52,0.86
0.44,0.48,0.85
0.44,0.45,0.79
0.42,0.39,0.72
0.41,0.32,0.67
0.41,0.29,0.57
0.33,0.23,0.5
0.28,0.14,0.47
0.3,0.12,0.42
0.25,0.06,0.4
0.29,0.1,0.33
0.24,0.08,0.31
0.19,0.08,0.25
0.14,0.01,0.2
0.1,-0.06,0.12
0.06,-0.06,0.02
0.03,-0.1,-0.05
0.05,-0.16,-0.1
0.09,-0.16,-0.15
0.06,-0.09,-0.19
-0.02,-0.1,-0.26
-0.09,-0.11,-0.41
-0.22,-0.16,-0.55
-0.29,-0.22,-0.63
-0.27,-0.27,-0.7
-0.3,-0.28,-0.76
-0.36,-0.28,-0.76
-0.46,-0.33,-0.75
-0.63,-0.42,-0.79
-0.78,-0.49,-0.87
-0.85,-0.52,-0.91
-0.92,-0.56,-0.89
-0.95,-0.62,-0.87
-0.94,-0.66,-0.86
-0.95,-0.7,-0.84
-0.95,-0.76,-0.7
-0.87,-0.8,-0.62
-0.83,-0.84,-0.54
-0.77,-0.86,-0.46
-0.69,-0.87,-0.36
-0.6,-0.88,-0.28
-0.54,-0.92,-0.22
-0.49,-0.97,-0.15
-0.45,-0.99,-0.09
-0.4,-0.99,-0.03
-0.35,-0.98,0.02
