Acc_x,Acc_y,Acc_z
-0.15,0.93,-0.66
-0.17,0.93,-0.6
-0.14,0.92,-0.52
-0.1,0.93,-0.45
-0.07,0.93,-0.4
-0.04,0.92,-0.36
-0.01,0.9,-0.33
0.01,0.88,-0.3
-0.02,0.85,-0.3
-0.09,0.8,-0.3
-0.1,0.77,-0.28
-0.08,0.74,-0.26
-0.05,0.73,-0.23
-0.01,0.72,-0.13
0.07,0.71,-0.1
0.1,0.72,-0.09
0.11,0.73,-0.08
0.11,0.75,-0.06
0.08,0.77,-0.03
0.04,0.79,-0.02
0.01,0.81,-0.02
-0.01,0.84,-0.03
0.01,0.87,-0.08
0.04,0.89,-0.16
0.06,0.91,-0.23
0.06,0.9,-0.25
0.04,0.89,-0.22
0,0.87,-0.16
-0.05,0.85,-0.1
-0.07,0.86,-0.05
-0.08,0.88,0
-0.09,0.89,0.06
-0.11,0.91,0.13
-0.11,0.91,0.18
-0.09,0.91,0.21
-0.05,0.9,0.22
-0.02,0.89,0.22
-0.02,0.89,0.21
-0.01,0.9,0.2
0,0.91,0.21
0.02,0.92,0.21
0.03,0.92,0.19
0.05,0.92,0.18
0.05,0.93,0.19
0.05,0.94,0.2
0.06,0.93,0.2
0.06,0.91,0.19
0.04,0.89,0.18
0.04,0.88,0.18
0.05,0.87,0.19
0.05,0.87,0.2
0.05,0.85,0.2
0.05,0.83,0.2
0.05,0.81,0.22
0.05,0.81,0.24
0.06,0.81,0.25
0.07,0.81,0.26
0.08,0.81,0.25
0.1,0.81,0.24
0.13,0.83,0.24
0.13,0.85,0.25
0.12,0.87,0.26
0.12,0.89,0.27
0.14,0.89,0.27
0.16,0.89,0.28
0.17,0.9,0.3
0.17,0.9,0.31
0.16,0.9,0.32
0.16,0.92,0.34
0.16,0.95,0.37
0.15,0.97,0.39
0.15,0.99,0.4
0.13,1.01,0.4
0.13,1.01,0.41
0.11,0.99,0.39
0.1,0.97,0.39
0.11,0.96,0.41
0.11,0.94,0.4
0.1,0.92,0.41
0.07,0.9,0.41
0.05,0.9,0.43
0.03,0.91,0.43
0,0.93,0.43
-0.04,0.96,0.44
-0.03,1,0.45
0.02,1.03,0.43
0.06,1.05,0.4
0.1,1.08,0.37
0.14,1.12,0.35
0.21,1.17,0.31
0.3,1.22,0.27
0.37,1.24,0.17
0.42,1.22,0.13
0.44,1.18,0.1
0.44,1.14,0.07
0.43,1.1,0.07
0.4,1.06,0.07
0.37,1.03,0.07
0.36,1.01,0.07
0.34,1.02,0.07
0.33,1.05,0.08
0.32,1.08,0.09
0.32,1.09,0.1
0.31,1.08,0.1
0.3,1.05,0.1
0.29,1.02,0.09
0.3,0.99,0.09
0.32,0.96,0.08
0.34,0.92,0.1
0.36,0.9,0.13
0.38,0.88,0.17
0.42,0.88,0.2
0.46,0.89,0.22
0.48,0.91,0.26
0.5,0.91,0.29
0.53,0.88,0.28
0.58,0.85,0.27
0.63,0.82,0.32
0.68,0.83,0.37
0.69,0.83,0.43
0.68,0.83,0.47
0.66,0.85,0.5
0.65,0.88,0.52
0.65,0.91,0.52
0.68,0.95,0.5
0.69,0.98,0.5
0.71,1.02,0.51
0.73,1.04,0.53
0.72,1.06,0.59
0.71,1.08,0.65
0.72,1.13,0.7
0.75,1.17,0.75
0.77,1.15,0.74
0.8,1.14,0.68
0.81,1.17,0.65
0.78,1.16,0.64
0.77,1.14,0.63
0.77,1.15,0.65
0.74,1.16,0.66
0.72,1.13,0.67
0.7,1.09,0.68
0.7,1.06,0.66
0.7,1.03,0.64
0.7,1,0.63
0.67,0.95,0.61
0.66,0.93,0.59
0.66,0.9,0.57
0.64,0.87,0.55
0.61,0.82,0.54
0.58,0.77,0.51
0.55,0.73,0.48
0.53,0.68,0.46
0.51,0.63,0.44
0.49,0.59,0.42
0.46,0.55,0.4
0.43,0.51,0.39
0.39,0.46,0.37
0.36,0.41,0.36
0.34,0.36,0.34
0.32,0.31,0.31
0.31,0.27,0.29
0.31,0.23,0.27
0.31,0.18,0.26
0.29,0.14,0.25
0.26,0.12,0.25
0.25,0.11,0.25
0.24,0.1,0.25
0.22,0.09,0.25
0.2,0.08,0.24
0.19,0.07,0.22
0.18,0.04,0.21
0.18,0.04,0.21
0.18,0.03,0.21
0.19,0.02,0.2
0.18,0.02,0.19
0.18,0.02,0.17
0.18,0.04,0.14
0.19,0.07,0.12
0.2,0.12,0.11
0.2,0.16,0.1
0.2,0.18,0.11
0.21,0.19,0.12
0.22,0.21,0.13
0.21,0.23,0.14
0.19,0.24,0.14
0.18,0.25,0.15
0.17,0.25,0.14
0.18,0.29,0.14
0.19,0.34,0.13
0.2,0.4,0.12
0.21,0.46,0.13
0.22,0.52,0.14
0.24,0.6,0.13
0.26,0.68,0.12
0.28,0.77,0.11
0.29,0.85,0.1
0.3,0.99,0.15
