Acc_x,Acc_y,Acc_z
0.16,0.11,0.98
0.16,0.1,0.98
0.15,0.1,0.98
0.14,0.11,0.99
0.13,0.11,0.99
0.13,0.11,0.99
0.14,0.11,0.98
0.16,0.11,0.98
0.16,0.11,0.99
0.16,0.11,0.99
0.15,0.11,0.98
0.14,0.11,0.99
0.13,0.11,0.99
0.13,0.11,0.99
0.13,0.11,0.99
0.14,0.11,0.99
0.15,0.11,0.99
0.16,0.11,0.99
0.15,0.11,0.98
0.15,0.11,0.98
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.13,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.15,0.11,0.99
0.15,0.1,0.98
0.14,0.11,0.99
0.14,0.11,0.99
0.15,0.11,0.99
0.15,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.98
0.14,0.11,0.98
0.15,0.11,0.98
0.15,0.1,0.98
0.15,0.1,0.98
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.98
0.14,0.11,0.98
0.14,0.11,0.99
0.14,0.1,0.98
0.14,0.1,0.98
0.14,0.1,0.99
0.14,0.1,0.99
0.13,0.11,0.99
0.13,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.98
0.15,0.1,0.99
0.14,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.14,0.1,0.99
0.14,0.11,0.99
0.14,0.11,0.99
0.14,0.1,0.99
0.13,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.13,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.98
0.15,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.98
0.15,0.09,0.98
0.14,0.09,0.98
0.14,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.15,0.1,0.99
0.14,0.09,0.99
0.14,0.09,0.99
0.13,0.1,0.99
0.14,0.1,0.99
0.14,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.16,0.1,0.99
0.16,0.1,0.99
0.15,0.1,0.99
0.15,0.1,0.99
0.15,0.09,0.99
0.13,0.09,0.99
0.13,0.09,0.98
0.14,0.09,0.99
0.13,0.09,0.99
0.14,0.1,0.99
0.13,0.1,0.99
0.13,0.1,0.99
0.12,0.1,1
0.13,0.1,1
0.14,0.1,0.99
0.15,0.1,0.98
0.15,0.1,0.99
0.15,0.11,0.99
0.16,0.11,0.97
0.16,0.08,0.98
0.14,0.07,0.98
0.1,0.07,0.99
0.1,0.07,0.99
0.15,0.07,0.99
0.21,0.06,0.99
0.22,0.05,0.99
0.19,0.05,1
0.16,0.05,1
0.18,0.05,0.99
0.21,0.05,1
0.21,0.06,1.02
0.19,0.08,1.03
0.15,0.1,1.03
0.15,0.13,1.02
0.17,0.16,1.01
0.18,0.2,1.01
0.18,0.23,1.03
0.17,0.25,1.05
0.2,0.29,1.05
0.28,0.37,1.05
0.31,0.49,0.96
0.31,0.58,0.85
0.38,0.65,0.78
0.38,0.7,0.81
0.21,0.65,0.98
0.1,0.59,0.96
0.12,0.55,0.93
0.13,0.52,0.91
0.12,0.5,0.89
0.08,0.5,0.88
0.06,0.49,0.88
0.06,0.49,0.88
0.08,0.49,0.9
0.09,0.5,0.92
0.08,0.5,0.91
0.08,0.51,0.91
0.09,0.53,0.91
0.12,0.56,0.89
0.13,0.58,0.87
0.14,0.6,0.86
0.17,0.61,0.86
0.18,0.63,0.88
0.19,0.65,0.89
0.2,0.66,0.89
0.19,0.67,0.88
0.18,0.67,0.87
0.18,0.67,0.86
0.19,0.67,0.82
0.18,0.66,0.78
0.17,0.64,0.75
0.16,0.65,0.72
0.17,0.64,0.71
0.16,0.63,0.71
0.17,0.62,0.71
0.18,0.62,0.69
0.15,0.59,0.69
0.12,0.57,0.68
0.14,0.57,0.66
0.16,0.58,0.68
0.15,0.58,0.69
0.14,0.59,0.69
0.12,0.58,0.67
0.11,0.58,0.64
0.09,0.58,0.58
0.11,0.6,0.53
0.14,0.63,0.55
0.14,0.65,0.63
0.12,0.66,0.72
0.1,0.65,0.8
0.06,0.64,0.82
0.06,0.61,0.79
0.08,0.59,0.74
0.09,0.57,0.71
0.08,0.57,0.7
0.08,0.58,0.7
0.08,0.59,0.68
0.08,0.61,0.67
0.09,0.63,0.68
0.13,0.65,0.69
0.16,0.67,0.7
0.18,0.67,0.7
0.19,0.68,0.69
0.21,0.69,0.67
0.23,0.69,0.66
0.26,0.7,0.67
0.3,0.73,0.67
0.33,0.77,0.68
0.34,0.81,0.69
0.35,0.85,0.69
0.35,0.87,0.68
0.36,0.88,0.66
0.36,0.88,0.63
0.36,0.87,0.59
0.35,0.84,0.54
0.35,0.83,0.5
0.36,0.84,0.5
0.37,0.85,0.52
0.37,0.86,0.55
0.37,0.85,0.57
0.38,0.84,0.57
0.38,0.82,0.55
0.39,0.79,0.51
0.39,0.75,0.48
0.4,0.71,0.45
0.4,0.7,0.46
0.4,0.69,0.47
0.4,0.68,0.48
0.4,0.67,0.48
0.4,0.66,0.47
0.4,0.64,0.45
0.41,0.62,0.43
0.42,0.61,0.39
0.43,0.61,0.37
0.43,0.62,0.38
0.43,0.63,0.42
0.43,0.65,0.45
0.42,0.67,0.46
0.42,0.69,0.48
0.42,0.7,0.49
0.42,0.73,0.5
0.42,0.74,0.5
0.42,0.75,0.5
0.43,0.77,0.5
0.43,0.79,0.5
0.42,0.82,0.5
0.41,0.84,0.51
0.39,0.86,0.52
0.39,0.87,0.54
0.38,0.87,0.55
0.34,0.85,0.52
0.32,0.83,0.46
0.3,0.82,0.39
0.29,0.82,0.33
0.3,0.83,0.3
0.32,0.85,0.3
0.34,0.85,0.31
0.33,0.86,0.33
0.32,0.87,0.33
0.32,0.88,0.32
0.31,0.89,0.3
0.31,0.9,0.28
0.32,0.91,0.26
0.33,0.92,0.25
0.32,0.93,0.23
0.33,0.92,0.2
0.34,0.92,0.16
0.35,0.91,0.11
0.39,0.91,0.07
0.43,0.88,0.04
0.47,0.86,0.02
0.47,0.84,0.02
0.43,0.83,0.03
0.39,0.82,0.05
0.35,0.81,0.07
0.32,0.8,0.07
0.31,0.77,0.07
0.32,0.76,0.07
0.32,0.75,0.06
0.32,0.77,0.04
0.32,0.8,0.03
0.34,0.83,0.01
0.35,0.87,0
0.37,0.89,0.01
0.38,0.91,0.02
0.39,0.94,0.04
0.38,0.97,0.05
0.38,0.99,0.07
0.37,0.99,0.07
0.37,0.98,0.07
0.37,0.98,0.08
0.37,0.96,0.11
0.36,0.95,0.16
0.34,0.94,0.2
0.36,0.93,0.22
0.37,0.93,0.23
0.37,0.93,0.24
0.36,0.94,0.25
0.36,0.94,0.24
0.37,0.96,0.22
0.38,1,0.2
0.42,1.07,0.18
0.4,1.21,0.21
0.28,1.24,0.28
0.28,1.22,0.34
0.28,1.17,0.39
0.24,1.11,0.47
0.19,1.07,0.55
0.16,1.03,0.58
0.17,1.01,0.61
0.19,1.01,0.65
0.26,1,0.69
0.37,0.98,0.7
0.48,0.98,0.69
0.53,0.96,0.7
0.49,0.95,0.76
0.43,0.95,0.85
0.37,0.96,0.92
0.33,0.98,0.96
0.3,1.01,1.01
0.27,1.03,1.04
0.28,1.05,1.05
0.32,1.08,1.05
0.38,1.11,1.08
0.45,1.13,1.11
0.49,1.15,1.16
0.51,1.17,1.2
0.51,1.2,1.2
0.49,1.33,1.2
0.46,1.39,1.2
0.46,1.42,1.18
0.46,1.44,1.15
0.48,1.45,1.13
0.49,1.46,1.1
0.51,1.51,1.09
0.52,1.58,1.06
0.52,1.63,1.04
0.5,1.65,1.03
0.47,1.6,1
0.44,1.53,0.98
0.42,1.45,0.95
0.42,1.37,0.92
0.43,1.3,0.87
0.45,1.27,0.84
0.47,1.24,0.82
0.48,1.19,0.79
0.47,1.12,0.78
0.45,1.05,0.78
0.42,0.99,0.77
0.4,0.92,0.75
0.38,0.85,0.75
0.37,0.8,0.73
0.37,0.73,0.69
0.36,0.69,0.67
0.35,0.6,0.63
0.33,0.52,0.6
0.33,0.44,0.53
0.34,0.38,0.46
0.35,0.34,0.42
0.32,0.32,0.41
0.27,0.32,0.41
0.22,0.23,0.37
0.2,0.22,0.32
0.19,0.14,0.27
0.15,0.09,0.25
0.1,0.12,0.22
0.1,0.06,0.17
0.12,0.11,0.16
0.08,0.05,0.13
0.02,-0.05,0.09
-0.01,-0.07,0.1
-0.05,-0.09,0.12
-0.1,-0.12,0.13
-0.14,-0.17,0.15
-0.16,-0.21,0.15
-0.17,-0.25,0.12
-0.19,-0.29,0.1
-0.2,-0.33,0.08
-0.18,-0.36,0.06
-0.16,-0.36,0.07
-0.14,-0.36,0.06
-0.15,-0.35,0.04
-0.18,-0.35,0.04
-0.2,-0.36,0.04
-0.22,-0.36,0.06
-0.22,-0.37,0.08
-0.21,-0.36,0.11
-0.2,-0.34,0.12
-0.19,-0.3,0.12
-0.18,-0.26,0.11
-0.15,-0.22,0.09
-0.12,-0.19,0.06
-0.11,-0.15,0.05
-0.11,-0.13,0.06
-0.1,-0.12,0.08
-0.09,-0.09,0.13
-0.09,-0.05,0.2
-0.06,-0.02,0.25
-0.03,0.02,0.25
-0.01,0.07,0.22
0.01,0.11,0.16
0.02,0.14,0.13
0.03,0.16,0.16
0.06,0.19,0.23
0.08,0.27,0.32
0.11,0.37,0.41
0.15,0.46,0.46
0.22,0.64,0.42
0.24,0.71,0.36
0.25,0.78,0.32
0.27,0.84,0.31
0.31,0.92,0.33
0.39,0.99,0.37
0.5,1.08,0.46
0.63,1.24,0.52
0.69,1.34,0.56
0.7,1.34,0.55
0.74,1.41,0.46
0.76,1.52,0.35
0.77,1.56,0.23
0.79,1.6,0.23
0.85,1.7,0.39
0.96,1.86,0.59
1.1,2.01,0.78
1.23,2.06,0.89
1.24,2.06,0.88
1.17,2.05,0.82
1.11,2.07,0.78
1.12,2.12,0.75
1.13,2.18,0.71
1.12,2.19,0.72
1.14,2.18,0.72
1.16,2.15,2.35
-1.42,2.29,3.99
-0.03,2.72,3.99
2.8,1.78,1.75
2.16,0.53,-0.63
1.83,0.69,-0.52
1.92,0.81,-0.17
1.14,0.94,0.11
0.81,1.08,0.53
0.87,1.01,0.51
0.71,0.81,-0.03
0.52,0.68,-0.45
0.26,0.59,-0.59
0.01,0.52,-0.54
-0.18,0.55,-0.45
-0.28,0.58,-0.37
-0.21,0.6,-0.29
-0.02,0.62,-0.23
0.18,0.69,-0.19
0.34,0.77,-0.16
0.45,0.83,-0.14
0.47,0.87,-0.14
0.43,0.9,-0.14
0.38,0.94,-0.14
0.33,0.98,-0.14
0.28,1.02,-0.14
0.26,1.04,-0.11
0.3,1.04,-0.07
0.34,1.03,-0.02
0.41,1.07,0.08
0.41,1.11,0.31
0.22,1.13,0.84
0.23,1.1,1.13
0.31,1.03,0.86
0.15,1.03,0.52
0.06,0.99,0.27
0.12,0.95,0.16
0.18,0.95,0.15
0.23,0.96,0.17
0.28,0.97,0.17
0.3,0.97,0.15
0.29,0.95,0.13
0.28,0.94,0.09
0.29,0.93,0.04
0.32,0.93,0.01
0.32,0.91,0
0.29,0.89,0
0.28,0.88,0
0.28,0.88,0
0.27,0.88,0.01
0.27,0.89,0.03
0.28,0.9,0.04
0.33,0.93,0.06
0.35,0.93,0.06
0.36,0.93,0.05
0.36,0.93,0.05
0.35,0.92,0.06
0.34,0.92,0.08
0.33,0.93,0.11
0.33,0.93,0.14
0.33,0.93,0.18
0.34,0.92,0.21
0.35,0.92,0.22
0.36,0.91,0.23
0.36,0.9,0.24
0.37,0.9,0.25
0.39,0.9,0.28
0.41,0.9,0.34
0.44,0.9,0.43
0.46,0.91,0.52
0.46,0.93,0.59
0.46,0.98,0.63
0.47,1.02,0.65
0.52,1.03,0.68
0.59,1.03,0.77
0.63,1.05,0.9
0.61,1.09,1
0.57,1.12,1.05
0.54,1.14,1.11
0.54,1.15,1.16
0.59,1.19,1.2
0.61,1.22,1.24
0.62,1.25,1.28
0.64,1.29,1.28
0.67,1.32,1.26
0.68,1.36,1.22
0.71,1.41,1.17
0.73,1.44,1.13
0.76,1.45,1.11
0.81,1.45,1.1
0.83,1.47,1.07
0.8,1.48,1.04
0.77,1.5,1.02
0.72,1.5,0.98
0.68,1.49,0.94
0.65,1.47,0.9
0.63,1.46,0.88
0.61,1.44,0.83
0.61,1.41,0.77
0.6,1.36,0.71
0.6,1.3,0.69
0.6,1.22,0.67
0.6,1.17,0.65
0.59,1.13,0.61
0.56,1.11,0.57
0.49,0.96,0.45
0.47,0.88,0.42
0.45,0.81,0.43
0.43,0.75,0.46
0.42,0.67,0.44
0.4,0.61,0.39
0.37,0.55,0.35
0.33,0.5,0.34
0.3,0.44,0.32
0.28,0.37,0.31
0.26,0.3,0.3
0.23,0.21,0.27
0.2,0.21,0.26
0.18,0.2,0.24
0.16,0.05,0.23
0.15,-0.02,0.25
0.08,-0.05,0.28
0.06,-0.04,0.26
0.1,-0.05,0.23
0.08,-0.2,0.21
0.07,-0.2,0.19
0.05,-0.19,0.17
0.04,-0.23,0.18
0.05,-0.19,0.2
0.05,-0.22,0.22
0.01,-0.33,0.22
-0.03,-0.32,0.19
-0.07,-0.32,0.17
-0.06,-0.3,0.14
-0.05,-0.31,0.13
-0.05,-0.32,0.12
-0.04,-0.32,0.1
-0.03,-0.33,0.09
-0.02,-0.33,0.08
-0.01,-0.33,0.07
-0.01,-0.32,0.07
-0.01,-0.31,0.07
0,-0.3,0.07
0,-0.29,0.06
0.01,-0.26,0.05
0.02,-0.23,0.05
0.03,-0.2,0.06
0.05,-0.17,0.06
0.06,-0.13,0.05
0.07,-0.08,0.04
0.09,-0.03,0.02
0.1,0.02,0.01
0.11,0.07,0.01
0.12,0.11,0.05
0.16,0.16,0.11
0.22,0.22,0.18
0.27,0.29,0.22
0.3,0.46,0.22
0.32,0.54,0.2
0.33,0.59,0.18
0.35,0.6,0.19
0.43,0.65,0.22
0.54,0.72,0.31
0.66,0.79,0.41
0.75,0.87,0.47
0.77,0.97,0.47
0.74,1.08,0.46
0.65,1.24,0.43
0.57,1.33,0.42
0.55,1.35,0.46
0.58,1.36,0.52
0.67,1.34,0.57
0.77,1.38,0.58
0.81,1.51,0.56
0.82,1.63,0.53
0.81,1.72,0.47
0.82,1.74,0.45
0.88,1.71,0.46
0.96,1.79,0.47
1.03,1.88,0.46
1.08,1.93,0.46
1.09,1.98,0.45
1.05,2,0.45
0.98,2.01,0.47
0.86,1.97,0.49
0.88,1.92,0.47
0.98,1.89,0.42
1,2.79,2.18
2.47,3.78,3.99
2.81,2.04,2.86
0.84,0.4,0.36
1.4,0.8,-0.42
2.35,0.82,0.23
1.84,0.74,0.29
1.56,0.84,0.25
1.36,0.87,0.18
1.27,1.02,-0.01
1.04,1.06,-0.24
0.65,0.91,-0.35
0.23,0.81,-0.32
-0.05,0.82,-0.29
-0.19,0.79,-0.31
-0.23,0.72,-0.35
-0.16,0.71,-0.36
-0.05,0.72,-0.34
0.05,0.74,-0.31
0.11,0.77,-0.27
0.17,0.79,-0.26
0.25,0.81,-0.27
0.3,0.82,-0.34
0.31,0.81,-0.37
0.31,0.83,-0.37
0.27,0.86,-0.34
0.24,0.87,-0.3
0.22,0.88,-0.25
0.21,0.9,-0.22
0.22,0.93,-0.19
0.24,0.95,-0.17
0.28,0.98,-0.13
0.35,1.04,-0.11
0.44,1.07,-0.14
0.51,1.05,-0.06
0.51,1.06,0.07
0.49,1.05,0.23
0.44,1.02,0.44
0.34,1.05,0.63
0.26,1.06,0.89
0.13,1.03,1
0.05,0.99,0.83
0.09,0.95,0.52
0.18,0.94,0.29
0.25,0.96,0.17
0.29,0.99,0.12
0.33,1.01,0.1
0.33,1.02,0.08
0.28,0.97,0.05
0.19,0.95,0.04
0.18,0.93,0.03
0.18,0.92,0.01
0.18,0.91,0
0.2,0.91,-0.01
0.23,0.92,-0.02
0.25,0.92,-0.02
0.25,0.92,-0.02
0.25,0.92,-0.01
0.24,0.92,-0.01
0.23,0.93,-0.01
0.25,0.94,-0.01
0.27,0.93,-0.01
0.29,0.93,-0.01
0.3,0.93,-0.02
0.31,0.92,-0.01
0.32,0.92,0
0.31,0.92,0.02
0.29,0.93,0.04
0.27,0.95,0.06
0.24,0.95,0.09
0.2,0.95,0.12
0.19,0.96,0.13
0.2,0.98,0.14
0.21,0.99,0.15
0.21,1,0.2
0.17,1.01,0.23
0.11,1.02,0.29
0.03,1.04,0.36
-0.02,1.05,0.44
-0.03,1.07,0.52
-0.04,1.12,0.58
-0.1,1.16,0.64
-0.16,1.18,0.72
-0.18,1.17,0.8
-0.14,1.15,0.88
-0.07,1.13,0.96
0.02,1.13,1.05
0.11,1.16,1.16
0.15,1.23,1.25
0.13,1.31,1.32
0.07,1.39,1.36
0,1.45,1.36
-0.05,1.5,1.33
-0.08,1.54,1.27
-0.07,1.58,1.23
-0.02,1.61,1.18
0.08,1.65,1.13
0.15,1.68,1.08
0.21,1.72,1.03
0.27,1.77,0.97
0.29,1.8,0.85
0.26,1.72,0.77
0.27,1.68,0.69
0.3,1.64,0.67
0.33,1.6,0.65
0.36,1.58,0.6
0.4,1.59,0.56
0.41,1.56,0.52
0.4,1.49,0.49
0.4,1.41,0.46
0.39,1.29,0.43
0.37,1.19,0.38
0.35,1.12,0.34
0.32,1.08,0.29
0.31,1.04,0.23
0.3,1.01,0.21
0.31,0.96,0.21
0.33,0.85,0.15
0.35,0.73,0.11
0.37,0.65,0.1
0.37,0.59,0.09
0.34,0.52,0.09
0.26,0.45,0.09
0.2,0.38,0.08
0.15,0.31,0.05
0.14,0.25,0.03
0.17,0.22,0.07
0.19,0.17,0.1
0.19,0.14,0.15
0.19,0.07,0.17
0.18,0,0.15
0.16,-0.06,0.15
0.13,-0.1,0.15
0.12,-0.06,0.16
0.13,-0.01,0.2
0.12,-0.02,0.24
0.11,-0.04,0.28
0.1,-0.06,0.3
0.09,-0.05,0.33
0.11,-0.06,0.38
0.14,-0.09,0.41
0.17,-0.09,0.44
0.19,-0.09,0.46
0.19,-0.04,0.48
0.16,0.01,0.55
0.14,0,0.67
0.14,-0.02,0.72
0.13,-0.02,0.74
0.11,-0.02,0.77
0.13,0.02,0.83
0.14,0.07,0.96
0.13,0.04,1.15
0.1,0.01,1.47
-0.07,0.02,1.56
-0.14,0.02,1.6
-0.13,0.05,1.62
-0.09,0.1,1.69
-0.03,0.12,1.77
0.06,0.06,1.82
0.14,0,1.81
0.2,-0.02,1.74
