Acc_x,Acc_y,Acc_z
0.75,0.51,0.99
0.76,0.57,1
0.79,0.65,1.04
0.79,0.73,1.07
0.76,0.81,1.06
0.71,0.86,1.04
0.67,0.91,1.03
0.64,0.99,1.02
0.61,1.04,1.02
0.6,1.08,0.95
0.61,1.12,0.78
0.63,1.19,0.55
0.62,1.29,0.4
0.6,1.29,0.31
0.54,1.24,0.34
0.48,1.24,0.43
0.38,1.24,0.61
0.32,1.29,0.79
0.39,1.4,0.77
0.46,1.38,0.65
0.44,1.25,0.52
0.41,1.14,0.33
0.41,1.09,-0.02
0.51,0.97,-0.11
0.62,0.89,-0.12
0.69,0.82,-0.08
0.69,0.75,-0.02
0.62,0.69,0.04
0.55,0.63,0.1
0.49,0.58,0.16
0.43,0.52,0.21
0.37,0.47,0.25
0.34,0.43,0.25
0.29,0.39,0.21
0.26,0.35,0.17
0.23,0.33,0.16
0.17,0.33,0.21
0.21,0.34,0.24
0.28,0.32,0.21
0.3,0.3,0.18
0.29,0.3,0.16
0.27,0.32,0.15
0.26,0.35,0.13
0.26,0.39,0.11
0.27,0.42,0.1
0.27,0.45,0.08
0.28,0.49,0.08
0.28,0.53,0.06
0.27,0.58,0.03
0.27,0.69,0.02
0.29,0.75,0
0.32,0.81,-0.01
0.35,0.85,-0.02
0.37,0.91,-0.03
0.39,0.99,-0.02
0.4,1.05,-0.01
0.39,1.08,0.01
0.4,1.1,0.02
0.41,1.09,0.04
0.4,1.07,0.06
0.4,1.06,0.07
0.4,1.05,0.08
0.4,1.02,0.09
0.39,1,0.1
0.37,0.98,0.12
0.35,0.95,0.13
0.31,0.93,0.14
0.28,0.92,0.14
0.28,0.93,0.15
0.28,0.93,0.14
0.28,0.94,0.13
0.29,0.93,0.12
0.3,0.92,0.12
0.31,0.91,0.11
0.32,0.9,0.1
0.32,0.88,0.09
0.33,0.89,0.09
0.33,0.89,0.08
0.35,0.9,0.06
0.36,0.9,0.05
0.36,0.9,0.05
0.37,0.91,0.04
0.37,0.91,0.05
0.37,0.91,0.06
0.37,0.91,0.06
0.37,0.91,0.07
0.37,0.92,0.07
0.37,0.93,0.08
0.37,0.94,0.08
0.37,0.93,0.08
0.37,0.93,0.08
0.38,0.92,0.07
0.39,0.92,0.07
0.4,0.91,0.08
0.39,0.91,0.08
0.39,0.91,0.09
0.39,0.91,0.1
0.39,0.91,0.1
0.39,0.91,0.1
0.38,0.91,0.09
0.38,0.92,0.08
0.38,0.91,0.07
0.37,0.91,0.07
0.36,0.91,0.07
0.36,0.91,0.08
0.36,0.91,0.09
0.37,0.91,0.09
0.38,0.91,0.08
0.39,0.91,0.09
0.39,0.92,0.09
0.39,0.92,0.08
0.4,0.92,0.09
0.4,0.92,0.09
0.4,0.91,0.08
0.4,0.9,0.08
0.41,0.9,0.07
0.4,0.9,0.08
0.4,0.91,0.08
0.39,0.92,0.08
0.38,0.93,0.08
0.38,0.92,0.07
0.39,0.91,0.07
0.42,0.9,0.05
0.41,0.9,0.05
0.37,0.9,0.07
0.38,0.9,0.07
0.37,0.9,0.08
0.4,0.9,0.05
0.4,0.9,0.05
0.4,0.9,0.05
0.43,0.89,0.04
0.45,0.88,0.03
0.43,0.87,0.04
0.4,0.86,0.05
0.41,0.84,0.05
0.42,0.83,0.05
0.42,0.84,0.06
0.41,0.84,0.06
0.39,0.84,0.06
0.39,0.83,0.05
0.41,0.82,0.03
0.42,0.81,0.02
0.44,0.79,0
0.44,0.77,-0.01
0.41,0.75,0
0.39,0.75,0.01
0.4,0.75,0.01
0.4,0.73,0.01
0.38,0.71,0.03
0.36,0.69,0.06
0.33,0.65,0.07
0.33,0.62,0.07
0.34,0.6,0.06
0.34,0.56,0.07
0.37,0.54,0.07
0.37,0.53,0.09
0.35,0.53,0.11
0.32,0.52,0.12
0.32,0.5,0.14
0.33,0.5,0.15
0.35,0.51,0.16
0.38,0.52,0.15
0.42,0.53,0.14
0.48,0.54,0.14
0.49,0.55,0.17
0.46,0.59,0.21
0.43,0.62,0.24
0.42,0.64,0.27
0.44,0.67,0.3
0.48,0.69,0.33
0.52,0.72,0.36
0.56,0.75,0.38
0.62,0.8,0.39
0.6,0.8,0.42
0.54,0.77,0.44
0.54,0.77,0.46
0.53,0.75,0.47
0.55,0.74,0.47
0.59,0.74,0.49
0.62,0.76,0.59
0.69,0.78,0.66
0.7,0.8,0.71
