Acc_x,Acc_y,Acc_z
0.36,0.17,0.94
0.37,0.16,0.92
0.38,0.16,0.9
0.4,0.15,0.9
0.42,0.14,0.92
0.44,0.13,0.94
0.44,0.12,0.94
0.42,0.1,0.93
0.39,0.09,0.92
0.37,0.08,0.91
0.38,0.08,0.9
0.41,0.07,0.88
0.43,0.05,0.85
0.46,0,0.75
0.52,-0.02,0.71
0.53,-0.06,0.7
0.52,-0.08,0.71
0.5,-0.1,0.78
0.46,-0.1,0.84
0.42,-0.12,0.86
0.4,-0.15,0.83
0.37,-0.19,0.77
0.4,-0.22,0.71
0.46,-0.25,0.66
0.5,-0.29,0.65
0.49,-0.32,0.68
0.46,-0.32,0.74
0.42,-0.32,0.81
0.4,-0.3,0.86
0.39,-0.31,0.85
0.36,-0.34,0.78
0.36,-0.38,0.71
0.36,-0.41,0.68
0.37,-0.42,0.68
0.37,-0.42,0.69
0.39,-0.4,0.71
0.43,-0.38,0.74
0.46,-0.37,0.77
0.46,-0.37,0.81
0.45,-0.39,0.8
0.41,-0.41,0.77
0.39,-0.4,0.74
0.41,-0.37,0.74
0.44,-0.34,0.74
0.46,-0.33,0.73
0.45,-0.33,0.71
0.43,-0.33,0.7
0.41,-0.33,0.71
0.39,-0.33,0.72
0.36,-0.33,0.73
0.35,-0.3,0.75
0.36,-0.25,0.77
0.4,-0.19,0.79
0.48,-0.14,0.82
0.53,-0.1,0.84
0.53,-0.07,0.84
0.5,-0.06,0.81
0.48,-0.05,0.76
0.45,-0.05,0.72
0.46,-0.04,0.71
0.5,-0.01,0.74
0.57,0.05,0.81
0.68,0.14,0.91
0.78,0.22,1
0.8,0.25,1.04
0.77,0.24,0.94
0.7,0.25,0.86
0.7,0.25,0.82
0.74,0.29,0.84
0.8,0.38,0.93
0.85,0.48,1.01
0.9,0.55,1.06
0.93,0.59,1.02
0.92,0.65,0.92
0.92,0.72,0.77
0.96,0.77,0.65
0.97,0.88,0.6
0.88,0.97,0.53
0.91,1.04,0.62
0.96,1.14,0.89
0.99,1.26,1.03
1.12,1.32,1.03
1.06,1.33,1.12
0.87,1.4,1.29
0.77,1.44,1.32
0.82,1.41,1.1
0.94,1.38,0.72
1,1.36,0.33
0.91,1.3,0.09
0.88,1.28,0.01
0.87,1.22,-0.02
0.72,1.17,0.13
0.52,1.09,0.14
0.51,1.03,0.15
0.41,0.96,0.18
0.32,0.91,0.2
0.33,0.91,0.23
0.39,0.91,0.25
0.43,0.89,0.23
0.45,0.85,0.22
0.43,0.79,0.18
0.4,0.72,0.12
0.37,0.66,0.08
0.36,0.61,0.06
0.32,0.55,0.05
0.28,0.47,0.06
0.28,0.39,0.06
0.29,0.34,0.05
0.29,0.31,0.04
0.27,0.28,0.05
0.22,0.25,0.06
0.18,0.23,0.06
0.16,0.23,0.06
0.17,0.23,0.07
0.18,0.25,0.05
0.2,0.27,0.03
