Acc_x,Acc_y,Acc_z
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.95
0.34,0.04,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.04,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.34,0.04,0.94
0.34,0.04,0.95
0.34,0.05,0.94
0.34,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.05,0.95
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.36,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.04,0.94
0.35,0.05,0.94
0.34,0.05,0.95
0.34,0.04,0.94
0.35,0.04,0.94
0.35,0.05,0.94
0.36,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.04,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.35,0.04,0.94
0.34,0.05,0.95
0.33,0.05,0.95
0.34,0.05,0.95
0.34,0.05,0.95
0.34,0.04,0.95
0.34,0.04,0.95
0.34,0.04,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.95
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.35,0.05,0.94
0.34,0.05,0.94
0.34,0.05,0.95
0.34,0.05,0.94
0.34,0.05,0.94
0.33,0.05,0.95
0.33,0.05,0.95
0.33,0.05,0.95
0.33,0.04,0.95
0.33,0.04,0.95
0.34,0.05,0.96
0.33,0.04,0.96
0.32,0.04,0.95
0.35,0.06,0.96
0.36,0.06,0.96
0.34,0.04,0.95
0.33,0.04,0.95
0.35,0.04,0.95
0.37,0.04,0.95
0.36,0.04,0.95
0.34,0.06,0.96
0.32,0.05,0.96
0.32,0.03,0.95
0.34,0.03,0.93
0.35,0.01,0.92
0.36,0.02,0.92
0.36,0.02,0.94
0.36,0.02,0.94
0.36,0.02,0.93
0.36,0.01,0.93
0.36,0.01,0.93
0.38,0.01,0.92
0.4,0.01,0.92
0.4,0,0.91
0.4,-0.01,0.91
0.41,0.02,0.92
0.41,0.02,0.93
0.41,0.02,0.94
0.41,0.02,0.94
0.41,0.02,0.93
0.41,0.03,0.92
0.4,0.04,0.9
0.4,0.03,0.88
0.4,0.02,0.88
0.41,0.03,0.9
0.42,0.06,0.92
0.42,0.08,0.91
0.42,0.07,0.9
0.43,0.05,0.9
0.43,0.05,0.91
0.44,0.08,0.92
0.44,0.05,0.92
0.44,0.04,0.92
0.45,0.03,0.91
0.45,0.03,0.91
0.44,0.01,0.91
0.44,0,0.9
0.43,-0.01,0.9
0.41,-0.01,0.9
0.41,-0.01,0.91
0.42,-0.02,0.92
0.43,-0.03,0.92
0.42,-0.03,0.91
0.42,-0.04,0.9
0.42,-0.05,0.9
0.42,-0.05,0.91
0.43,-0.05,0.91
0.43,-0.04,0.9
0.44,-0.05,0.9
0.46,-0.05,0.9
0.46,-0.05,0.89
0.46,-0.05,0.9
0.47,-0.05,0.9
0.46,-0.06,0.89
0.47,-0.06,0.89
0.46,-0.06,0.9
0.46,-0.06,0.9
0.46,-0.06,0.89
0.46,-0.06,0.9
0.46,-0.06,0.89
0.47,-0.06,0.89
0.49,-0.06,0.89
0.5,-0.05,0.89
0.49,-0.05,0.89
0.48,-0.05,0.88
0.48,-0.06,0.88
0.48,-0.05,0.88
0.48,-0.04,0.89
0.48,-0.04,0.89
0.48,-0.04,0.89
0.47,-0.03,0.9
0.47,-0.03,0.89
0.48,-0.02,0.89
0.48,-0.01,0.9
0.49,0,0.9
0.49,0.01,0.9
0.49,0.02,0.89
0.49,0.02,0.89
0.49,0.02,0.88
0.49,0.02,0.88
0.5,0.03,0.88
0.5,0.04,0.88
0.51,0.03,0.87
0.49,0.04,0.88
0.53,0.07,0.88
0.54,0.09,0.86
0.54,0.11,0.87
0.51,0.12,0.89
0.48,0.04,0.89
0.49,-0.02,0.87
0.53,0.06,0.86
0.52,0.09,0.86
0.51,0.07,0.85
0.52,0.07,0.85
0.54,0.07,0.86
0.54,0.07,0.87
0.53,0.08,0.88
0.53,0.08,0.87
0.53,0.07,0.85
0.53,0.07,0.83
0.54,0.06,0.83
0.56,0.06,0.83
0.58,0.06,0.82
0.61,0.05,0.81
0.62,0.04,0.81
0.62,0.02,0.8
0.62,0,0.77
0.61,-0.02,0.74
0.61,-0.04,0.7
0.65,-0.06,0.68
0.66,-0.05,0.66
0.65,-0.1,0.66
0.71,-0.2,0.71
0.74,-0.24,0.81
0.75,-0.18,0.84
0.75,-0.14,0.84
0.72,-0.16,0.82
0.7,-0.2,0.77
0.69,-0.24,0.73
0.69,-0.25,0.71
0.71,-0.21,0.71
0.69,-0.23,0.69
0.68,-0.28,0.67
0.7,-0.31,0.69
0.73,-0.38,0.69
0.76,-0.39,0.7
0.74,-0.35,0.71
0.73,-0.34,0.7
0.72,-0.36,0.68
0.74,-0.35,0.65
0.78,-0.34,0.61
0.79,-0.34,0.59
0.76,-0.36,0.61
0.77,-0.37,0.62
0.78,-0.38,0.63
0.79,-0.38,0.63
0.79,-0.38,0.63
0.79,-0.37,0.63
0.79,-0.37,0.64
0.8,-0.36,0.62
0.8,-0.37,0.6
0.8,-0.37,0.57
0.81,-0.37,0.55
0.83,-0.38,0.55
0.83,-0.38,0.54
0.85,-0.39,0.53
0.86,-0.4,0.52
0.87,-0.41,0.49
0.87,-0.42,0.47
0.87,-0.43,0.45
0.88,-0.42,0.43
0.89,-0.42,0.41
0.89,-0.41,0.39
0.88,-0.41,0.4
0.87,-0.41,0.4
0.85,-0.4,0.39
0.85,-0.41,0.37
0.85,-0.41,0.39
0.84,-0.41,0.38
0.83,-0.42,0.33
0.85,-0.44,0.34
0.82,-0.46,0.36
0.82,-0.47,0.35
0.78,-0.47,0.32
0.78,-0.47,0.26
0.82,-0.46,0.21
0.84,-0.45,0.17
0.89,-0.43,0.21
0.93,-0.42,0.22
0.99,-0.4,0.2
1.04,-0.36,0.23
1.01,-0.36,0.23
0.97,-0.37,0.21
0.93,-0.37,0.22
0.9,-0.38,0.17
0.91,-0.38,0.1
0.92,-0.36,0.06
0.97,-0.34,0
1.04,-0.31,-0.04
1.08,-0.29,-0.06
1.07,-0.25,-0.08
1.03,-0.23,-0.08
1.01,-0.23,-0.1
1,-0.22,-0.12
0.97,-0.21,-0.12
0.98,-0.2,-0.11
0.96,-0.17,-0.09
0.97,-0.17,-0.1
0.97,-0.17,-0.11
0.98,-0.16,-0.12
0.99,-0.15,-0.11
0.95,-0.16,-0.09
0.98,-0.16,-0.08
0.98,-0.17,-0.09
0.93,-0.2,-0.1
0.95,-0.21,-0.11
0.98,-0.22,-0.11
0.83,-0.17,-0.15
1.02,-0.06,-0.15
1.22,-0.08,-0.1
1.15,-0.24,-0.17
1.21,-0.36,-0.28
1.13,-0.42,-0.27
1.05,-0.45,-0.24
1,-0.48,-0.23
0.95,-0.51,-0.21
0.94,-0.54,-0.24
0.99,-0.59,-0.31
0.95,-0.62,-0.38
0.67,-0.58,-0.34
0.5,-0.48,-0.19
0.71,-0.44,-0.14
0.88,-0.46,-0.27
0.95,-0.53,-0.39
0.94,-0.54,-0.45
0.94,-0.55,-0.45
0.95,-0.56,-0.44
0.97,-0.55,-0.47
0.98,-0.53,-0.5
0.92,-0.51,-0.48
0.87,-0.52,-0.45
0.86,-0.53,-0.4
0.83,-0.54,-0.35
0.82,-0.53,-0.32
0.9,-0.54,-0.29
0.99,-0.55,-0.27
1.01,-0.55,-0.24
0.95,-0.56,-0.23
0.93,-0.58,-0.27
0.92,-0.62,-0.35
0.87,-0.66,-0.42
0.87,-0.66,-0.49
0.88,-0.66,-0.52
0.87,-0.65,-0.51
0.85,-0.66,-0.46
