Acc_x,Acc_y,Acc_z
0.25,0.07,1
0.26,0.07,1
0.27,0.08,1
0.27,0.09,0.99
0.29,0.08,0.98
0.34,0.09,0.95
0.41,0.09,0.95
0.43,0.1,0.95
0.45,0.09,0.94
0.45,0.11,0.95
0.42,0.13,0.92
0.46,0.18,0.85
0.46,0.18,0.84
0.45,0.17,0.89
0.46,0.18,0.9
0.45,0.17,0.89
0.43,0.16,0.88
0.42,0.15,0.91
0.36,0.16,0.98
0.31,0.17,1.03
0.34,0.19,1.04
0.39,0.2,1.03
0.41,0.19,1.04
0.4,0.19,1.06
0.37,0.17,1.07
0.37,0.15,1.05
0.36,0.16,1.02
0.32,0.15,1.03
0.31,0.14,1.04
0.32,0.14,1.02
0.32,0.12,0.98
0.32,0.08,0.9
0.38,0.07,0.89
0.37,0.02,0.9
0.36,0.02,0.9
0.35,0.01,0.91
0.37,-0.02,0.9
0.4,-0.06,0.87
0.43,-0.09,0.83
0.44,-0.11,0.83
0.47,-0.14,0.85
0.51,-0.18,0.86
0.57,-0.2,0.87
0.58,-0.22,0.84
0.53,-0.24,0.77
0.46,-0.26,0.73
0.38,-0.29,0.76
0.32,-0.31,0.8
0.32,-0.31,0.85
0.35,-0.31,0.88
0.37,-0.3,0.89
0.38,-0.3,0.88
0.4,-0.3,0.85
0.42,-0.3,0.8
0.46,-0.31,0.76
0.5,-0.32,0.73
0.48,-0.32,0.73
0.45,-0.31,0.79
0.42,-0.29,0.79
0.43,-0.28,0.79
0.44,-0.28,0.81
0.46,-0.26,0.83
0.48,-0.24,0.87
0.54,-0.23,0.86
0.58,-0.23,0.83
0.6,-0.23,0.83
0.59,-0.23,0.83
0.59,-0.22,0.83
0.61,-0.21,0.81
0.62,-0.21,0.78
0.64,-0.2,0.76
0.64,-0.19,0.78
0.61,-0.17,0.79
0.6,-0.16,0.77
0.62,-0.15,0.77
0.67,-0.16,0.71
0.72,-0.16,0.76
0.77,-0.14,0.79
0.76,-0.12,0.69
0.75,-0.11,0.7
0.82,-0.1,0.7
0.88,-0.1,0.7
0.87,-0.1,0.73
0.88,-0.09,0.75
0.87,-0.07,0.79
0.83,-0.06,0.78
0.85,-0.07,0.73
0.9,-0.09,0.68
0.8,-0.11,0.71
0.58,-0.13,0.78
0.56,-0.13,0.73
0.65,-0.11,0.64
0.69,-0.13,0.6
0.66,-0.16,0.58
0.62,-0.15,0.58
0.66,-0.13,0.55
0.7,-0.12,0.51
0.71,-0.13,0.49
0.7,-0.13,0.5
0.73,-0.13,0.51
0.75,-0.12,0.54
0.78,-0.06,0.64
0.78,0,0.71
0.87,-0.03,0.65
1.19,-0.04,0.54
1.27,-0.02,0.54
1.07,-0.07,0.58
1.03,-0.11,0.55
1.03,-0.12,0.52
0.92,-0.17,0.44
0.73,-0.17,0.43
0.75,-0.15,0.46
0.77,-0.14,0.47
0.76,-0.11,0.48
0.79,-0.09,0.48
0.8,-0.07,0.49
0.83,-0.07,0.47
0.84,-0.06,0.45
0.87,-0.06,0.41
0.95,-0.06,0.36
0.95,-0.05,0.36
0.99,-0.05,0.33
1.03,-0.04,0.3
1.01,-0.05,0.29
1.02,-0.04,0.27
1.04,-0.04,0.26
1.02,-0.04,0.26
0.94,-0.04,0.22
0.98,0,0.25
1,-0.02,0.31
1,-0.07,0.31
1.03,-0.07,0.36
0.99,-0.11,0.4
0.97,-0.13,0.38
0.95,-0.11,0.34
0.93,-0.08,0.3
0.96,-0.09,0.26
0.99,-0.09,0.31
1,-0.06,0.35
1.02,-0.06,0.31
1.05,-0.08,0.3
1.07,-0.07,0.35
1.09,-0.07,0.3
1.1,-0.05,0.22
1.07,-0.05,0.18
1.09,-0.09,0.17
1.12,-0.1,0.19
1.17,-0.14,0.18
1.18,-0.13,0.27
1.19,-0.13,0.24
1.23,-0.2,0.07
1.11,-0.22,0.11
1.09,-0.25,0.1
1.14,-0.26,-0.04
1.12,-0.26,-0.07
1.07,-0.3,-0.05
1.06,-0.34,-0.14
1.1,-0.37,-0.29
1.11,-0.4,-0.4
1.14,-0.44,-0.41
1.17,-0.48,-0.43
1.14,-0.52,-0.47
1.1,-0.51,-0.51
1.14,-0.53,-0.52
1.14,-0.55,-0.53
1.07,-0.54,-0.5
1.06,-0.57,-0.48
1.04,-0.59,-0.46
0.98,-0.59,-0.45
0.95,-0.59,-0.46
0.94,-0.61,-0.48
0.88,-0.61,-0.48
0.84,-0.6,-0.46
0.85,-0.59,-0.43
0.84,-0.59,-0.42
0.86,-0.59,-0.4
0.87,-0.6,-0.36
0.79,-0.64,-0.3
0.78,-0.66,-0.3
0.81,-0.66,-0.33
0.81,-0.69,-0.34
0.82,-0.7,-0.35
0.82,-0.7,-0.38
0.75,-0.68,-0.29
0.79,-0.67,-0.28
0.8,-0.67,-0.34
0.6,-0.68,-0.24
0.51,-0.69,-0.13
0.54,-0.71,-0.03
0.5,-0.72,-0.05
0.43,-0.73,-0.06
0.39,-0.72,-0.08
0.37,-0.71,-0.1
0.37,-0.7,-0.07
0.36,-0.7,-0.01
0.37,-0.7,0.06
0.36,-0.7,0.12
0.32,-0.7,0.17
0.28,-0.71,0.17
0.26,-0.73,0.14
0.25,-0.75,0.09
0.22,-0.74,0.08
0.25,-0.71,0.09
0.29,-0.72,0.09
0.2,-0.74,0.11
0.12,-0.73,0.15
0.08,-0.72,0.2
0.07,-0.72,0.26
0.06,-0.72,0.33
0.02,-0.71,0.38
-0.03,-0.72,0.39
-0.04,-0.73,0.39
-0.07,-0.74,0.38
-0.1,-0.75,0.35
-0.08,-0.75,0.36
-0.08,-0.77,0.34
-0.12,-0.77,0.35
-0.19,-0.77,0.41
-0.24,-0.76,0.47
-0.22,-0.75,0.49
-0.21,-0.76,0.48
-0.28,-0.76,0.49
-0.34,-0.75,0.5
-0.34,-0.73,0.47
-0.34,-0.73,0.44
-0.31,-0.73,0.44
-0.29,-0.73,0.44
-0.38,-0.71,0.45
-0.45,-0.72,0.49
-0.42,-0.71,0.51
-0.38,-0.7,0.51
-0.39,-0.71,0.48
-0.45,-0.7,0.49
-0.47,-0.71,0.49
-0.52,-0.71,0.53
-0.58,-0.68,0.58
-0.55,-0.69,0.57
-0.47,-0.74,0.55
-0.45,-0.75,0.53
-0.49,-0.76,0.51
-0.54,-0.74,0.52
-0.52,-0.76,0.5
-0.54,-0.75,0.49
-0.53,-0.76,0.49
-0.54,-0.75,0.5
-0.55,-0.75,0.51
-0.52,-0.77,0.49
-0.49,-0.78,0.47
-0.5,-0.77,0.48
-0.52,-0.77,0.49
-0.53,-0.77,0.47
-0.51,-0.77,0.46
-0.51,-0.76,0.48
-0.52,-0.76,0.49
-0.47,-0.76,0.51
-0.35,-0.77,0.5
-0.39,-0.77,0.5
-0.48,-0.76,0.53
-0.45,-0.78,0.5
-0.44,-0.78,0.46
-0.43,-0.77,0.44
-0.43,-0.77,0.44
-0.43,-0.77,0.44
-0.43,-0.77,0.46
-0.42,-0.77,0.47
-0.41,-0.78,0.48
-0.41,-0.78,0.49
-0.41,-0.78,0.49
-0.4,-0.79,0.5
-0.41,-0.79,0.5
-0.4,-0.79,0.49
-0.4,-0.79,0.48
-0.39,-0.8,0.48
-0.4,-0.81,0.48
-0.42,-0.82,0.47
-0.43,-0.81,0.45
-0.42,-0.82,0.43
-0.42,-0.82,0.42
-0.4,-0.81,0.43
-0.39,-0.81,0.45
-0.4,-0.81,0.47
-0.4,-0.82,0.48
-0.39,-0.82,0.49
-0.39,-0.81,0.49
-0.39,-0.81,0.5
-0.39,-0.81,0.49
-0.39,-0.82,0.49
-0.39,-0.81,0.49
-0.39,-0.81,0.49
-0.38,-0.81,0.48
-0.38,-0.82,0.47
-0.39,-0.82,0.46
-0.4,-0.82,0.45
-0.4,-0.81,0.44
-0.4,-0.81,0.45
-0.4,-0.81,0.45
-0.4,-0.81,0.47
-0.39,-0.81,0.47
-0.39,-0.81,0.48
-0.39,-0.82,0.48
-0.39,-0.81,0.48
-0.39,-0.81,0.47
-0.39,-0.81,0.47
