Acc_x,Acc_y,Acc_z
0.22,1.25,0.02
0.21,1.36,0.01
0.21,1.47,0.01
0.21,1.57,0.02
0.24,1.67,0.04
0.28,1.76,0.07
0.33,1.83,0.08
0.38,1.88,0.09
0.42,1.93,0.09
0.45,1.95,0.09
0.48,1.97,0.1
0.53,2,0.11
0.6,2.06,0.12
0.65,2.23,0.16
0.69,2.27,0.18
0.72,2.24,0.16
0.7,2.21,0.16
0.67,2.16,0.17
0.69,2.09,0.17
0.72,1.98,0.15
0.74,1.86,0.15
0.73,1.74,0.16
0.7,1.63,0.17
0.69,1.54,0.19
0.68,1.46,0.21
0.69,1.38,0.21
0.69,1.31,0.21
0.69,1.25,0.2
0.68,1.22,0.2
0.68,1.18,0.21
0.69,1.13,0.21
0.71,1.11,0.21
0.72,1.09,0.2
0.71,1.08,0.19
0.71,1.05,0.19
0.72,1.03,0.19
0.76,1,0.19
0.8,0.96,0.19
0.84,0.91,0.21
0.87,0.87,0.22
0.94,0.79,0.22
0.98,0.77,0.22
1.01,0.76,0.22
1.03,0.77,0.22
1.05,0.79,0.22
1.04,0.82,0.22
1.02,0.86,0.22
0.98,0.91,0.22
0.94,0.97,0.22
0.9,1.04,0.22
0.87,1.11,0.2
0.85,1.18,0.17
0.86,1.25,0.15
0.87,1.3,0.13
0.89,1.37,0.11
0.9,1.43,0.09
0.9,1.51,0.06
0.9,1.6,0.02
0.89,1.7,0
0.88,1.79,-0.04
0.86,1.89,-0.09
0.83,1.99,-0.13
0.8,2.08,-0.14
0.77,2.18,-0.15
0.78,2.22,-0.14
0.76,2.19,-0.15
0.63,2.13,-0.13
0.66,2.02,-0.17
0.56,1.88,-0.16
0.51,1.8,-0.15
0.52,1.8,-0.15
0.51,1.78,-0.15
0.49,1.81,-0.15
0.47,1.86,-0.13
0.43,1.91,-0.11
0.39,1.92,-0.11
0.34,1.88,-0.12
0.29,1.81,-0.13
0.27,1.71,-0.13
0.24,1.59,-0.13
0.21,1.45,-0.13
0.18,1.31,-0.12
0.16,1.18,-0.12
0.14,1.07,-0.13
0.11,0.97,-0.14
0.07,0.88,-0.13
0.03,0.8,-0.11
0.01,0.73,-0.11
0,0.67,-0.1
-0.02,0.6,-0.1
-0.03,0.53,-0.1
-0.03,0.49,-0.09
-0.05,0.47,-0.09
-0.05,0.49,-0.1
-0.06,0.53,-0.1
-0.1,0.58,-0.09
-0.14,0.62,-0.1
-0.18,0.65,-0.11
-0.2,0.67,-0.11
-0.22,0.67,-0.1
-0.22,0.67,-0.08
-0.21,0.66,-0.07
-0.18,0.65,-0.08
-0.14,0.64,-0.08
-0.11,0.64,-0.08
-0.07,0.63,-0.08
-0.02,0.63,-0.07
0.03,0.64,-0.06
0.07,0.67,-0.05
0.11,0.7,-0.04
0.15,0.74,-0.02
0.19,0.79,-0.01
0.21,0.85,0
0.22,0.91,0
0.24,0.96,0.02
0.26,1.03,0.03
0.28,1.11,0.04
0.28,1.21,0.06
0.28,1.44,0.08
0.28,1.55,0.09
0.28,1.66,0.1
0.29,1.76,0.1
0.3,1.9,0.1
0.33,2.1,0.09
0.36,2.32,0.08
0.39,2.51,0.08
0.44,2.59,0.09
0.53,2.49,0.11
0.63,2.28,0.14
0.68,2.08,0.16
0.72,1.95,0.18
0.74,1.86,0.18
0.78,1.79,0.16
0.79,1.74,0.16
0.71,1.74,0.2
0.69,1.73,0.22
0.71,1.68,0.19
0.71,1.62,0.17
0.67,1.6,0.16
0.61,1.58,0.18
0.57,1.54,0.2
0.54,1.48,0.23
0.53,1.42,0.26
0.54,1.36,0.26
0.57,1.28,0.26
0.6,1.26,0.26
0.65,1.22,0.25
0.68,1.18,0.22
0.71,1.12,0.21
0.75,1.06,0.21
0.79,0.98,0.21
0.82,0.9,0.23
0.86,0.82,0.25
0.88,0.76,0.26
0.91,0.72,0.26
0.95,0.69,0.26
0.99,0.68,0.28
1.02,0.7,0.28
1.03,0.73,0.28
1.03,0.78,0.28
1,0.82,0.27
0.95,0.87,0.28
0.89,0.93,0.29
0.86,0.99,0.29
0.85,1.05,0.29
0.85,1.12,0.28
0.85,1.2,0.27
0.84,1.27,0.25
0.83,1.33,0.22
0.81,1.37,0.17
0.76,1.45,0.16
0.74,1.51,0.15
0.72,1.59,0.13
0.71,1.67,0.12
0.7,1.77,0.1
0.67,1.85,0.07
0.64,1.9,0.04
0.61,1.93,0.01
0.59,1.94,0
0.56,1.93,0
0.54,1.94,0.01
0.56,2.01,0.01
0.6,2.15,0
0.65,2.3,-0.01
0.6,2.4,-0.02
0.54,2.39,-0.04
0.51,2.26,-0.05
0.46,2.05,-0.05
0.42,1.85,-0.04
0.42,1.71,-0.03
0.44,1.61,-0.02
0.42,1.56,-0.01
0.42,1.54,-0.01
0.41,1.53,0
0.37,1.52,0
0.32,1.51,-0.02
0.19,1.41,-0.03
0.14,1.31,-0.04
0.09,1.23,-0.06
0.05,1.14,-0.08
0.01,1.03,-0.08
-0.01,0.93,-0.07
-0.02,0.86,-0.07
-0.02,0.8,-0.07
-0.03,0.71,-0.04
-0.03,0.63,-0.03
-0.04,0.56,-0.04
-0.05,0.49,-0.04
-0.08,0.44,-0.05
-0.12,0.38,-0.04
-0.13,0.35,-0.04
-0.12,0.35,-0.05
-0.12,0.37,-0.05
-0.12,0.41,-0.05
-0.1,0.45,-0.06
-0.09,0.48,-0.07
-0.07,0.52,-0.08
-0.07,0.56,-0.09
-0.07,0.6,-0.1
-0.07,0.63,-0.11
-0.06,0.66,-0.11
-0.04,0.69,-0.11
0,0.73,-0.12
0.02,0.75,-0.1
0.06,0.78,-0.1
0.1,0.8,-0.09
0.14,0.84,-0.07
0.19,0.89,-0.05
0.24,0.97,-0.01
0.27,1.07,0.01
0.28,1.17,0.02
0.27,1.28,0.02
0.27,1.4,0.04
0.27,1.52,0.05
0.27,1.6,0.08
0.29,1.66,0.1
0.33,1.7,0.08
0.35,1.75,0.09
0.39,1.79,0.11
0.44,1.78,0.11
0.47,1.76,0.13
0.53,1.78,0.13
0.56,1.86,0.13
0.58,1.99,0.15
0.62,2.12,0.16
0.68,2.21,0.16
0.67,2.26,0.17
0.65,2.26,0.16
0.57,2.17,0.12
0.56,2.14,0.11
0.55,2.04,0.12
0.56,1.91,0.14
0.57,1.78,0.17
