Acc_x,Acc_y,Acc_z
0.33,0.08,0.94
0.32,0.09,0.95
0.31,0.09,0.95
0.32,0.1,0.95
0.34,0.09,0.95
0.34,0.09,0.94
0.34,0.09,0.94
0.35,0.09,0.94
0.35,0.09,0.94
0.35,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.94
0.33,0.09,0.94
0.34,0.08,0.94
0.34,0.09,0.94
0.32,0.09,0.95
0.32,0.09,0.95
0.32,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.08,0.95
0.33,0.09,0.95
0.33,0.09,0.94
0.34,0.09,0.94
0.34,0.1,0.94
0.34,0.09,0.94
0.33,0.09,0.95
0.32,0.09,0.95
0.31,0.09,0.95
0.31,0.09,0.95
0.32,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.94
0.34,0.09,0.95
0.33,0.08,0.95
0.33,0.08,0.95
0.32,0.09,0.95
0.32,0.09,0.95
0.32,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.34,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.94
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.09,0.95
0.33,0.08,0.95
0.33,0.08,0.95
0.33,0.08,0.95
0.33,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.31,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.33,0.08,0.95
0.33,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
0.32,0.08,0.95
