Acc_x,Acc_y,Acc_z
0.19,1,-0.06
0.18,0.98,-0.06
0.17,0.98,-0.05
0.17,0.97,-0.04
0.16,0.97,-0.02
0.16,0.96,0
0.18,0.96,0.02
0.2,0.96,0.03
0.21,0.97,0.04
0.2,0.97,0.03
0.2,0.96,0.01
0.22,0.95,0
0.22,0.95,0
0.24,0.95,-0.01
0.24,0.96,0
0.22,0.96,0.02
0.19,0.96,0.04
0.15,0.97,0.06
0.08,0.99,0.11
0.02,1,0.15
0.01,1,0.19
0.02,1.01,0.22
0.03,1.02,0.26
0.03,1.05,0.31
0.03,1.08,0.36
0.02,1.12,0.39
0.02,1.13,0.43
0.03,1.13,0.49
0.02,1.14,0.56
0.02,1.16,0.62
0.05,1.16,0.67
0.05,1.17,0.69
0,1.21,0.73
-0.02,1.24,0.78
-0.01,1.26,0.82
-0.02,1.25,0.84
-0.05,1.22,0.87
-0.07,1.23,0.86
-0.04,1.25,0.83
-0.02,1.29,0.81
-0.02,1.32,0.8
-0.02,1.37,0.8
-0.01,1.42,0.8
0,1.46,0.79
0.02,1.48,0.77
0.05,1.48,0.73
0.09,1.47,0.71
0.11,1.48,0.7
0.14,1.5,0.72
0.17,1.49,0.72
0.21,1.44,0.69
0.24,1.38,0.66
0.26,1.32,0.64
0.28,1.28,0.63
0.3,1.26,0.64
0.31,1.26,0.65
0.31,1.26,0.66
0.3,1.24,0.64
0.29,1.19,0.61
0.28,1.13,0.62
0.27,1.09,0.62
0.26,1.05,0.63
0.24,0.96,0.6
0.26,0.93,0.57
0.3,0.89,0.56
0.35,0.82,0.55
0.37,0.77,0.57
0.36,0.74,0.6
0.33,0.7,0.6
0.28,0.66,0.61
0.24,0.61,0.6
0.2,0.56,0.56
0.26,0.51,0.54
0.33,0.49,0.55
0.31,0.48,0.57
0.25,0.36,0.58
0.21,0.29,0.62
0.17,0.27,0.66
0.13,0.14,0.68
0.09,0.18,0.69
0.1,0.23,0.67
0.16,0.11,0.58
0.15,0.05,0.46
0.15,0.1,0.41
0.17,0.13,0.42
0.1,0.08,0.45
0.08,0.01,0.49
0.14,-0.02,0.49
0.18,-0.05,0.4
0.16,-0.16,0.35
0.15,-0.13,0.32
0.07,-0.11,0.34
0.04,-0.11,0.39
0.07,-0.15,0.45
0.09,-0.18,0.52
0.1,-0.21,0.56
