Acc_x,Acc_y,Acc_z
0.65,-0.24,0.71
0.64,-0.25,0.7
0.64,-0.25,0.7
0.64,-0.25,0.7
0.64,-0.25,0.71
0.66,-0.24,0.72
0.67,-0.23,0.73
0.67,-0.22,0.74
0.67,-0.22,0.75
0.67,-0.22,0.75
0.67,-0.22,0.75
0.67,-0.22,0.74
0.67,-0.22,0.74
0.67,-0.22,0.73
0.68,-0.22,0.73
0.68,-0.22,0.73
0.68,-0.22,0.74
0.69,-0.21,0.75
0.68,-0.21,0.76
0.67,-0.21,0.77
0.66,-0.21,0.77
0.65,-0.21,0.76
0.65,-0.21,0.75
0.66,-0.21,0.74
0.66,-0.21,0.74
0.68,-0.21,0.74
0.68,-0.2,0.74
0.69,-0.19,0.75
0.68,-0.18,0.76
0.67,-0.18,0.77
0.67,-0.17,0.77
0.66,-0.17,0.77
0.66,-0.18,0.76
0.67,-0.18,0.75
0.67,-0.18,0.75
0.68,-0.18,0.74
0.69,-0.18,0.75
0.69,-0.17,0.75
0.69,-0.17,0.76
0.68,-0.16,0.77
0.68,-0.16,0.77
0.67,-0.16,0.77
0.67,-0.16,0.77
0.67,-0.16,0.76
0.67,-0.17,0.75
0.68,-0.17,0.75
0.68,-0.17,0.76
0.69,-0.17,0.76
0.69,-0.16,0.77
0.69,-0.16,0.77
0.68,-0.16,0.76
0.67,-0.16,0.76
0.67,-0.16,0.76
0.66,-0.16,0.75
0.66,-0.16,0.75
0.65,-0.16,0.75
0.65,-0.16,0.75
0.66,-0.16,0.74
0.67,-0.16,0.74
0.67,-0.16,0.75
0.66,-0.16,0.75
0.66,-0.16,0.75
0.66,-0.15,0.75
0.66,-0.15,0.75
0.66,-0.15,0.75
0.67,-0.15,0.75
0.67,-0.15,0.75
0.68,-0.15,0.75
0.68,-0.15,0.75
0.68,-0.15,0.74
0.68,-0.15,0.75
0.67,-0.15,0.75
0.67,-0.14,0.75
0.67,-0.14,0.75
0.68,-0.14,0.76
0.67,-0.13,0.76
0.67,-0.13,0.76
0.67,-0.14,0.76
0.67,-0.14,0.75
0.66,-0.14,0.75
0.66,-0.14,0.75
0.65,-0.14,0.75
0.65,-0.15,0.75
0.66,-0.14,0.75
0.67,-0.13,0.75
0.67,-0.13,0.75
0.66,-0.13,0.76
0.66,-0.13,0.75
0.66,-0.13,0.75
0.66,-0.13,0.74
0.65,-0.14,0.74
0.65,-0.14,0.74
0.66,-0.14,0.74
0.66,-0.13,0.74
0.67,-0.13,0.74
0.68,-0.12,0.75
0.68,-0.12,0.75
0.68,-0.12,0.75
0.67,-0.12,0.75
0.67,-0.12,0.75
0.67,-0.12,0.74
0.67,-0.13,0.74
0.67,-0.13,0.75
0.67,-0.13,0.75
0.68,-0.12,0.75
0.69,-0.11,0.75
0.7,-0.11,0.75
0.7,-0.1,0.75
0.69,-0.11,0.74
0.68,-0.12,0.74
0.67,-0.13,0.74
0.66,-0.12,0.74
0.67,-0.12,0.73
0.7,-0.12,0.73
0.72,-0.11,0.73
0.72,-0.11,0.73
0.71,-0.1,0.73
0.7,-0.1,0.73
0.69,-0.1,0.73
0.68,-0.1,0.73
0.67,-0.11,0.73
0.67,-0.11,0.74
0.68,-0.1,0.74
0.7,-0.1,0.74
0.72,-0.1,0.73
0.73,-0.1,0.73
0.73,-0.1,0.73
0.72,-0.1,0.72
0.71,-0.1,0.72
0.69,-0.1,0.71
0.68,-0.1,0.7
0.66,-0.09,0.71
0.66,-0.09,0.71
0.67,-0.09,0.71
0.68,-0.08,0.72
0.7,-0.07,0.73
0.7,-0.06,0.73
0.7,-0.06,0.72
0.69,-0.06,0.71
0.68,-0.06,0.71
0.68,-0.07,0.7
0.67,-0.07,0.71
0.68,-0.07,0.72
0.7,-0.06,0.73
0.72,-0.05,0.74
0.72,-0.05,0.74
0.73,-0.05,0.74
0.73,-0.05,0.74
0.73,-0.05,0.73
0.72,-0.05,0.73
0.72,-0.05,0.73
0.72,-0.06,0.73
0.72,-0.06,0.74
0.73,-0.05,0.74
0.74,-0.05,0.74
0.74,-0.05,0.74
0.74,-0.05,0.74
0.74,-0.04,0.73
0.74,-0.04,0.73
0.74,-0.04,0.72
0.73,-0.05,0.72
0.73,-0.04,0.73
0.72,-0.04,0.73
0.72,-0.04,0.72
0.72,-0.03,0.73
0.73,-0.03,0.73
0.73,-0.03,0.72
0.73,-0.02,0.72
0.74,-0.03,0.71
0.74,-0.03,0.7
0.74,-0.03,0.69
0.74,-0.04,0.7
0.73,-0.04,0.7
0.73,-0.04,0.7
0.72,-0.04,0.7
0.72,-0.04,0.7
0.72,-0.03,0.7
0.73,-0.03,0.7
0.72,-0.02,0.7
0.72,-0.02,0.7
0.73,-0.03,0.7
0.73,-0.03,0.7
0.73,-0.03,0.7
0.73,-0.03,0.7
0.73,-0.03,0.7
0.73,-0.03,0.7
0.73,-0.02,0.7
0.72,-0.02,0.71
0.72,-0.02,0.71
0.72,-0.02,0.71
0.72,-0.02,0.71
0.73,-0.02,0.71
0.73,-0.02,0.71
0.73,-0.02,0.71
0.73,-0.02,0.71
0.73,-0.02,0.71
0.73,-0.02,0.72
0.73,-0.01,0.72
0.73,-0.01,0.72
0.72,-0.01,0.72
0.72,-0.01,0.72
0.72,-0.01,0.72
0.72,-0.02,0.72
0.72,-0.02,0.71
0.73,-0.02,0.71
