Acc_x,Acc_y,Acc_z
0.42,0.04,0.91
0.42,0.04,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.92
0.43,0.03,0.92
0.43,0.04,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.42,0.04,0.91
0.42,0.04,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.42,0.04,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.04,0.92
0.42,0.04,0.91
0.42,0.03,0.91
0.42,0.04,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.42,0.03,0.91
0.42,0.04,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.42,0.04,0.91
0.43,0.03,0.91
0.43,0.04,0.91
0.42,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.44,0.04,0.91
0.44,0.04,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.42,0.04,0.91
0.42,0.04,0.91
0.42,0.04,0.92
0.42,0.04,0.92
0.41,0.04,0.92
0.41,0.04,0.92
0.41,0.03,0.92
0.41,0.03,0.92
0.42,0.03,0.92
0.42,0.03,0.92
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.92
0.42,0.03,0.92
0.43,0.03,0.92
0.42,0.03,0.91
0.42,0.03,0.91
0.43,0.04,0.91
0.43,0.04,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.42,0.04,0.91
0.43,0.03,0.91
0.42,0.03,0.91
0.42,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.02,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.92
0.43,0.03,0.92
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.02,0.91
0.43,0.03,0.91
0.43,0.03,0.92
0.43,0.03,0.92
0.43,0.03,0.92
0.42,0.03,0.91
0.42,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.03,0.91
0.43,0.02,0.92
0.43,0.02,0.92
0.42,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.43,0.01,0.91
0.44,0.01,0.9
0.44,0.02,0.91
0.44,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.92
0.43,0.02,0.92
0.42,0.02,0.91
0.42,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.44,0.02,0.91
0.45,0.02,0.9
0.45,0.02,0.9
0.45,0.02,0.9
0.44,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.43,0.02,0.91
0.44,0.02,0.91
0.43,0.02,0.91
0.42,0.02,0.91
0.42,0.02,0.92
0.42,0.02,0.92
0.42,0.02,0.92
0.42,0.02,0.91
0.43,0.02,0.91
0.42,0.02,0.91
0.42,0.02,0.91
0.42,0.02,0.91
0.41,0.02,0.91
0.41,0.02,0.92
0.39,0.02,0.93
0.41,0.02,0.92
0.42,0.03,0.93
0.39,0.04,0.95
0.37,0.05,0.97
0.39,0.05,0.95
0.38,0.05,0.93
0.35,0.05,0.95
0.39,0.05,0.95
0.5,0.02,0.9
0.46,0.04,0.94
0.36,0.09,0.99
0.43,0.08,0.91
0.48,0.05,0.9
0.53,0.01,0.86
0.55,0.08,0.91
0.55,0.25,0.94
0.47,0.1,0.93
0.34,-0.07,0.96
0.38,0.03,0.99
0.47,0.08,1.02
0.55,0.08,0.99
0.58,0.08,0.96
0.56,0.08,0.95
0.52,0.08,0.95
0.51,0.06,0.96
0.49,0.05,0.97
0.46,0.05,0.98
0.45,0.08,1.03
0.46,0.09,1.09
0.51,0.06,1.11
0.55,0.02,1.09
0.57,0,1.06
0.6,-0.02,1.02
0.62,-0.05,0.99
0.66,-0.09,0.95
0.72,-0.14,0.93
0.81,-0.19,0.91
0.91,-0.21,0.85
1.18,-0.25,0.79
1.23,-0.31,0.71
1.17,-0.33,0.64
1.17,-0.36,0.59
1.19,-0.45,0.57
1.12,-0.53,0.57
1.01,-0.59,0.54
0.96,-0.6,0.48
0.92,-0.63,0.42
0.86,-0.68,0.36
0.81,-0.71,0.33
0.8,-0.74,0.31
0.79,-0.74,0.32
0.75,-0.72,0.34
0.72,-0.69,0.36
0.68,-0.69,0.36
0.62,-0.69,0.33
0.56,-0.68,0.32
0.5,-0.66,0.32
0.43,-0.66,0.34
0.39,-0.66,0.33
0.37,-0.65,0.34
0.32,-0.65,0.38
0.25,-0.67,0.41
0.23,-0.66,0.42
0.25,-0.63,0.4
0.2,-0.63,0.42
0.21,-0.63,0.42
0.22,-0.65,0.42
0.22,-0.66,0.42
0.21,-0.65,0.43
0.17,-0.64,0.47
0.12,-0.64,0.49
0.12,-0.64,0.48
0.15,-0.65,0.48
0.19,-0.66,0.49
0.23,-0.66,0.5
0.26,-0.66,0.52
0.29,-0.67,0.54
0.3,-0.68,0.54
0.31,-0.68,0.53
0.31,-0.7,0.52
0.31,-0.71,0.5
0.3,-0.71,0.47
0.28,-0.74,0.46
0.29,-0.75,0.47
0.31,-0.75,0.47
0.32,-0.77,0.47
0.35,-0.78,0.48
0.4,-0.78,0.47
0.43,-0.77,0.47
0.44,-0.75,0.5
0.45,-0.76,0.5
