Acc_x,Acc_y,Acc_z
-1.31,0.57,0.44
-1.28,0.53,0.48
-1.24,0.49,0.5
-1.22,0.47,0.5
-1.17,0.47,0.47
-1.13,0.45,0.45
-1.11,0.43,0.44
-1.11,0.44,0.44
-1.09,0.47,0.44
-1.07,0.48,0.44
-1.02,0.49,0.45
-0.97,0.5,0.45
-0.93,0.49,0.57
-0.88,0.51,0.56
-0.8,0.48,0.46
-0.76,0.56,0.5
-0.74,0.53,0.51
-0.66,0.47,0.44
-0.59,0.51,0.42
-0.55,0.52,0.45
-0.51,0.47,0.4
-0.5,0.42,0.34
-0.5,0.43,0.41
-0.41,0.36,0.39
-0.33,0.29,0.3
-0.36,0.32,0.35
-0.35,0.29,0.34
-0.26,0.26,0.19
-0.19,0.23,0.11
-0.14,0.2,0.04
-0.11,0.25,0.05
-0.02,0.24,0.15
0.02,0.18,0.09
0.06,0.14,-0.1
0.09,0.13,-0.14
0.09,0.14,-0.1
0.19,0.11,-0.14
0.24,0.01,-0.12
0.21,-0.08,-0.18
0.25,-0.13,-0.16
0.32,-0.17,-0.17
0.4,-0.22,-0.15
0.43,-0.27,-0.11
0.5,-0.28,-0.13
0.57,-0.3,-0.17
0.56,-0.35,-0.18
0.58,-0.34,-0.18
0.59,-0.35,-0.17
0.63,-0.36,-0.2
0.69,-0.38,-0.23
0.72,-0.41,-0.21
0.79,-0.46,-0.17
0.85,-0.5,-0.13
0.87,-0.5,-0.15
0.9,-0.48,-0.19
0.9,-0.47,-0.17
0.93,-0.49,-0.13
0.99,-0.54,-0.12
0.99,-0.64,-0.07
1.02,-0.77,-0.02
1.07,-0.89,0.01
1.07,-0.88,0.04
1.09,-0.73,0.05
1.16,-0.58,0
1.22,-0.51,-0.07
1.31,-0.63,-0.06
1.38,-0.66,-0.04
1.36,-0.68,-0.04
1.28,-0.69,-0.06
1.27,-0.66,-0.06
1.3,-0.58,-0.07
1.36,-0.52,-0.12
1.4,-0.61,-0.18
1.39,-0.8,-0.2
1.41,-0.97,-0.17
1.49,-1.01,-0.1
1.55,-0.89,-0.07
1.56,-0.73,-0.11
1.56,-0.6,-0.13
1.49,-0.56,-0.13
1.39,-0.63,-0.12
1.34,-0.87,-0.08
1.34,-1.14,-0.06
1.32,-1.22,-0.02
1.41,-1.19,-0.04
1.53,-1.15,-0.04
1.59,-1.01,0.02
1.54,-0.86,0.02
1.37,-0.87,0.03
1.23,-0.92,0.01
1.08,-1.07,-0.07
1.12,-1.46,0.05
1.35,-1.47,0.15
1.39,-1.37,0.2
1.31,-1.33,0.21
1.21,-1.31,0.2
1.11,-1.28,0.11
1.04,-1.3,0.03
1.03,-1.44,0.03
1.11,-1.59,0.05
1.2,-1.66,0.07
1.25,-1.66,0.17
1.47,-1.5,0.28
1.79,-1.2,0.22
1.89,-0.95,0.11
1.82,-0.67,0.14
1.77,-0.48,0.22
1.71,-0.44,0.14
1.5,-0.62,-0.14
1.24,-0.88,-0.38
1.11,-0.88,-0.35
1.02,-0.81,-0.22
0.94,-0.79,-0.1
0.85,-0.81,-0.03
0.76,-0.81,0
0.66,-0.78,0.02
0.58,-0.78,0
0.5,-0.88,-0.11
0.46,-0.91,-0.18
0.49,-0.94,-0.22
0.46,-0.98,-0.2
0.39,-1.02,-0.18
0.35,-1.02,-0.17
0.32,-0.97,-0.15
0.31,-0.93,-0.14
0.32,-0.88,-0.14
0.31,-0.82,-0.14
0.3,-0.77,-0.15
0.33,-0.74,-0.15
0.37,-0.72,-0.13
0.39,-0.7,-0.12
0.4,-0.71,-0.11
0.41,-0.71,-0.12
0.42,-0.72,-0.12
0.43,-0.73,-0.12
0.45,-0.75,-0.12
0.45,-0.77,-0.12
0.47,-0.8,-0.13
0.49,-0.84,-0.12
0.5,-0.86,-0.12
0.52,-0.87,-0.11
0.55,-0.86,-0.1
0.57,-0.86,-0.09
0.58,-0.85,-0.06
0.59,-0.85,-0.04
0.59,-0.86,-0.04
0.6,-0.86,-0.05
0.62,-0.84,-0.04
0.65,-0.83,-0.04
0.67,-0.84,-0.03
0.7,-0.85,-0.01
0.69,-0.87,0.01
0.69,-0.88,0.01
0.7,-0.87,0
0.69,-0.87,0
0.68,-0.86,0.02
0.69,-0.84,0.03
0.71,-0.83,0.02
0.71,-0.83,0.02
0.72,-0.83,0.02
0.74,-0.84,0.02
0.75,-0.85,0.02
0.74,-0.86,0.02
0.73,-0.87,0.02
0.72,-0.88,0.02
0.71,-0.89,0.03
0.71,-0.9,0.04
0.71,-0.89,0.04
0.7,-0.87,0.02
0.69,-0.85,0.02
0.67,-0.87,0.03
0.65,-0.87,0.02
0.62,-0.87,0.01
0.61,-0.87,0
0.6,-0.87,-0.01
0.58,-0.87,-0.01
0.57,-0.87,0
0.56,-0.87,-0.01
0.55,-0.86,-0.01
0.53,-0.85,-0.01
0.52,-0.84,-0.03
0.52,-0.83,-0.04
0.53,-0.83,-0.06
0.53,-0.83,-0.06
0.53,-0.84,-0.06
0.52,-0.82,-0.05
0.52,-0.81,-0.05
0.51,-0.81,-0.06
0.52,-0.81,-0.08
0.53,-0.79,-0.09
0.54,-0.77,-0.09
0.54,-0.76,-0.09
0.55,-0.76,-0.09
0.56,-0.76,-0.09
0.57,-0.77,-0.09
0.59,-0.77,-0.11
0.58,-0.78,-0.12
0.57,-0.77,-0.12
0.58,-0.75,-0.13
0.56,-0.74,-0.16
0.56,-0.74,-0.18
0.59,-0.75,-0.2
0.66,-0.74,-0.22
0.72,-0.73,-0.23
0.76,-0.73,-0.22
0.79,-0.73,-0.23
0.84,-0.73,-0.24
0.89,-0.72,-0.22
0.94,-0.71,-0.21
0.96,-0.69,-0.2
0.96,-0.69,-0.2
0.97,-0.71,-0.21
1,-0.73,-0.21
1.02,-0.76,-0.21
1.06,-0.78,-0.21
1.1,-0.78,-0.22
1.17,-0.76,-0.22
1.23,-0.77,-0.22
1.27,-0.79,-0.2
1.28,-0.82,-0.2
1.27,-0.85,-0.21
1.29,-0.85,-0.25
1.35,-0.84,-0.27
1.41,-0.84,-0.28
1.45,-0.83,-0.28
1.46,-0.82,-0.29
1.46,-0.84,-0.33
1.48,-0.88,-0.36
1.51,-0.91,-0.37
1.51,-0.91,-0.37
1.5,-0.91,-0.39
1.5,-0.93,-0.43
1.54,-0.96,-0.47
1.54,-0.98,-0.51
1.52,-0.97,-0.53
1.52,-0.97,-0.54
1.54,-0.99,-0.56
1.55,-1.02,-0.57
1.54,-1.06,-0.57
1.52,-1.1,-0.58
1.48,-1.1,-0.58
1.45,-1.07,-0.57
1.45,-1.03,-0.57
1.41,-1.01,-0.56
1.36,-1.02,-0.57
1.32,-1.01,-0.58
1.29,-0.99,-0.55
1.24,-0.96,-0.53
1.12,-0.98,-0.53
1.08,-0.97,-0.51
1.05,-0.92,-0.48
0.99,-0.87,-0.46
0.96,-0.83,-0.46
0.93,-0.76,-0.46
0.9,-0.72,-0.45
0.9,-0.71,-0.45
0.9,-0.62,-0.41
0.86,-0.56,-0.41
0.75,-0.65,-0.47
0.64,-0.55,-0.57
0.69,-0.45,-0.49
0.7,-0.52,-0.38
0.71,-0.49,-0.42
0.71,-0.39,-0.42
0.6,-0.28,-0.45
0.52,-0.26,-0.44
0.46,-0.27,-0.46
0.36,-0.26,-0.49
0.31,-0.21,-0.47
0.33,-0.17,-0.4
0.31,-0.13,-0.33
0.26,-0.11,-0.31
0.19,-0.14,-0.24
0.1,-0.15,-0.14
0.02,0.06,-0.03
-0.08,0.02,-0.03
-0.23,-0.07,-0.05
-0.2,0.14,0.05
-0.36,0.16,0.13
-0.63,0.15,0.22
-0.81,0.2,0.21
-0.9,0.3,0.23
-0.84,0.49,0.32
-0.81,0.48,0.33
-0.84,0.46,0.37
-0.85,0.5,0.41
-0.85,0.6,0.43
-0.8,0.7,0.47
-0.53,0.98,0.56
-0.52,0.93,0.58
-0.7,0.59,0.5
-0.62,0.62,0.54
-0.56,0.62,0.64
-0.5,0.62,0.67
-0.49,0.6,0.71
-0.48,0.61,0.73
-0.31,0.87,0.65
-0.43,0.83,0.62
-0.63,0.64,0.67
-0.55,0.74,0.68
-0.43,0.71,0.67
-0.38,0.68,0.66
-0.37,0.66,0.66
-0.38,0.69,0.66
-0.42,0.77,0.68
-0.43,0.81,0.69
-0.37,0.79,0.68
-0.31,0.75,0.64
-0.29,0.72,0.61
-0.28,0.71,0.6
-0.27,0.75,0.6
-0.22,0.77,0.58
-0.18,0.75,0.57
-0.16,0.73,0.56
-0.14,0.72,0.55
-0.16,0.68,0.56
-0.19,0.66,0.55
-0.15,0.67,0.51
-0.13,0.66,0.46
-0.16,0.65,0.42
-0.17,0.69,0.38
-0.15,0.69,0.37
-0.15,0.65,0.37
-0.14,0.63,0.34
-0.12,0.6,0.27
-0.11,0.57,0.26
-0.21,0.5,0.31
-0.2,0.53,0.28
-0.22,0.54,0.27
-0.22,0.5,0.29
-0.14,0.5,0.29
-0.09,0.49,0.26
-0.1,0.44,0.23
-0.12,0.35,0.22
-0.06,0.32,0.18
0.01,0.29,0.13
0.08,0.23,0.13
0.18,0.22,0.12
0.24,0.2,0.11
0.24,0.13,0.07
0.25,0.09,0.07
0.31,0.1,0.08
0.38,0.08,0.05
0.43,0.04,0.02
0.46,-0.03,-0.02
0.47,-0.08,-0.07
0.49,-0.08,-0.13
0.5,-0.14,-0.18
0.51,-0.18,-0.19
0.55,-0.14,-0.21
0.63,-0.08,-0.23
0.74,-0.05,-0.25
0.81,-0.14,-0.39
0.87,-0.25,-0.49
0.88,-0.36,-0.59
0.89,-0.41,-0.63
0.93,-0.4,-0.62
0.98,-0.39,-0.57
1.11,-0.34,-0.5
1.3,-0.36,-0.45
1.43,-0.45,-0.44
1.44,-0.47,-0.48
1.39,-0.49,-0.55
1.31,-0.52,-0.64
1.22,-0.58,-0.72
1.27,-0.63,-0.7
