Acc_x,Acc_y,Acc_z
0.37,-0.89,0.44
0.27,-0.88,0.6
0.26,-0.95,0.69
0.32,-0.98,0.74
0.35,-1.01,0.77
0.4,-1.07,0.79
0.46,-1.15,0.83
0.51,-1.23,0.94
0.58,-1.3,1.12
0.63,-1.27,1.23
0.61,-1.21,1.3
0.48,-1.18,1.38
0.2,-1.18,1.33
0.01,-1.2,1.2
-0.12,-1.21,1.16
-0.17,-1.26,1.24
-0.08,-1.37,1.31
0.01,-1.45,1.36
0.11,-1.51,1.33
0.22,-1.55,1.24
0.29,-1.55,1.15
0.33,-1.52,1.1
0.36,-1.51,1.05
0.38,-1.53,1
0.41,-1.55,0.96
0.44,-1.57,0.95
0.48,-1.56,0.94
0.51,-1.5,0.86
0.41,-1.25,0.81
0.36,-1.16,0.77
0.35,-1.16,0.77
0.39,-1.16,0.77
0.38,-1.13,0.73
0.34,-1.05,0.71
0.33,-0.95,0.66
0.36,-0.83,0.57
0.37,-0.73,0.52
0.29,-0.69,0.51
0.29,-0.68,0.49
0.36,-0.64,0.46
0.35,-0.57,0.47
0.3,-0.5,0.48
0.31,-0.4,0.4
0.32,-0.28,0.3
0.25,-0.17,0.24
0.26,-0.16,0.14
0.33,-0.11,0.08
0.38,-0.03,0.1
0.39,-0.08,0.11
0.34,-0.12,0.15
0.27,-0.06,0.17
0.27,0.07,0.14
0.29,0.07,0.09
0.26,0.06,0.06
0.22,0.1,0.06
0.18,0.15,0.08
0.13,0.19,0.13
0.11,0.16,0.19
0.08,0.17,0.27
0.04,0.18,0.33
0.01,0.14,0.39
-0.02,0.13,0.45
-0.05,0.11,0.5
-0.09,0.12,0.54
-0.11,0.12,0.57
-0.13,0.12,0.61
-0.14,0.13,0.69
-0.13,0.11,0.8
-0.12,0.05,0.88
-0.14,0.03,0.91
-0.18,0.06,0.92
-0.19,0.06,0.9
-0.19,0.02,0.88
-0.2,-0.01,0.87
-0.18,-0.03,0.83
-0.16,-0.02,0.78
-0.1,0,0.72
-0.05,-0.02,0.66
-0.04,-0.04,0.58
-0.03,-0.04,0.52
-0.01,-0.1,0.46
-0.01,-0.12,0.47
0.02,-0.13,0.46
0.05,-0.15,0.44
0.09,-0.2,0.39
0.11,-0.27,0.32
0.14,-0.34,0.26
0.15,-0.41,0.27
0.19,-0.46,0.36
0.25,-0.47,0.44
0.28,-0.46,0.48
0.29,-0.51,0.46
0.3,-0.59,0.38
0.3,-0.69,0.33
0.31,-0.85,0.29
0.3,-0.94,0.31
0.32,-0.95,0.4
0.42,-0.79,0.57
0.55,-0.67,0.63
0.54,-0.99,0.65
0.44,-1.15,0.71
0.39,-1.05,0.62
0.37,-1.11,0.57
0.31,-1.2,0.63
0.32,-1.22,0.77
0.39,-1.24,0.91
0.42,-1.22,0.99
0.44,-1.22,0.96
0.45,-1.27,0.92
0.45,-1.34,0.89
0.45,-1.44,0.92
0.46,-1.52,1.01
0.46,-1.53,1.11
0.46,-1.45,1.17
0.46,-1.35,1.17
0.44,-1.26,1.16
0.43,-1.23,1.12
0.4,-1.24,1.09
0.39,-1.29,1.09
0.4,-1.34,1.11
0.4,-1.35,1.14
0.39,-1.3,1.16
0.39,-1.23,1.15
0.37,-1.17,1.12
0.27,-1.12,0.93
-0.27,-1.17,1.39
-1.2,-1.13,2.14
-0.75,-1.08,1.92
0.25,-1.15,1.5
0.06,-1.11,1.41
0.03,-1.01,1.35
0.4,-0.98,1.25
0.65,-0.97,1.01
0.67,-0.98,0.89
0.58,-0.95,0.74
0.58,-0.93,0.59
0.48,-0.92,0.54
0.35,-0.93,0.56
0.26,-0.91,0.54
0.24,-0.9,0.5
0.21,-0.93,0.52
0.15,-0.96,0.61
0.12,-0.99,0.69
0.12,-1.02,0.73
0.13,-1.04,0.73
0.15,-1.04,0.69
0.15,-1.04,0.69
0.15,-1.04,0.74
0.17,-1.06,0.82
0.18,-1.08,0.87
0.12,-1.11,0.94
0.06,-1.15,1.02
0.03,-1.18,1.1
-0.04,-1.2,1.11
-0.11,-1.15,1.07
-0.11,-1.1,1.1
