Acc_x,Acc_y,Acc_z
0.6,-0.39,0.72
0.6,-0.39,0.72
0.6,-0.4,0.73
0.59,-0.39,0.73
0.59,-0.39,0.73
0.58,-0.39,0.74
0.59,-0.38,0.73
0.6,-0.39,0.72
0.6,-0.39,0.72
0.6,-0.39,0.72
0.61,-0.39,0.71
0.61,-0.39,0.71
0.61,-0.39,0.71
0.61,-0.38,0.71
0.62,-0.38,0.71
0.61,-0.39,0.71
0.6,-0.39,0.72
0.6,-0.39,0.72
0.61,-0.39,0.72
0.61,-0.4,0.72
0.61,-0.4,0.71
0.62,-0.4,0.72
0.63,-0.41,0.73
0.66,-0.42,0.73
0.65,-0.43,0.74
0.64,-0.42,0.73
0.63,-0.42,0.73
0.58,-0.41,0.75
0.58,-0.39,0.76
0.62,-0.4,0.76
0.63,-0.42,0.79
0.6,-0.43,0.82
0.59,-0.44,0.83
0.6,-0.44,0.81
0.58,-0.42,0.83
0.56,-0.42,0.87
0.55,-0.43,0.9
0.55,-0.43,0.96
0.59,-0.45,1.02
0.62,-0.48,1.05
0.61,-0.49,1.05
0.59,-0.48,1.03
0.6,-0.47,1.03
0.61,-0.48,1.04
0.62,-0.48,1.05
0.64,-0.45,1.06
0.66,-0.43,1.07
0.67,-0.41,1.09
0.67,-0.38,1.1
0.67,-0.36,1.11
0.66,-0.36,1.11
0.64,-0.35,1.11
0.61,-0.33,1.12
0.6,-0.31,1.13
0.59,-0.31,1.14
0.63,-0.33,1.18
0.69,-0.35,1.2
0.7,-0.34,1.17
0.68,-0.3,1.1
0.65,-0.23,0.97
0.59,-0.11,0.91
0.55,-0.05,0.83
0.54,0,0.77
0.54,0.04,0.73
0.51,0.09,0.7
0.48,0.13,0.65
0.45,0.19,0.59
0.44,0.23,0.54
0.45,0.23,0.49
0.4,0.24,0.48
0.34,0.29,0.5
0.28,0.31,0.51
0.28,0.32,0.49
0.32,0.32,0.48
0.32,0.31,0.48
0.29,0.32,0.48
0.27,0.33,0.45
0.26,0.34,0.43
0.23,0.34,0.42
0.21,0.35,0.41
0.22,0.36,0.39
0.21,0.37,0.34
0.16,0.38,0.33
0.12,0.38,0.32
0.15,0.39,0.3
