Acc_x,Acc_y,Acc_z
0.68,-0.37,0.22
0.7,-0.39,0.15
0.75,-0.41,0.08
0.8,-0.45,0.03
0.87,-0.47,-0.01
0.97,-0.51,-0.06
1.05,-0.54,-0.13
1.06,-0.53,-0.2
1.02,-0.52,-0.24
1.03,-0.55,-0.29
1.07,-0.6,-0.33
1.08,-0.68,-0.33
1.1,-0.77,-0.29
1.15,-0.83,-0.28
1.22,-0.91,-0.3
1.28,-0.98,-0.32
1.22,-1.05,-0.32
1.01,-1.14,-0.3
0.76,-1.31,-0.09
0.51,-1.5,0
0.47,-1.66,0.09
0.49,-1.76,0.2
0.55,-1.86,0.25
0.62,-2,0.27
0.65,-2.06,0.26
0.67,-1.95,0.28
0.68,-1.84,0.32
0.67,-1.76,0.37
0.57,-1.68,0.42
0.44,-1.62,0.46
0.37,-1.63,0.49
0.34,-1.65,0.48
0.31,-1.68,0.48
0.34,-1.72,0.49
0.37,-1.74,0.49
0.37,-1.72,0.48
0.33,-1.7,0.54
0.22,-1.61,0.63
0.15,-1.48,0.7
0.21,-1.36,0.64
0.33,-1.27,0.47
0.36,-1.17,0.33
0.43,-1.11,0.28
0.59,-1.08,0.25
0.8,-0.98,0.31
0.93,-0.89,0.3
0.97,-0.81,0.3
0.94,-0.7,0.29
0.92,-0.63,0.2
0.95,-0.59,0.07
1.03,-0.52,-0.14
1.12,-0.42,-0.3
1.14,-0.29,-0.33
1.12,-0.26,-0.32
1.16,-0.23,-0.36
1.18,-0.18,-0.39
1.16,-0.15,-0.38
1.1,-0.19,-0.33
0.98,-0.25,-0.27
0.84,-0.35,-0.25
0.76,-0.41,-0.27
0.77,-0.41,-0.29
0.81,-0.41,-0.27
0.8,-0.47,-0.23
0.74,-0.56,-0.17
0.68,-0.67,-0.12
0.62,-0.82,-0.14
0.61,-0.87,-0.11
0.62,-0.95,-0.09
0.59,-1.18,-0.09
0.66,-1.25,-0.09
0.53,-1.49,-0.1
0.64,-1.45,-0.13
0.6,-1.56,-0.12
0.75,-1.7,-0.1
0.93,-1.75,-0.03
0.94,-1.73,0.05
0.96,-1.75,0.1
0.93,-1.75,0.1
0.86,-1.69,0.08
0.88,-1.7,0.03
0.94,-1.85,-0.04
1.03,-1.96,-0.09
1.08,-2.05,-0.12
1.1,-2.1,-0.05
1.2,-1.97,-0.01
1.23,-1.81,-0.03
1.17,-1.69,-0.11
1.17,-1.58,-0.28
1.18,-1.6,-0.43
1.24,-1.73,-0.46
1.29,-1.82,-0.41
1.29,-1.78,-0.35
1.3,-1.68,-0.39
1.33,-1.57,-0.48
1.34,-1.48,-0.55
1.35,-1.38,-0.51
1.32,-1.13,-0.44
1.26,-1,-0.38
1.19,-0.89,-0.32
1.11,-0.8,-0.27
1.03,-0.72,-0.23
0.99,-0.64,-0.22
0.95,-0.57,-0.19
0.89,-0.5,-0.14
0.85,-0.4,-0.1
0.82,-0.33,-0.05
0.79,-0.27,0.02
0.76,-0.22,0.09
0.71,-0.19,0.16
0.65,-0.16,0.2
0.6,-0.13,0.23
0.57,-0.1,0.25
0.55,-0.08,0.26
0.54,-0.06,0.25
0.53,-0.07,0.25
0.48,-0.07,0.25
0.42,-0.08,0.27
0.4,-0.09,0.28
0.39,-0.11,0.25
0.37,-0.12,0.23
0.39,-0.12,0.19
0.43,-0.13,0.12
0.56,-0.18,0.06
0.64,-0.22,-0.01
0.7,-0.26,-0.09
0.71,-0.29,-0.17
0.66,-0.33,-0.26
0.6,-0.36,-0.36
0.59,-0.4,-0.43
0.64,-0.46,-0.43
0.76,-0.5,-0.41
0.9,-0.51,-0.39
1.02,-0.55,-0.42
1.1,-0.6,-0.45
1.16,-0.65,-0.45
1.21,-0.68,-0.42
1.18,-0.71,-0.35
1.02,-0.75,-0.26
0.85,-0.83,-0.21
0.72,-0.96,-0.2
0.68,-1.09,-0.19
0.79,-1.2,-0.17
0.99,-1.3,-0.14
1.19,-1.39,-0.11
1.32,-1.42,-0.1
1.36,-1.47,-0.1
1.23,-1.53,-0.09
0.94,-1.57,0.06
0.46,-1.77,0.14
0.4,-1.88,0.21
0.52,-1.98,0.26
0.73,-2.07,0.29
0.88,-2.04,0.33
0.92,-1.96,0.38
0.91,-1.84,0.41
0.85,-1.74,0.48
0.7,-1.66,0.57
0.54,-1.64,0.65
0.4,-1.66,0.72
0.27,-1.67,0.77
0.2,-1.65,0.79
0.16,-1.61,0.77
0.2,-1.55,0.68
0.39,-1.46,0.6
0.63,-1.34,0.56
0.86,-1.23,0.49
0.95,-1.1,0.35
0.83,-1,0.24
0.73,-0.96,0.17
0.7,-0.89,0.07
0.72,-0.81,0
0.77,-0.72,-0.12
0.88,-0.6,-0.24
0.92,-0.5,-0.2
1.02,-0.31,-0.31
0.88,-0.44,-0.44
0.94,-0.43,-0.47
0.98,-0.4,-0.52
0.99,-0.41,-0.57
0.97,-0.38,-0.57
0.92,-0.37,-0.51
0.83,-0.41,-0.43
0.77,-0.48,-0.37
0.74,-0.53,-0.3
0.75,-0.58,-0.24
0.8,-0.63,-0.2
0.85,-0.68,-0.16
0.89,-0.75,-0.12
0.9,-0.83,-0.09
0.89,-0.91,-0.08
0.87,-1.06,-0.02
0.83,-1.25,0.06
0.75,-1.36,0.15
0.7,-1.39,0.13
0.67,-1.44,0.05
