Acc_x,Acc_y,Acc_z
0.67,0.72,0.05
0.66,0.7,0.06
0.67,0.7,0.08
0.68,0.69,0.09
0.68,0.68,0.19
0.65,0.32,1.39
1.24,0.11,2.4
1.56,0.27,1.62
0.63,0.65,0.62
-0.15,0.95,0.24
0.11,0.87,0.09
0.55,0.82,0.01
0.73,0.82,0.01
0.78,0.85,0.05
0.75,0.9,0.09
0.74,0.89,0.15
0.77,0.87,0.19
0.73,0.89,0.18
0.64,0.89,0.13
0.6,0.86,0.09
0.62,0.85,0.1
0.68,0.83,0.13
0.74,0.81,0.16
0.76,0.81,0.18
0.74,0.8,0.18
0.72,0.79,0.17
0.7,0.78,0.15
0.68,0.78,0.14
0.66,0.76,0.16
0.65,0.74,0.18
0.62,0.72,0.17
0.6,0.72,0.19
0.6,0.73,0.23
0.6,0.73,0.26
0.57,0.73,0.28
0.58,0.73,0.29
0.59,0.73,0.29
0.6,0.72,0.29
0.59,0.73,0.29
0.59,0.73,0.29
0.6,0.74,0.28
0.6,0.74,0.28
0.59,0.74,0.28
0.6,0.75,0.27
0.59,0.75,0.26
0.58,0.75,0.25
0.58,0.76,0.24
0.57,0.76,0.24
0.57,0.77,0.22
0.56,0.79,0.2
0.56,0.8,0.18
0.55,0.81,0.16
0.54,0.81,0.14
0.54,0.81,0.13
0.53,0.82,0.12
0.52,0.82,0.11
0.5,0.83,0.09
0.48,0.84,0.08
0.48,0.86,0.07
0.46,0.88,0.05
0.45,0.89,0.03
0.45,0.9,0.03
0.44,0.91,0.03
0.44,0.92,0.04
0.42,0.94,0.04
0.41,0.94,0.03
0.41,0.94,0.02
0.39,0.94,0.01
0.37,0.95,0
0.37,0.95,-0.01
0.35,0.94,-0.01
0.34,0.94,-0.02
0.32,0.94,-0.02
0.3,0.93,-0.03
0.28,0.93,-0.05
0.26,0.94,-0.06
0.24,0.94,-0.09
0.22,0.93,-0.09
0.21,0.93,-0.09
0.2,0.94,-0.1
0.19,0.94,-0.12
0.18,0.95,-0.12
0.17,0.96,-0.12
0.19,0.96,-0.11
0.2,0.95,-0.1
0.21,0.94,-0.07
0.23,0.92,-0.03
0.26,0.89,0.02
0.29,0.87,0.07
0.34,0.82,0.17
0.95,0.22,2.03
0.91,-0.04,2.95
0.27,0.6,1
0.27,1.06,-0.03
0.22,1.15,0.04
0.33,1,0.11
0.56,0.85,0.11
0.52,0.82,0.07
0.44,0.85,0.07
0.4,0.89,0.14
0.37,0.89,0.25
0.31,0.83,0.31
0.3,0.82,0.28
0.29,0.85,0.22
0.31,0.86,0.19
0.37,0.88,0.2
0.42,0.89,0.25
0.44,0.91,0.31
0.44,0.93,0.36
0.42,0.92,0.36
0.41,0.92,0.35
0.42,0.91,0.35
0.43,0.89,0.36
0.44,0.84,0.36
0.46,0.8,0.39
0.49,0.79,0.43
0.48,0.81,0.44
0.45,0.8,0.45
0.43,0.79,0.46
0.43,0.79,0.46
0.43,0.79,0.45
0.43,0.8,0.42
0.41,0.81,0.4
0.39,0.82,0.36
0.38,0.84,0.31
0.37,0.86,0.27
0.37,0.87,0.24
0.37,0.89,0.21
0.38,0.89,0.18
0.37,0.89,0.15
0.36,0.9,0.11
0.35,0.92,0.08
0.35,0.93,0.06
0.35,0.94,0.03
0.35,0.94,0
0.35,0.94,-0.01
0.35,0.94,-0.03
0.34,0.94,-0.05
0.33,0.95,-0.05
0.32,0.96,-0.06
0.31,0.97,-0.06
0.31,0.97,-0.06
0.32,0.97,-0.05
0.32,0.97,-0.05
0.32,0.96,-0.05
0.31,0.96,-0.05
0.31,0.96,-0.05
0.31,0.95,-0.04
0.3,0.95,-0.04
0.3,0.95,-0.04
0.31,0.95,-0.04
0.31,0.95,-0.04
0.31,0.94,-0.04
0.3,0.95,-0.06
0.31,0.94,-0.07
0.31,0.94,-0.08
0.32,0.93,-0.08
0.33,0.91,-0.08
0.33,0.91,-0.1
0.33,0.91,-0.11
0.34,0.9,-0.1
0.37,0.89,-0.09
0.39,0.88,-0.05
0.4,0.87,-0.01
0.42,0.85,0.03
0.44,0.83,0.08
0.45,0.81,0.14
0.66,0.65,0.32
1.51,0.01,2.22
1.26,-0.12,2.83
0.44,0.53,0.85
0.12,1.04,0.23
-0.18,1.15,0.44
0.35,0.95,0.27
0.57,0.87,0.12
0.39,0.86,0.11
0.53,0.89,0.14
0.61,0.9,0.26
0.53,0.83,0.37
0.43,0.79,0.41
0.34,0.82,0.39
0.32,0.83,0.34
0.36,0.82,0.32
0.4,0.82,0.34
0.41,0.82,0.37
0.42,0.82,0.39
0.44,0.8,0.43
0.47,0.8,0.44
0.47,0.8,0.44
0.45,0.81,0.42
0.44,0.81,0.4
0.45,0.8,0.4
0.44,0.77,0.44
0.42,0.76,0.49
0.41,0.77,0.52
0.42,0.77,0.54
0.43,0.78,0.53
0.42,0.79,0.53
0.43,0.81,0.51
0.43,0.82,0.48
0.43,0.82,0.45
0.42,0.82,0.41
0.41,0.83,0.37
0.39,0.84,0.32
0.39,0.84,0.29
0.41,0.84,0.28
0.4,0.84,0.26
0.38,0.85,0.22
0.38,0.86,0.19
0.37,0.86,0.16
0.37,0.88,0.14
0.38,0.89,0.14
0.37,0.9,0.1
0.39,0.91,0.07
0.36,0.9,0.07
0.34,0.9,0.05
0.35,0.91,0.04
0.34,0.93,0.03
0.34,0.94,0.02
0.33,0.94,0.01
0.33,0.94,0
0.34,0.95,-0.01
0.33,0.95,-0.02
0.32,0.94,-0.01
0.3,0.94,-0.01
0.33,0.92,0
0.34,0.92,-0.01
0.3,0.93,-0.01
0.3,0.94,0
0.3,0.94,0
0.29,0.94,0
0.29,0.94,0
0.29,0.94,0.01
0.28,0.94,0.02
0.28,0.94,0.03
0.28,0.94,0.03
0.28,0.94,0.03
0.28,0.94,0.03
0.28,0.94,0.03
0.28,0.94,0.04
0.28,0.94,0.05
0.27,0.93,0.06
0.27,0.94,0.07
0.28,0.94,0.07
0.28,0.94,0.07
0.28,0.95,0.07
0.28,0.95,0.07
0.28,0.94,0.06
0.28,0.94,0.05
0.27,0.94,0.04
0.27,0.95,0.03
0.26,0.95,0
0.26,0.95,-0.02
0.26,0.95,-0.04
0.26,0.95,-0.05
0.26,0.95,-0.06
0.26,0.95,-0.06
0.27,0.95,-0.07
0.27,0.95,-0.07
0.27,0.94,-0.07
0.28,0.94,-0.07
0.29,0.94,-0.07
0.29,0.93,-0.08
0.28,0.93,-0.06
0.29,0.92,-0.05
0.3,0.91,-0.01
0.32,0.91,0.02
0.34,0.9,0.03
0.35,0.9,0.04
0.36,0.9,0.06
0.37,0.88,0.1
0.39,0.87,0.13
0.4,0.86,0.16
0.4,0.85,0.18
0.4,0.84,0.19
0.41,0.83,0.23
