Acc_x,Acc_y,Acc_z
0.53,-1.18,0.12
0.56,-1.15,0.12
0.59,-1.13,0.11
0.6,-1.1,0.13
0.59,-1.08,0.15
0.56,-1.08,0.15
0.56,-1.08,0.13
0.57,-1.08,0.12
0.58,-1.07,0.11
0.6,-1.06,0.11
0.62,-1.05,0.11
0.63,-1.04,0.11
0.62,-1.05,0.11
0.62,-1.05,0.12
0.62,-1.02,0.13
0.63,-1.01,0.13
0.65,-1,0.12
0.66,-0.99,0.13
0.66,-0.97,0.13
0.66,-0.95,0.14
0.67,-0.92,0.16
0.66,-0.89,0.17
0.67,-0.88,0.17
0.67,-0.87,0.18
0.68,-0.86,0.18
0.68,-0.85,0.18
0.67,-0.86,0.18
0.67,-0.86,0.18
0.69,-0.86,0.16
0.71,-0.86,0.16
0.7,-0.87,0.16
0.7,-0.88,0.16
0.71,-0.87,0.16
0.7,-0.88,0.15
0.67,-0.88,0.15
0.66,-0.89,0.15
0.65,-0.89,0.16
0.64,-0.89,0.17
0.65,-0.89,0.17
0.64,-0.88,0.18
0.63,-0.86,0.15
0.6,-0.85,0.14
0.58,-0.84,0.14
0.56,-0.83,0.15
0.55,-0.81,0.14
0.54,-0.78,0.12
0.52,-0.76,0.12
0.5,-0.74,0.12
0.48,-0.72,0.12
0.47,-0.71,0.13
0.46,-0.69,0.13
0.44,-0.68,0.13
0.43,-0.67,0.14
0.43,-0.66,0.15
0.42,-0.65,0.15
0.41,-0.65,0.16
0.39,-0.64,0.16
0.38,-0.64,0.17
0.37,-0.63,0.18
0.35,-0.63,0.19
0.32,-0.63,0.2
0.3,-0.62,0.2
0.29,-0.62,0.21
0.3,-0.63,0.21
0.3,-0.63,0.21
0.28,-0.64,0.21
0.26,-0.65,0.22
0.26,-0.68,0.23
0.26,-0.7,0.23
0.27,-0.76,0.23
0.28,-0.84,0.22
0.29,-0.92,0.21
0.3,-1,0.21
0.3,-1.05,0.21
0.3,-1.07,0.2
0.3,-1.08,0.21
0.31,-1.1,0.21
0.32,-1.13,0.21
0.32,-1.18,0.23
0.35,-1.23,0.24
0.41,-1.21,0.21
0.44,-1.18,0.18
0.33,-1.37,0.21
0.2,-1.57,0.22
0.28,-1.52,0.23
0.39,-1.37,0.23
0.37,-1.3,0.2
0.36,-1.31,0.17
0.4,-1.3,0.16
0.43,-1.26,0.15
0.39,-1.26,0.15
0.31,-1.26,0.18
0.3,-1.23,0.16
0.37,-1.25,0.15
0.34,-1.23,0.15
0.3,-1.19,0.16
0.29,-1.17,0.16
0.3,-1.15,0.14
0.29,-1.12,0.13
0.3,-1.09,0.12
0.32,-1.07,0.11
0.32,-1.05,0.11
0.32,-1.03,0.12
0.32,-1,0.12
0.34,-0.97,0.12
0.35,-0.94,0.11
0.36,-0.92,0.11
0.36,-0.89,0.1
0.37,-0.87,0.1
0.37,-0.85,0.1
0.37,-0.83,0.11
0.38,-0.82,0.13
0.38,-0.81,0.14
0.37,-0.79,0.15
0.34,-0.78,0.18
0.34,-0.78,0.18
0.34,-0.79,0.19
0.35,-0.82,0.2
0.34,-0.85,0.2
0.38,-0.84,0.2
0.4,-0.85,0.2
0.42,-0.85,0.2
0.43,-0.86,0.22
0.43,-0.86,0.23
0.42,-0.85,0.26
0.42,-0.84,0.27
0.44,-0.82,0.27
0.45,-0.82,0.28
0.47,-0.81,0.29
0.47,-0.8,0.3
0.47,-0.79,0.31
0.47,-0.79,0.31
0.46,-0.79,0.31
0.46,-0.8,0.31
0.46,-0.82,0.32
0.46,-0.86,0.34
0.47,-0.91,0.37
0.47,-0.97,0.39
0.46,-1.02,0.4
0.47,-1.08,0.42
0.48,-1.43,0.44
0.47,-1.37,0.41
0.43,-1.29,0.39
0.41,-1.21,0.36
0.39,-1.12,0.34
0.36,-0.96,0.28
0.38,-0.89,0.26
0.39,-0.85,0.23
0.4,-0.83,0.21
0.41,-0.84,0.19
0.43,-0.88,0.16
0.45,-0.93,0.13
0.47,-1,0.12
0.49,-1.06,0.11
0.49,-1.12,0.09
0.49,-1.19,0.09
0.48,-1.26,0.07
0.46,-1.32,0.04
0.41,-1.35,0.03
0.37,-1.33,0.03
0.37,-1.32,0.01
0.38,-1.28,0.01
0.38,-1.25,0.01
0.37,-1.23,0.02
0.35,-1.2,0.03
0.34,-1.17,0.04
0.34,-1.14,0.05
0.34,-1.1,0.05
0.34,-1.06,0.05
0.33,-1.03,0.05
0.33,-1,0.05
0.32,-0.97,0.05
0.31,-0.95,0.04
0.3,-0.92,0.03
0.3,-0.89,0.03
0.3,-0.86,0.03
0.31,-0.84,0.02
0.31,-0.81,0.01
0.31,-0.77,0.01
0.31,-0.73,0.01
0.31,-0.69,0.01
0.31,-0.65,0.03
0.31,-0.63,0.05
0.31,-0.61,0.07
0.32,-0.61,0.1
0.33,-0.62,0.14
0.34,-0.66,0.15
0.32,-0.68,0.16
0.33,-0.71,0.18
0.32,-0.75,0.19
0.3,-0.76,0.21
0.28,-0.76,0.25
0.26,-0.75,0.33
0.27,-0.74,0.35
0.28,-0.74,0.36
0.29,-0.75,0.39
0.3,-0.77,0.42
0.31,-0.79,0.42
0.33,-0.84,0.42
0.34,-0.92,0.4
0.33,-1,0.39
0.29,-1.07,0.4
0.25,-1.12,0.41
0.23,-1.15,0.42
0.22,-1.17,0.44
0.21,-1.2,0.44
0.19,-1.23,0.45
0.21,-1.18,0.42
0.24,-1.14,0.4
0.25,-1.11,0.39
0.28,-1.07,0.38
0.3,-1.01,0.37
0.32,-0.95,0.36
0.34,-0.89,0.35
0.36,-0.82,0.32
0.37,-0.77,0.29
0.37,-0.75,0.28
0.36,-0.76,0.28
0.38,-0.79,0.28
0.38,-0.83,0.29
0.37,-0.88,0.29
0.36,-0.92,0.3
0.34,-0.96,0.31
0.33,-1.01,0.31
0.33,-1.08,0.32
0.3,-1.15,0.33
0.29,-1.2,0.34
0.28,-1.23,0.35
0.28,-1.22,0.35
0.29,-1.17,0.35
0.31,-1.1,0.32
0.32,-1.02,0.3
0.32,-0.95,0.3
0.33,-0.9,0.31
0.36,-0.84,0.32
0.35,-0.82,0.33
0.34,-0.78,0.35
0.34,-0.75,0.35
0.32,-0.73,0.35
0.31,-0.71,0.35
0.29,-0.69,0.36
0.27,-0.69,0.36
0.24,-0.69,0.35
0.23,-0.68,0.35
0.23,-0.67,0.33
0.23,-0.66,0.33
0.22,-0.64,0.34
0.2,-0.6,0.35
0.19,-0.57,0.36
0.18,-0.54,0.37
0.18,-0.51,0.36
0.18,-0.5,0.34
0.17,-0.49,0.33
0.15,-0.48,0.32
0.14,-0.46,0.31
0.14,-0.44,0.31
0.13,-0.43,0.3
0.14,-0.42,0.29
0.15,-0.43,0.29
0.17,-0.48,0.31
0.23,-0.68,0.32
0.25,-0.77,0.32
0.25,-0.84,0.34
0.26,-0.9,0.34
0.23,-0.93,0.35
0.21,-0.98,0.35
0.18,-0.96,0.35
0.15,-0.98,0.33
0.15,-1.06,0.27
0.12,-1.02,0.26
