Acc_x,Acc_y,Acc_z
0.06,0.34,0.94
0.06,0.34,0.94
0.06,0.34,0.94
0.06,0.34,0.95
0.07,0.33,0.95
0.08,0.33,0.95
0.08,0.32,0.95
0.1,0.32,0.96
0.13,0.31,0.97
0.14,0.3,0.96
0.16,0.3,0.95
0.18,0.3,0.95
0.19,0.3,0.96
0.18,0.32,0.97
0.18,0.34,0.97
0.2,0.36,0.96
0.2,0.38,0.95
0.2,0.4,0.94
0.18,0.4,0.95
0.17,0.4,0.94
0.17,0.4,0.93
0.15,0.39,0.92
0.14,0.38,0.91
0.15,0.37,0.9
0.15,0.38,0.89
0.12,0.39,0.83
0.09,0.39,0.82
0.1,0.39,0.82
0.09,0.38,0.82
0.09,0.38,0.83
0.1,0.37,0.85
0.12,0.36,0.87
0.12,0.37,0.9
0.11,0.37,0.9
0.07,0.37,0.88
0.06,0.37,0.85
0.08,0.36,0.85
0.11,0.36,0.87
0.14,0.36,0.9
0.15,0.37,0.92
0.16,0.38,0.95
0.17,0.38,0.98
0.18,0.38,0.99
0.19,0.39,1.01
0.2,0.39,1.02
0.22,0.39,1.02
0.25,0.38,1.02
0.29,0.35,1.02
0.34,0.32,1.04
0.34,0.29,1.09
0.34,0.25,1.14
0.36,0.22,1.14
0.4,0.21,1.11
0.41,0.19,1.07
0.42,0.17,1.03
0.42,0.15,1
0.41,0.13,0.99
0.4,0.11,1.01
0.4,0.08,1.05
0.41,0.05,1.07
0.4,0.02,1.06
0.38,0,1.02
0.36,-0.01,0.95
0.34,-0.02,0.88
0.35,-0.04,0.85
0.41,-0.07,0.87
0.48,-0.11,0.91
0.52,-0.14,0.95
0.53,-0.16,0.96
0.51,-0.17,0.93
0.47,-0.17,0.87
0.46,-0.18,0.81
0.48,-0.19,0.78
0.51,-0.19,0.77
0.55,-0.19,0.77
0.58,-0.19,0.79
0.59,-0.19,0.79
0.58,-0.18,0.76
0.54,-0.16,0.73
0.52,-0.14,0.69
0.51,-0.14,0.67
0.52,-0.14,0.66
0.54,-0.14,0.65
0.55,-0.16,0.64
0.57,-0.18,0.63
0.6,-0.19,0.64
0.61,-0.21,0.65
0.62,-0.23,0.65
0.62,-0.24,0.65
0.63,-0.23,0.64
0.63,-0.22,0.63
0.62,-0.22,0.6
0.63,-0.23,0.59
0.67,-0.24,0.6
0.7,-0.26,0.62
0.72,-0.27,0.63
0.72,-0.28,0.63
0.71,-0.29,0.62
0.71,-0.3,0.61
