Acc_x,Acc_y,Acc_z
0.25,-1.07,0.33
0.24,-1.07,0.35
0.23,-1.09,0.36
0.21,-1.09,0.39
0.19,-1.03,0.43
0.18,-1.04,0.45
0.15,-1.11,0.46
0.11,-1.1,0.48
0.06,-1.14,0.5
0.02,-1.15,0.53
-0.05,-1.17,0.55
-0.05,-1.15,0.57
-0.06,-1.17,0.58
-0.07,-1.19,0.58
-0.06,-1.18,0.58
-0.06,-1.18,0.57
-0.04,-1.18,0.57
-0.03,-1.16,0.6
-0.03,-1.14,0.62
-0.01,-1.11,0.64
0,-1.09,0.64
-0.01,-1.08,0.64
0,-1.07,0.62
0,-1.06,0.6
0,-1.05,0.6
0.01,-1.03,0.59
0.02,-1.02,0.58
0.03,-1.02,0.58
0.05,-1.02,0.58
0.06,-1.02,0.58
0.08,-1.02,0.58
0.09,-1.03,0.58
0.1,-1.03,0.58
0.11,-1.03,0.57
0.11,-1.05,0.58
0.11,-1.06,0.59
0.11,-1.08,0.6
0.11,-1.1,0.61
0.11,-1.11,0.62
0.11,-1.11,0.63
0.11,-1.14,0.64
0.1,-1.16,0.66
0.09,-1.16,0.67
0.08,-1.15,0.68
0.07,-1.14,0.68
0.06,-1.12,0.68
0.04,-1.11,0.68
0.03,-1.09,0.68
0.03,-1.06,0.66
0.03,-1.04,0.66
0.03,-1.03,0.66
0.03,-1.03,0.66
0.03,-1.01,0.66
0.04,-0.99,0.65
0.04,-0.95,0.64
0.04,-0.93,0.63
0.04,-0.91,0.63
0.04,-0.91,0.63
0.05,-0.9,0.62
0.05,-0.88,0.61
0.06,-0.85,0.6
0.07,-0.83,0.6
0.09,-0.77,0.59
0.09,-0.75,0.6
0.1,-0.73,0.62
0.09,-0.71,0.63
0.09,-0.7,0.64
0.08,-0.69,0.65
0.09,-0.68,0.64
0.1,-0.66,0.63
0.12,-0.63,0.63
0.12,-0.62,0.65
0.12,-0.62,0.69
0.14,-0.62,0.72
0.16,-0.63,0.73
0.17,-0.61,0.75
0.19,-0.57,0.75
0.21,-0.54,0.74
0.23,-0.52,0.73
0.26,-0.52,0.73
0.29,-0.55,0.73
0.31,-0.58,0.75
0.31,-0.59,0.79
0.3,-0.56,0.83
0.28,-0.51,0.88
0.27,-0.45,0.92
0.26,-0.4,0.95
0.27,-0.37,0.97
0.28,-0.35,0.94
0.31,-0.36,0.91
0.3,-0.37,0.89
0.29,-0.39,0.89
0.28,-0.4,0.9
0.28,-0.4,0.9
0.27,-0.39,0.91
0.26,-0.37,0.92
0.25,-0.36,0.93
0.25,-0.36,0.92
0.25,-0.37,0.91
0.26,-0.37,0.89
0.28,-0.37,0.89
0.29,-0.36,0.89
0.3,-0.35,0.89
0.3,-0.34,0.89
0.29,-0.34,0.9
0.29,-0.34,0.9
0.28,-0.35,0.92
0.27,-0.35,0.94
0.26,-0.35,0.94
0.27,-0.35,0.94
0.26,-0.35,0.94
0.23,-0.35,0.93
0.23,-0.35,0.93
0.23,-0.36,0.93
0.22,-0.37,0.94
0.22,-0.36,0.95
