Acc_x,Acc_y,Acc_z
0,0,0
0.19,0.59,0.31
0.33,0.6,0.33
0.41,0.64,0.44
0.27,0.67,0.47
0.26,0.66,0.47
0.38,0.68,0.54
0.48,0.66,0.54
0.53,0.63,0.51
0.59,0.65,0.52
0.74,0.66,0.5
0.95,0.71,0.45
0.97,0.67,0.58
0.98,0.64,0.69
1.02,0.65,0.73
1,0.63,0.76
1.01,0.61,0.76
1.11,0.64,0.69
1.1,0.64,0.71
0.98,0.62,0.73
0.98,0.63,0.7
1.09,0.64,0.64
1,0.64,0.63
0.84,0.66,0.64
0.81,0.67,0.67
0.82,0.63,0.7
0.81,0.6,0.67
0.77,0.6,0.67
0.78,0.61,0.64
0.78,0.59,0.63
0.8,0.59,0.63
0.85,0.58,0.61
0.8,0.57,0.61
0.75,0.56,0.62
0.74,0.56,0.6
0.7,0.56,0.6
0.72,0.56,0.62
0.74,0.55,0.64
0.73,0.54,0.61
0.77,0.54,0.6
0.75,0.54,0.62
0.79,0.52,0.6
0.76,0.5,0.61
0.75,0.52,0.62
0.75,0.51,0.64
0.72,0.51,0.67
0.73,0.5,0.66
0.75,0.49,0.65
0.79,0.49,0.64
0.8,0.48,0.62
0.81,0.48,0.6
0.8,0.48,0.59
0.79,0.47,0.59
0.77,0.47,0.58
0.76,0.46,0.59
0.75,0.44,0.59
0.74,0.43,0.59
0.72,0.41,0.59
0.7,0.4,0.59
0.71,0.38,0.59
0.71,0.37,0.6
0.71,0.36,0.6
0.71,0.34,0.6
0.72,0.33,0.58
0.73,0.31,0.57
0.74,0.3,0.59
0.74,0.29,0.59
0.73,0.29,0.6
0.73,0.28,0.6
0.73,0.27,0.61
0.73,0.27,0.61
0.74,0.26,0.61
0.75,0.26,0.62
0.76,0.25,0.61
0.77,0.24,0.62
0.78,0.23,0.63
0.78,0.22,0.65
0.78,0.22,0.67
0.77,0.22,0.69
0.77,0.21,0.69
0.78,0.22,0.69
0.79,0.23,0.69
0.76,0.23,0.67
0.69,0.22,0.69
0.69,0.22,0.72
0.71,0.21,0.72
0.71,0.22,0.72
0.71,0.22,0.72
0.71,0.22,0.72
0.71,0.23,0.71
0.7,0.24,0.7
0.72,0.25,0.7
0.73,0.26,0.69
0.71,0.26,0.69
0.7,0.26,0.7
0.7,0.26,0.7
0.7,0.27,0.7
0.7,0.27,0.69
0.7,0.28,0.68
0.71,0.28,0.68
0.72,0.28,0.67
0.72,0.27,0.67
0.72,0.27,0.67
0.71,0.27,0.68
0.72,0.26,0.68
0.72,0.26,0.68
0.72,0.25,0.68
0.71,0.25,0.68
0.71,0.24,0.68
0.71,0.24,0.67
0.7,0.24,0.66
0.71,0.24,0.66
0.71,0.23,0.67
0.71,0.23,0.68
0.71,0.24,0.68
0.71,0.24,0.68
0.71,0.24,0.69
0.71,0.25,0.69
0.7,0.24,0.68
0.7,0.24,0.68
0.7,0.24,0.68
0.7,0.24,0.69
0.69,0.24,0.68
0.69,0.25,0.68
0.69,0.25,0.68
