Acc_x,Acc_y,Acc_z
0.06,0.16,0.5
0.08,0.15,0.43
0.1,0.14,0.35
0.12,0.11,0.27
0.14,0.08,0.2
0.15,0.04,0.15
0.17,0,0.11
0.17,-0.06,0.09
0.16,-0.1,0.1
0.17,-0.11,0.1
0.19,-0.15,0.13
0.2,-0.26,0.15
0.2,-0.27,0.16
0.18,-0.29,0.18
0.19,-0.36,0.19
0.21,-0.44,0.22
0.21,-0.51,0.27
0.19,-0.56,0.31
0.15,-0.61,0.33
0.15,-0.67,0.34
0.17,-0.72,0.37
0.19,-0.74,0.43
0.19,-0.95,0.42
0.22,-1.07,0.46
0.25,-1.02,0.62
0.23,-0.99,0.71
0.28,-1.04,0.7
0.27,-1.15,0.71
0.25,-1.15,0.79
0.28,-1.13,0.82
0.29,-1.14,0.81
0.29,-1.16,0.79
0.31,-1.22,0.79
0.34,-1.26,0.84
0.38,-1.25,0.89
0.39,-1.21,0.91
0.39,-1.2,0.94
0.41,-1.34,0.94
0.42,-1.41,0.9
0.39,-1.46,0.86
0.36,-1.48,0.8
0.35,-1.49,0.79
0.35,-1.48,0.8
0.38,-1.44,0.83
0.42,-1.42,0.87
0.45,-1.42,0.91
0.44,-1.4,0.91
0.43,-1.36,0.88
0.41,-1.33,0.85
0.38,-1.3,0.82
0.36,-1.26,0.79
0.34,-1.23,0.77
0.33,-1.2,0.75
0.31,-1.16,0.72
0.3,-1.12,0.69
0.31,-1.1,0.66
0.3,-1.09,0.64
0.32,-1.13,0.61
0.36,-1.19,0.6
0.39,-1.17,0.6
0.38,-1.13,0.56
0.39,-1.1,0.53
0.4,-1.05,0.49
0.41,-1.03,0.39
0.48,-1.03,0.35
0.43,-1.02,0.37
0.43,-1.05,0.37
0.44,-1.08,0.34
0.46,-1.05,0.35
0.44,-1.01,0.43
0.35,-1.03,0.47
0.31,-1.02,0.47
0.3,-0.97,0.45
0.2,-0.9,0.38
0.11,-0.9,0.31
0.09,-0.96,0.26
0.13,-0.98,0.23
