Acc_x,Acc_y,Acc_z
0.8,-0.27,0.36
0.77,-0.27,0.37
0.74,-0.28,0.35
0.75,-0.28,0.33
0.71,-0.28,0.33
0.68,-0.3,0.33
0.69,-0.35,0.33
0.63,-0.4,0.32
0.57,-0.4,0.33
0.56,-0.41,0.33
0.56,-0.45,0.33
0.53,-0.48,0.34
0.49,-0.5,0.34
0.46,-0.53,0.36
0.44,-0.58,0.38
0.44,-0.62,0.4
0.42,-0.69,0.44
0.39,-0.78,0.45
0.37,-0.83,0.49
0.37,-0.83,0.56
0.38,-0.85,0.6
0.37,-0.91,0.55
0.37,-0.97,0.48
0.39,-1.01,0.46
0.24,-1.03,0.54
0.2,-0.93,0.6
0.15,-1.07,0.59
0.13,-1.3,0.57
0.17,-1.26,0.59
0.29,-1.04,0.63
0.38,-1.05,0.62
0.41,-1.25,0.55
0.48,-1.25,0.55
0.54,-1.15,0.55
0.55,-1.15,0.54
0.54,-1.14,0.54
0.54,-1.09,0.55
0.56,-1.05,0.55
0.57,-1.05,0.52
0.56,-1.01,0.52
0.58,-0.98,0.52
0.58,-0.94,0.54
0.59,-0.89,0.52
0.65,-0.81,0.51
0.71,-0.8,0.49
0.75,-0.91,0.43
0.72,-0.89,0.44
0.66,-0.82,0.47
0.65,-0.76,0.47
0.71,-0.73,0.46
0.81,-0.76,0.49
0.88,-0.76,0.51
0.85,-0.77,0.51
0.81,-0.77,0.5
0.79,-0.78,0.5
0.78,-0.76,0.5
0.79,-0.73,0.5
0.78,-0.69,0.5
0.74,-0.66,0.5
0.7,-0.62,0.51
0.67,-0.58,0.5
0.65,-0.54,0.49
0.63,-0.49,0.48
0.63,-0.45,0.47
0.62,-0.42,0.45
0.61,-0.39,0.43
0.6,-0.37,0.4
0.6,-0.36,0.37
0.6,-0.35,0.35
0.6,-0.35,0.32
0.61,-0.35,0.3
0.63,-0.36,0.28
0.64,-0.37,0.26
0.66,-0.38,0.25
0.68,-0.4,0.23
0.72,-0.43,0.21
0.79,-0.51,0.2
0.98,-0.59,0.21
1.07,-0.7,0.26
1.14,-0.83,0.31
1.18,-0.96,0.32
1.21,-1.08,0.35
1.26,-1.19,0.36
1.32,-1.31,0.35
1.37,-1.42,0.31
1.37,-1.51,0.24
1.35,-1.54,0.18
1.31,-1.52,0.16
1.24,-1.49,0.18
1.18,-1.45,0.23
1.16,-1.38,0.27
1.15,-1.33,0.28
1.1,-1.33,0.28
1.06,-1.31,0.27
1.02,-1.29,0.22
0.98,-1.25,0.17
0.93,-1.21,0.14
0.86,-1.17,0.11
0.79,-1.12,0.1
0.73,-1.06,0.11
0.7,-1,0.11
0.67,-0.94,0.13
0.65,-0.84,0.13
0.59,-0.8,0.13
0.56,-0.75,0.12
0.54,-0.7,0.09
0.53,-0.67,0.07
0.52,-0.63,0.04
0.51,-0.6,0.02
0.48,-0.58,0.01
0.46,-0.56,0.02
0.44,-0.53,0.01
0.42,-0.53,0
