Acc_x,Acc_y,Acc_z
0.83,-0.01,0.33
0.83,-0.01,0.34
0.82,-0.01,0.34
0.81,-0.01,0.33
0.81,-0.03,0.32
0.81,-0.03,0.32
0.81,-0.01,0.33
0.81,-0.01,0.34
0.83,-0.01,0.35
0.84,-0.03,0.35
0.87,-0.06,0.35
0.91,-0.07,0.36
0.94,-0.08,0.37
0.96,-0.09,0.38
0.97,-0.09,0.38
0.97,-0.08,0.38
0.95,-0.07,0.37
0.94,-0.06,0.37
0.96,-0.08,0.37
0.99,-0.06,0.37
0.99,-0.04,0.38
0.99,-0.03,0.39
1,-0.04,0.39
1.01,-0.03,0.38
1.01,-0.02,0.37
1.01,-0.01,0.36
1.01,-0.01,0.36
1.01,-0.01,0.34
1.01,-0.01,0.33
1.01,-0.01,0.31
1.02,-0.01,0.3
1.02,-0.01,0.29
1.01,0,0.29
1,0.01,0.29
1,0.01,0.28
1,0.01,0.27
0.99,0.01,0.26
1,0.01,0.25
1.01,0.01,0.25
1.01,0.01,0.25
1.01,0.01,0.24
1.02,0.01,0.24
1.02,0,0.24
1.01,0,0.23
1.01,0,0.23
1.01,0,0.24
1.01,0,0.24
1,0,0.24
0.99,0,0.24
0.99,0,0.24
1,0,0.23
1,-0.01,0.23
1,-0.01,0.23
1,-0.01,0.22
1,-0.02,0.23
1,-0.01,0.23
0.99,-0.01,0.23
0.99,-0.02,0.23
0.99,-0.02,0.24
0.99,-0.01,0.24
0.99,-0.01,0.24
0.99,-0.01,0.24
1,-0.01,0.24
1,-0.01,0.25
1,-0.01,0.26
1,-0.02,0.26
0.99,-0.02,0.25
1.01,-0.02,0.25
1,-0.02,0.25
1,-0.02,0.25
1,-0.02,0.24
1,-0.02,0.24
1,-0.01,0.24
1,-0.01,0.24
0.99,-0.01,0.24
0.99,-0.02,0.24
1,-0.01,0.23
1,-0.03,0.23
1,-0.04,0.23
1,-0.02,0.22
1,-0.02,0.22
1.01,-0.03,0.22
1,-0.03,0.21
