Acc_x,Acc_y,Acc_z
0.27,0.28,0.88
0.25,0.32,0.87
0.24,0.34,0.87
0.24,0.37,0.88
0.24,0.39,0.9
0.22,0.41,0.94
0.2,0.43,0.95
0.18,0.46,0.95
0.15,0.49,0.92
0.14,0.52,0.91
0.14,0.54,0.89
0.11,0.56,0.87
0.08,0.59,0.85
0.06,0.6,0.85
0.06,0.6,0.86
0.07,0.59,0.87
0.08,0.58,0.88
0.09,0.59,0.86
0.1,0.6,0.84
0.12,0.61,0.85
0.14,0.6,0.86
0.16,0.58,0.87
0.2,0.56,0.87
0.23,0.54,0.87
0.24,0.52,0.86
0.24,0.49,0.85
0.23,0.47,0.84
0.22,0.46,0.82
0.21,0.45,0.81
0.2,0.45,0.8
0.21,0.45,0.79
0.23,0.43,0.78
0.24,0.41,0.76
0.23,0.38,0.74
0.21,0.35,0.76
0.2,0.34,0.78
0.18,0.34,0.8
0.16,0.35,0.81
0.15,0.36,0.8
0.16,0.38,0.81
0.18,0.4,0.83
0.19,0.43,0.86
0.2,0.47,0.99
0.23,0.52,1.06
0.23,0.51,1.08
0.24,0.5,1.05
0.24,0.49,0.99
0.24,0.47,0.91
0.22,0.45,0.84
0.19,0.43,0.78
0.18,0.41,0.77
0.17,0.39,0.8
0.16,0.39,0.85
0.15,0.39,0.91
0.14,0.39,0.95
0.14,0.39,0.97
0.13,0.4,0.95
0.13,0.41,0.91
0.13,0.41,0.85
0.13,0.43,0.8
0.13,0.44,0.78
0.13,0.45,0.79
0.14,0.46,0.81
0.14,0.49,0.83
0.14,0.51,0.86
0.13,0.53,0.88
0.12,0.54,0.88
0.11,0.55,0.86
0.1,0.57,0.85
0.08,0.56,0.83
0.08,0.55,0.83
0.07,0.54,0.84
0.06,0.53,0.86
0.06,0.53,0.87
0.08,0.53,0.87
0.11,0.53,0.87
0.15,0.53,0.85
0.18,0.53,0.83
0.21,0.54,0.8
0.24,0.55,0.79
0.27,0.55,0.78
0.3,0.54,0.78
0.31,0.53,0.8
0.3,0.52,0.83
0.25,0.52,0.85
0.22,0.53,0.85
0.22,0.53,0.85
0.21,0.53,0.85
0.2,0.52,0.87
0.23,0.5,0.91
0.28,0.48,0.98
0.29,0.47,1.05
0.25,0.45,1.08
0.24,0.44,1.05
0.23,0.44,0.85
0.21,0.44,0.77
0.18,0.44,0.73
0.17,0.43,0.74
0.15,0.42,0.76
0.12,0.42,0.79
0.14,0.41,0.83
0.16,0.41,0.88
0.16,0.42,0.93
0.15,0.42,0.97
0.15,0.42,0.99
0.16,0.43,0.97
0.16,0.43,0.92
0.18,0.42,0.87
0.21,0.42,0.83
0.23,0.41,0.83
0.23,0.39,0.84
0.24,0.38,0.86
0.23,0.36,0.87
0.22,0.35,0.88
0.22,0.35,0.88
0.21,0.37,0.88
0.19,0.39,0.89
0.17,0.41,0.89
0.14,0.43,0.89
0.11,0.44,0.89
0.09,0.45,0.87
0.09,0.45,0.84
0.08,0.47,0.84
0.1,0.49,0.85
0.12,0.51,0.88
0.12,0.52,0.9
0.12,0.54,0.9
0.13,0.56,0.89
0.15,0.58,0.88
0.16,0.56,0.85
0.17,0.54,0.82
0.19,0.52,0.78
0.22,0.5,0.75
0.24,0.48,0.71
0.25,0.46,0.69
0.27,0.43,0.7
0.18,0.42,0.72
0.08,0.4,0.74
0.11,0.41,0.74
0.2,0.43,0.75
0.21,0.44,0.77
0.17,0.46,0.81
0.21,0.47,0.86
0.3,0.49,0.91
0.43,0.51,1.01
0.52,0.53,1.12
0.44,0.52,1.15
0.32,0.5,1
0.17,0.52,0.91
0.12,0.51,0.83
0.08,0.5,0.78
0.08,0.49,0.77
0.09,0.48,0.77
0.12,0.47,0.8
0.15,0.45,0.84
0.16,0.42,0.88
0.17,0.41,0.92
0.17,0.4,0.94
0.19,0.41,0.94
0.21,0.42,0.9
0.24,0.42,0.85
0.27,0.43,0.81
0.29,0.43,0.79
0.27,0.43,0.81
0.24,0.41,0.84
0.21,0.38,0.85
0.2,0.36,0.87
0.2,0.36,0.88
0.21,0.35,0.88
0.21,0.36,0.87
0.22,0.35,0.85
0.24,0.35,0.83
0.24,0.35,0.83
0.25,0.34,0.87
0.25,0.36,0.9
0.24,0.37,0.92
0.23,0.38,0.94
0.22,0.39,0.94
0.22,0.4,0.93
0.23,0.42,0.92
0.22,0.43,0.91
0.21,0.44,0.89
0.2,0.46,0.88
0.19,0.49,0.88
0.17,0.52,0.88
0.16,0.55,0.88
0.14,0.59,0.88
0.13,0.6,0.87
0.12,0.6,0.85
0.12,0.6,0.83
0.12,0.6,0.81
0.14,0.6,0.79
0.16,0.61,0.77
0.21,0.64,0.78
0.25,0.66,0.79
0.28,0.66,0.8
0.29,0.66,0.8
0.28,0.65,0.8
0.28,0.62,0.8
0.26,0.6,0.81
0.21,0.59,0.81
0.21,0.57,0.81
0.23,0.56,0.81
0.25,0.55,0.83
0.26,0.53,0.85
0.27,0.5,0.87
0.25,0.49,0.89
0.22,0.47,0.89
0.22,0.45,0.87
0.23,0.43,0.83
0.24,0.41,0.79
0.24,0.39,0.76
0.25,0.38,0.74
0.25,0.38,0.73
0.23,0.39,0.76
0.21,0.41,0.82
0.19,0.44,0.87
0.17,0.47,0.88
0.17,0.48,0.88
0.19,0.48,0.89
0.23,0.48,0.89
0.27,0.48,0.89
0.29,0.45,0.86
0.29,0.42,0.83
0.29,0.37,0.84
0.29,0.34,0.9
0.23,0.34,0.93
0.18,0.33,0.96
0.13,0.32,0.98
0.1,0.31,0.97
0.1,0.32,0.94
0.11,0.33,0.89
0.12,0.36,0.85
0.14,0.38,0.83
0.16,0.4,0.84
0.18,0.42,0.86
0.2,0.44,0.88
0.22,0.47,0.9
0.24,0.5,0.94
0.26,0.53,0.97
0.27,0.57,0.97
0.26,0.59,0.94
0.24,0.62,0.9
0.22,0.63,0.87
0.19,0.64,0.85
0.18,0.65,0.83
0.2,0.66,0.8
0.23,0.65,0.78
0.25,0.63,0.78
0.26,0.62,0.77
0.28,0.61,0.76
0.3,0.59,0.75
0.31,0.57,0.74
0.32,0.55,0.75
0.32,0.52,0.75
0.31,0.5,0.74
0.29,0.48,0.73
0.29,0.46,0.72
0.29,0.43,0.73
0.28,0.41,0.78
0.27,0.39,0.82
0.24,0.38,0.84
0.21,0.38,0.85
0.19,0.38,0.83
0.16,0.39,0.79
0.14,0.4,0.77
0.14,0.4,0.76
0.14,0.4,0.77
0.17,0.4,0.82
0.21,0.41,0.93
0.23,0.41,1.05
0.25,0.41,1.13
0.25,0.41,1.14
0.23,0.41,1.11
0.2,0.41,1.05
0.17,0.4,0.98
0.12,0.4,0.9
0.07,0.39,0.82
0.03,0.37,0.74
-0.02,0.36,0.73
-0.03,0.37,0.75
-0.01,0.38,0.79
0.03,0.39,0.84
0.09,0.42,0.89
0.16,0.46,0.92
0.23,0.49,0.91
0.3,0.5,0.87
0.35,0.5,0.84
