Acc_x,Acc_y,Acc_z
1.2,0.11,0.04
1.22,0.12,0.02
1.21,0.12,0.03
1.18,0.13,0.05
1.16,0.12,0.08
1.13,0.12,0.08
1.13,0.13,0.09
1.14,0.15,0.11
1.15,0.16,0.1
1.16,0.15,0.09
1.16,0.16,0.13
1.17,0.18,0.18
1.19,0.18,0.18
1.22,0.17,0.17
1.26,0.16,0.2
1.24,0.19,0.25
1.2,0.21,0.29
1.18,0.22,0.3
1.17,0.26,0.31
1.13,0.29,0.35
1.05,0.33,0.39
1.08,0.33,0.42
1.09,0.29,0.48
1.01,0.3,0.55
1.04,0.31,0.57
0.98,0.35,0.56
0.91,0.36,0.61
0.96,0.34,0.64
0.97,0.37,0.63
0.94,0.4,0.67
0.88,0.38,0.67
0.81,0.32,0.53
0.87,0.35,0.57
0.7,0.42,0.71
0.61,0.39,0.75
0.76,0.36,0.66
0.69,0.34,0.67
0.58,0.32,0.69
0.64,0.32,0.66
0.63,0.31,0.65
0.61,0.3,0.65
0.67,0.29,0.62
0.77,0.24,0.53
0.65,0.23,0.51
0.55,0.27,0.51
0.52,0.29,0.5
0.34,0.28,0.51
0.3,0.25,0.51
0.37,0.24,0.52
0.37,0.24,0.57
0.37,0.22,0.61
0.42,0.19,0.6
0.46,0.17,0.59
0.44,0.15,0.6
0.39,0.12,0.6
0.38,0.11,0.63
0.41,0.11,0.68
0.42,0.1,0.75
0.42,0.08,0.81
0.42,0.06,0.86
0.46,0.01,0.88
0.53,-0.04,0.92
0.6,-0.01,0.96
0.71,0.08,1
0.72,0.16,1.04
0.59,0.24,1.09
0.47,0.24,1.07
0.43,0.24,0.99
0.42,0.24,0.9
0.44,0.25,0.82
0.46,0.27,0.77
0.46,0.3,0.77
0.46,0.32,0.8
0.45,0.32,0.83
0.44,0.31,0.88
0.44,0.31,0.92
0.46,0.31,0.94
0.48,0.3,0.94
0.5,0.3,0.93
0.51,0.31,0.91
0.5,0.32,0.89
0.48,0.33,0.88
0.46,0.33,0.87
0.46,0.33,0.85
0.43,0.33,0.86
0.38,0.32,0.9
0.34,0.33,0.95
0.34,0.34,0.95
0.36,0.34,0.93
0.35,0.35,0.92
0.33,0.36,0.92
0.34,0.35,0.93
0.33,0.31,0.92
0.33,0.32,0.89
0.34,0.32,0.88
0.33,0.3,0.86
0.33,0.31,0.84
0.34,0.32,0.81
0.31,0.31,0.82
0.26,0.28,0.84
0.33,0.23,0.87
0.43,0.2,0.91
0.43,0.2,0.95
0.38,0.22,0.98
