Acc_x,Acc_y,Acc_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.04,0.4,0.91
-0.04,0.4,0.91
-0.03,0.4,0.91
-0.03,0.41,0.91
-0.02,0.41,0.91
-0.02,0.41,0.93
-0.02,0.4,0.92
-0.01,0.41,0.91
-0.04,0.41,0.93
-0.05,0.4,0.92
-0.04,0.4,0.91
-0.06,0.41,0.92
-0.05,0.4,0.92
-0.04,0.39,0.91
-0.04,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.92
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.04,0.4,0.91
-0.04,0.4,0.91
-0.04,0.4,0.91
-0.04,0.4,0.91
-0.03,0.4,0.91
-0.02,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.04,0.4,0.92
-0.03,0.4,0.91
-0.03,0.4,0.91
-0.03,0.39,0.91
-0.02,0.39,0.91
-0.03,0.39,0.91
-0.03,0.39,0.91
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.02,0.4,0.91
-0.03,0.4,0.91
-0.03,0.4,0.92
-0.03,0.4,0.92
-0.03,0.4,0.91
-0.04,0.4,0.91
-0.04,0.4,0.92
