Acc_x,Acc_y,Acc_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.77,-0.21,0.94
0.82,-0.21,1.02
0.84,-0.21,1.04
0.83,-0.21,1.01
0.77,-0.18,0.95
0.68,-0.17,0.89
0.61,-0.17,0.88
0.55,-0.18,0.84
0.48,-0.2,0.77
0.41,-0.23,0.71
0.36,-0.26,0.7
0.36,-0.3,0.68
0.41,-0.38,0.67
0.55,-0.34,0.82
0.69,-0.25,1.05
0.67,-0.18,1.23
0.57,-0.19,1.24
0.51,-0.26,1.15
0.51,-0.3,1.01
0.59,-0.31,0.87
0.66,-0.27,0.79
0.65,-0.26,0.76
0.64,-0.27,0.71
0.61,-0.28,0.71
0.57,-0.3,0.71
0.54,-0.31,0.72
0.51,-0.31,0.73
0.5,-0.32,0.74
0.49,-0.3,0.78
0.45,-0.3,0.82
0.45,-0.34,0.83
0.47,-0.36,0.84
0.47,-0.36,0.85
0.46,-0.35,0.86
0.44,-0.35,0.87
0.44,-0.37,0.87
0.44,-0.38,0.86
