Acc_x,Acc_y,Acc_z
0.29,0.93,0.19
0.29,0.93,0.19
0.29,0.93,0.18
0.29,0.92,0.18
0.29,0.92,0.18
0.3,0.92,0.18
0.29,0.92,0.19
0.29,0.92,0.19
0.3,0.92,0.2
0.29,0.93,0.2
0.29,0.93,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.93,0.19
0.29,0.93,0.19
0.29,0.93,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.28,0.92,0.19
0.28,0.92,0.19
0.28,0.92,0.19
0.28,0.93,0.19
0.28,0.92,0.19
0.29,0.92,0.19
0.29,0.93,0.19
0.29,0.93,0.19
0.28,0.92,0.19
0.28,0.93,0.19
0.29,0.93,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.3,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.28,0.92,0.19
0.28,0.92,0.19
0.28,0.93,0.19
0.28,0.93,0.19
0.28,0.93,0.18
0.29,0.93,0.18
0.29,0.92,0.18
0.28,0.92,0.19
0.29,0.92,0.19
0.29,0.93,0.19
0.29,0.93,0.19
0.29,0.93,0.19
0.29,0.93,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.28,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.29,0.92,0.19
0.28,0.93,0.19
0.29,0.92,0.19
0.29,0.92,0.18
0.29,0.92,0.18
0.3,0.92,0.19
0.3,0.92,0.19
0.31,0.92,0.18
0.31,0.92,0.18
0.31,0.91,0.18
0.31,0.9,0.17
0.31,0.9,0.16
0.31,0.92,0.16
0.31,0.92,0.17
0.31,0.91,0.17
0.32,0.9,0.17
0.32,0.9,0.17
0.33,0.9,0.16
0.33,0.89,0.16
0.34,0.87,0.16
0.34,0.86,0.17
0.35,0.85,0.17
0.35,0.83,0.16
0.35,0.8,0.15
0.35,0.76,0.14
0.35,0.68,0.14
0.35,0.57,0.12
0.36,0.56,0.12
0.37,0.64,0.12
0.38,0.68,0.11
0.39,0.66,0.1
0.41,0.67,0.1
0.43,0.68,0.11
0.43,0.69,0.1
0.43,0.69,0.08
0.43,0.69,0.06
0.4,0.69,0.06
0.38,0.68,0.06
0.37,0.68,0.05
0.37,0.67,0.04
0.36,0.68,0.05
0.35,0.69,0.04
0.35,0.71,0.02
0.37,0.72,0
0.4,0.73,-0.01
0.42,0.75,-0.02
0.46,0.74,0
0.52,0.72,0.05
0.59,0.69,0.11
0.64,0.68,0.12
0.67,0.68,0.12
0.69,0.68,0.11
0.72,0.68,0.1
0.74,0.67,0.09
0.73,0.65,0.1
0.7,0.64,0.13
0.73,0.61,0.28
0.88,0.56,0.3
0.95,0.56,0.3
0.96,0.56,0.29
0.96,0.56,0.26
0.96,0.54,0.2
0.95,0.48,0.18
0.93,0.44,0.19
0.95,0.4,0.2
0.99,0.35,0.21
1,0.3,0.23
0.99,0.27,0.26
1,0.23,0.29
1.08,0.19,0.31
1.18,0.15,0.31
1.25,0.11,0.28
1.26,0.07,0.26
1.23,0.04,0.24
1.23,0.02,0.23
1.22,0.01,0.27
1.17,0,0.3
1.08,-0.01,0.31
1.02,-0.04,0.37
1,-0.08,0.41
1.03,-0.13,0.4
1.06,-0.17,0.4
1.04,-0.21,0.4
1.01,-0.22,0.36
0.99,-0.25,0.33
0.96,-0.27,0.3
0.97,-0.3,0.29
0.98,-0.33,0.27
1.08,-0.36,0.26
1.2,-0.39,0.26
1.24,-0.47,0.24
1.21,-0.55,0.22
1.16,-0.59,0.21
1.13,-0.63,0.19
1.16,-0.71,0.15
1.16,-0.77,0.15
1.11,-0.78,0.16
1.07,-0.83,0.13
1.05,-0.86,0.09
1.03,-0.85,0.07
1.01,-0.86,0.03
0.97,-0.88,0.01
0.95,-0.9,0.02
0.94,-0.91,0.01
0.87,-0.82,0.07
0.81,-0.89,0.04
0.78,-1.09,-0.03
0.73,-1.14,-0.02
