Acc_x,Acc_y,Acc_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.69,0.32,0.82
0.71,0.3,0.84
0.72,0.27,0.84
0.71,0.27,0.85
0.74,0.28,0.86
0.73,0.27,0.86
0.71,0.33,0.87
0.68,0.33,0.86
0.63,0.25,0.82
0.64,0.29,0.81
0.69,0.29,0.8
0.7,0.26,0.85
0.72,0.28,0.95
0.84,0.23,0.94
0.82,0.18,0.95
0.8,0.17,0.93
0.76,0.16,0.87
0.71,0.15,0.79
0.7,0.14,0.73
0.7,0.13,0.69
0.72,0.1,0.68
0.73,0.08,0.68
0.72,0.07,0.69
0.7,0.06,0.69
0.69,0.05,0.69
0.68,0.04,0.68
0.67,0.03,0.67
0.67,0.02,0.66
0.68,0.02,0.66
0.69,0.03,0.67
0.7,0.05,0.66
0.71,0.05,0.66
0.71,0.06,0.66
0.72,0.06,0.66
0.73,0.07,0.67
0.75,0.08,0.68
0.76,0.09,0.69
0.77,0.09,0.71
0.77,0.08,0.72
0.78,0.09,0.73
0.77,0.08,0.74
0.77,0.08,0.74
0.77,0.08,0.75
0.75,0.07,0.75
0.71,0.06,0.74
0.69,0.06,0.74
0.69,0.07,0.74
0.7,0.07,0.73
0.71,0.07,0.72
0.72,0.06,0.71
0.73,0.06,0.7
0.73,0.06,0.69
