Acc_x,Acc_y,Acc_z
0.44,-0.93,0.15
0.45,-0.92,0.15
0.45,-0.91,0.15
0.46,-0.9,0.14
0.46,-0.89,0.14
0.47,-0.89,0.14
0.46,-0.88,0.15
0.46,-0.87,0.15
0.48,-0.86,0.14
0.48,-0.85,0.13
0.47,-0.84,0.13
0.46,-0.83,0.14
0.47,-0.81,0.15
0.48,-0.8,0.15
0.47,-0.78,0.15
0.47,-0.77,0.15
0.46,-0.75,0.16
0.46,-0.73,0.15
0.45,-0.71,0.15
0.45,-0.68,0.15
0.44,-0.65,0.15
0.43,-0.61,0.14
0.41,-0.57,0.14
0.4,-0.53,0.13
0.38,-0.5,0.12
0.37,-0.46,0.11
0.37,-0.44,0.12
0.39,-0.42,0.12
0.42,-0.41,0.13
0.44,-0.43,0.13
0.45,-0.45,0.12
0.46,-0.48,0.13
0.44,-0.5,0.13
0.46,-0.52,0.14
0.49,-0.55,0.14
0.52,-0.59,0.13
0.54,-0.62,0.13
0.55,-0.65,0.12
0.54,-0.66,0.12
0.54,-0.65,0.13
0.54,-0.61,0.16
0.61,-0.6,0.19
0.65,-0.6,0.21
0.65,-0.61,0.23
0.65,-0.6,0.25
0.66,-0.59,0.27
0.68,-0.58,0.3
0.72,-0.57,0.31
0.75,-0.56,0.33
0.76,-0.55,0.35
0.76,-0.54,0.36
0.8,-0.53,0.4
0.84,-0.55,0.48
0.86,-0.58,0.57
0.87,-0.58,0.62
0.87,-0.58,0.62
0.89,-0.57,0.61
0.9,-0.55,0.6
0.9,-0.55,0.62
0.89,-0.55,0.65
0.9,-0.55,0.68
0.91,-0.56,0.72
0.89,-0.55,0.77
0.87,-0.56,0.8
0.87,-0.57,0.79
0.91,-0.56,0.75
0.92,-0.52,0.7
0.94,-0.54,0.75
0.94,-0.58,0.82
0.9,-0.61,0.89
0.85,-0.64,0.93
0.81,-0.66,0.91
0.8,-0.68,0.88
0.81,-0.69,0.84
0.85,-0.65,0.82
0.85,-0.59,0.84
0.8,-0.54,0.91
0.75,-0.48,0.95
0.72,-0.42,0.94
0.68,-0.36,0.88
0.65,-0.31,0.8
0.62,-0.27,0.74
0.62,-0.26,0.71
0.62,-0.26,0.71
0.62,-0.25,0.75
0.62,-0.26,0.8
0.61,-0.28,0.83
0.61,-0.29,0.83
0.59,-0.3,0.81
0.57,-0.3,0.79
0.55,-0.3,0.75
0.55,-0.3,0.72
0.58,-0.31,0.69
0.67,-0.31,0.7
0.7,-0.32,0.74
0.71,-0.32,0.78
0.71,-0.31,0.79
0.69,-0.3,0.79
0.67,-0.29,0.78
0.67,-0.28,0.78
0.67,-0.26,0.77
0.69,-0.25,0.77
0.69,-0.24,0.78
0.68,-0.23,0.78
0.68,-0.21,0.77
0.67,-0.21,0.75
0.67,-0.21,0.75
0.66,-0.21,0.74
0.66,-0.22,0.73
0.66,-0.22,0.73
0.65,-0.23,0.73
0.65,-0.23,0.73
0.64,-0.23,0.72
0.64,-0.23,0.7
0.65,-0.24,0.68
0.67,-0.25,0.67
0.69,-0.25,0.69
0.7,-0.26,0.7
0.69,-0.26,0.72
0.68,-0.27,0.71
0.69,-0.26,0.7
0.69,-0.27,0.69
0.7,-0.27,0.68
0.7,-0.27,0.69
0.69,-0.27,0.69
0.7,-0.27,0.69
0.72,-0.27,0.69
0.73,-0.27,0.68
0.74,-0.28,0.69
0.73,-0.29,0.69
0.72,-0.29,0.7
0.72,-0.29,0.7
0.72,-0.29,0.7
0.72,-0.29,0.71
0.72,-0.3,0.7
0.72,-0.29,0.69
0.73,-0.29,0.69
0.74,-0.29,0.69
0.73,-0.29,0.7
0.72,-0.29,0.69
0.71,-0.29,0.69
0.71,-0.29,0.68
0.71,-0.3,0.68
0.71,-0.3,0.68
0.72,-0.3,0.66
0.73,-0.3,0.65
0.73,-0.31,0.65
0.72,-0.31,0.65
0.71,-0.32,0.65
0.71,-0.32,0.66
0.71,-0.32,0.66
0.71,-0.32,0.66
0.7,-0.33,0.65
0.7,-0.34,0.64
0.71,-0.34,0.64
0.72,-0.34,0.65
0.72,-0.34,0.66
0.71,-0.34,0.66
0.71,-0.34,0.66
0.7,-0.35,0.66
0.7,-0.34,0.66
0.69,-0.34,0.67
0.68,-0.34,0.67
0.68,-0.34,0.68
0.68,-0.34,0.68
0.68,-0.34,0.67
0.68,-0.34,0.66
0.68,-0.34,0.66
0.69,-0.35,0.66
0.69,-0.35,0.67
0.68,-0.35,0.67
0.69,-0.35,0.68
0.69,-0.35,0.68
0.69,-0.34,0.68
0.68,-0.34,0.68
0.68,-0.35,0.67
0.68,-0.34,0.66
0.68,-0.34,0.65
0.69,-0.35,0.65
0.69,-0.35,0.65
0.69,-0.35,0.64
0.7,-0.35,0.64
0.71,-0.35,0.64
0.71,-0.35,0.64
0.71,-0.35,0.65
0.7,-0.35,0.65
0.7,-0.35,0.64
0.7,-0.35,0.64
0.7,-0.34,0.64
0.7,-0.34,0.64
0.7,-0.34,0.64
0.7,-0.35,0.64
0.71,-0.35,0.65
0.71,-0.35,0.65
0.71,-0.35,0.66
0.71,-0.35,0.66
0.7,-0.35,0.67
0.7,-0.35,0.67
0.7,-0.35,0.66
0.7,-0.35,0.66
0.69,-0.35,0.66
0.69,-0.35,0.66
0.69,-0.35,0.66
0.69,-0.35,0.65
0.69,-0.36,0.65
0.68,-0.36,0.65
0.68,-0.37,0.65
0.68,-0.37,0.64
0.68,-0.37,0.64
0.67,-0.37,0.64
0.66,-0.37,0.64
0.65,-0.37,0.63
0.66,-0.37,0.63
0.66,-0.37,0.63
0.67,-0.38,0.64
0.67,-0.38,0.64
0.67,-0.39,0.64
0.68,-0.39,0.64
0.68,-0.39,0.65
0.68,-0.39,0.66
0.68,-0.39,0.66
0.68,-0.39,0.66
0.7,-0.4,0.66
0.72,-0.4,0.67
0.72,-0.4,0.68
0.71,-0.4,0.68
0.71,-0.4,0.68
0.71,-0.4,0.68
0.71,-0.4,0.67
0.71,-0.4,0.67
0.71,-0.41,0.67
0.71,-0.41,0.66
0.7,-0.41,0.66
0.7,-0.41,0.65
0.7,-0.41,0.64
0.7,-0.41,0.64
0.7,-0.41,0.64
0.69,-0.42,0.63
0.69,-0.42,0.63
0.69,-0.42,0.64
0.68,-0.42,0.64
0.68,-0.42,0.63
0.67,-0.42,0.63
0.67,-0.42,0.63
0.67,-0.42,0.63
0.67,-0.42,0.62
0.68,-0.41,0.62
0.67,-0.41,0.62
0.67,-0.41,0.63
0.67,-0.41,0.63
0.67,-0.41,0.64
0.67,-0.42,0.64
0.67,-0.41,0.64
0.67,-0.41,0.64
0.67,-0.42,0.63
0.67,-0.41,0.63
0.67,-0.41,0.63
0.67,-0.42,0.63
0.67,-0.42,0.64
0.67,-0.42,0.64
0.66,-0.42,0.64
0.66,-0.42,0.63
0.66,-0.42,0.63
0.65,-0.42,0.62
0.65,-0.42,0.61
0.66,-0.42,0.61
0.66,-0.42,0.61
0.65,-0.42,0.6
0.65,-0.42,0.6
0.65,-0.42,0.59
0.65,-0.42,0.58
0.65,-0.43,0.58
0.64,-0.43,0.57
0.65,-0.43,0.56
0.67,-0.44,0.55
0.66,-0.43,0.58
0.65,-0.43,0.6
0.67,-0.43,0.62
